metric	mean	std	mean_lin	std_lin	KS_statistic	pvalue	pvalue_corrected
volume	-0.3186729569186747	0.6563171751093615	0.48009484533990726	4.532284620880204	0.06350617701765093	2.630678177941848e-19	7.892034533825545e-19
surface	0.5692915533672656	0.4512385529769969	3.7092965309863564	2.826432075317394	0.06171139769741052	2.9688188510961023e-18	2.9688188510961023e-18
svratio	-0.8879645102859404	0.2342495792347394	0.1294301604979106	1.7149425631561783	0.062361473172684034	1.2440966946415658e-18	1.866145041962349e-18
