	name	shape	length	width	volume	surface
0	Thermoproteus tenax	rod	10.0	0.4	1.2398819006167718	12.566370614359172
1	Thermoproteus neutrophilus	rod	10.0	0.4	1.2398819006167718	12.566370614359172
2	Thermoproteus uzoniensis	rod	4.47213595499958	0.34641016151377546	0.4106060876770382	4.866934411168334
3	Caldivirga maquilingensis	rod	7.745966692414834	0.529150262212918	1.664638303792608	12.87669809921399
4	Pyrobaculum islandicum	rod	3.4641016151377544	0.6324555320336759	1.0220490301018899	6.882884651454572
5	Pyrobaculum aerophilum	rod	3.4641016151377544	0.6324555320336759	1.0220490301018899	6.882884651454572
6	Pyrobaculum organotrophum	rod	3.4641016151377544	0.6324555320336759	1.0220490301018899	6.882884651454572
7	Thermocladium modestius	rod	10.0	1.7320508075688772	22.20159537874778	54.41398092702653
8	Thermofilum pendens	rod	10.0	0.229128784747792	0.4091847825660182	7.198293068896203
9	Desulfurococcus mucosus	spherical	1.0	1.0	0.5235987755982988	3.141592653589793
10	Staphylothermus marinus	spherical	2.7386127875258306	2.7386127875258306	10.754507267897766	23.56194490192345
11	Stetteria hydrogenophila	spherical	2.7386127875258306	2.7386127875258306	10.754507267897766	23.56194490192345
12	Sulfophobococcus zilligii	spherical	40.0	3.872983346207417	456.0297280035679	486.69344111683347
13	Pyrodictium occultum	disk	0.8660254037844386	0.14142135623730953	0.012863014742063575	0.38476494904855923
14	Pyrodietium broekü	disk	0.8660254037844386	0.2	0.025112595361120073	0.5441398092702653
15	Hyperthermus butylicus	spherical	1.5	1.5	1.7671458676442586	7.0685834705770345
16	Pyrolobus fumarii	spherical	1.3228756555322954	1.3228756555322954	1.2121481286346372	5.497787143782139
17	Sulfolobus acidocaldarius	spherical	1.1832159566199232	1.1832159566199232	0.8673425966163862	4.39822971502571
18	MetaIlosphaera sedula	spherical	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814
19	Metallosphaera prunae	spherical	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814
20	Stygiolobus azoricus	spherical	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814
21	Sulfurisphaera ohwakuensis	spherical	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.654866776461628
22	Sulfurococcus mirabilis	spherical	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
23	Sulfurococcus yellowstonensis	spherical	0.8944271909999159	0.8944271909999159	0.37465678565550536	2.5132741228718345
24	Methanobacterium formicicum	rod	5.477225575051661	0.5656854249492381	1.329186178950559	9.73386882233667
25	Methanobacterium alcaliphilum	rod	7.0710678118654755	0.5477225575051661	1.6230630727377962	12.167336027920834
26	Methanobacterium bryantii	rod	12.24744871391589	0.7071067811865476	4.717001801895359	27.206990463513268
27	Methanobacterium espanolense	rod	5.196152422706632	0.8	2.4778297979441093	13.059355422486368
28	Methanobacterium ivanovii	rod	3.872983346207417	0.6324555320336759	1.150503014353443	7.695298980971185
29	Methanobacterium palustre	rod	3.5355339059327378	0.5	0.6614755356123511	5.553603672697958
30	Methanobacterium subterraneum	rod	0.848528137423857	0.1224744871391589	0.009515530424545624	0.3264838855621592
31	Methanobacterium uliginosum	rod	2.6870057685088806	0.34641016151377546	0.24236153128962157	2.9242136127690497
32	Methanobrevibacter ruminantium	rod	1.1661903789690602	0.7	0.35900546307378794	2.5645865890794073
33	Methanobrevibacter arboriphilus	rod	1.296148139681572	0.5	0.22177316862433777	2.0359847367938517
34	Methanobrevibacter curvatu	rod	1.6	0.34	0.13497748116393432	1.7090264035528477
35	Methanobrevibacter oralis	rod	0.916515138991168	0.4472135954999579	0.12054981227445498	1.287669809921399
36	Methanobrevibacter smithü	rod	1.0	0.648074069840786	0.25860776283914344	2.0359847367938517
37	Methanosphaera stadtmanae	spherical	1.0	1.0	0.5235987755982988	3.141592653589793
38	Methanosphaera cuniculi	spherical	0.848528137423857	0.848528137423857	0.3198875715474024	2.261946710584651
39	Methanothermobacter thermautotrophicus	rod	4.58257569495584	0.458257569495584	0.7306267464929647	6.597344572538565
40	Methanothermobacter marburgensis	rod	4.242640687119285	0.4898979485566356	0.7689377329446211	6.529677711243183
41	Methanothermobacter thermoflexus	rod	11.832159566199232	0.4	1.4701178619518027	14.86873022770948
42	Methanothermobacter thermoflexus	rod	3.0166206257996713	0.36	0.29484006733526485	3.4117175508046893
43	Methanothermobacter wolfeü	rod	3.872983346207417	0.4898979485566356	0.6992589657513654	5.96075295947766
44	Methanothermus fervidus	rod	1.7320508075688772	0.34641016151377546	0.1523591465956743	1.8849555921538756
45	Methanothermus sociabilis	rod	1.7320508075688772	0.34641016151377546	0.1523591465956743	1.8849555921538756
46	Methanococcus vannielli	spherical	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
47	Methanococcus maripaludis	spherical	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
48	Methanococcus voltae	spherical	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
49	Methanothermococcus thermolithotrophicus	spherical	1.4142135623730951	1.4142135623730951	1.4809609793861225	6.283185307179587
50	Methanocaldococcus jannaschü	spherical	1.5	1.5	1.7671458676442586	7.0685834705770345
51	Methanocaldococcus fervens	spherical	1.2	1.2	0.9047786842338604	4.523893421169302
52	Methanocaldococcus infernus	spherical	1.3	1.3	1.1503465099894628	5.3092915845667505
53	Methanocaldococcus vulcanius	spherical	1.3	1.3	1.1503465099894628	5.3092915845667505
54	Methanotorris igneus	spherical	1.2	1.2	0.9047786842338604	4.523893421169302
