Name,Date Modified,Shape,Length,Width,Diameter,Subspecies,File #
Pelagicoccus litoralis,07/11/2022,spherical,1.0-1.2,1.0-1.2,,No,16
Chthoniobacter flavus,07/11/2022,oval,1.4,0.9,,No,16
Candidatus Xiphinematobacter brevicolli,07/11/2022,rod,2.1-3.2,0.7-1.0,,No,16
Candidatus Xiphinematobacter americani,07/11/2022,rod,2.1-3.2,0.7-1.0,,No,16
Candidatus Xiphinematobacter rivesi,07/11/2022,rod,2.1-3.2,0.7-1.0,,No,16
Chlamydia trachomatis,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia abortus,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia caviae,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia felis,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia pecorum,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia pneumoniae,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia psittaci,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Chlamydia suis,07/12/2022,spherical,0.2-1.5,0.2-1.5,,,17
Criblamydia sequanensis,07/12/2022,spherical,0.5-1.0,0.5-1.0,,,17
Parachlamydia acanthamoebae,07/12/2022,spherical,0.4-0.6,0.4-0.6,,,17
Neochlamydia hartmannellae,07/12/2022,spherical,0.4-0.6,0.4-0.6,,,17
Protochlamydia amoebophila,07/12/2022,spherical,0.5-1.0,0.5-1.0,,,17
Rhabdochlamydia crassificans,07/12/2022,rod,0.5,0.25,,,17
Rhabdochlamydia porcellionis,07/12/2022,rod,0.25-0.7,1-4,,,17
Simkania negevensis,07/12/2022,spherical,0.2-0.7,0.2-0.7,,,17
Fritschea bemisiae,07/12/2022,spherical,2.5,2.5,,,17
Fritschea eriococci,07/12/2022,spherical,2.5,2.5,,,17
Waddlia chondrophila,07/12/2022,spherical,0.2-0.5,0.2-0.5,,,17
Planctomyces bekefii,07/12/2022,spherical,1.4-1.7,1.4-1.7,,,18
Planctomyces brasiliensis,07/12/2022,spherical,0.7-1.8,0.7-1.8,,,18
Planctomyces guttaeformis,07/12/2022,oval,2.9-3.0,1.15-1.3,,,18
Planctomyces limnophilus,07/12/2022,spherical,1.1-1.5,1.1-1.5,,,18
Planctomyces maris,07/12/2022,spherical,1.0-1.5,1.0-1.5,,,18
Planctomyces stranskae,07/12/2022,oval,3.0-3.5,1.5-1.7,,,18
Blastopirellula marina,07/12/2022,oval,0.7-1.5,1.0-2.0,,,18
Gemmata obscuriglobus,07/12/2022,spherical,1.4-3.0,1.4-3.0,,,18
Isosphaera pallida,07/12/2022,spherical,2.0-2.5,2.0-2.5,,,18
Pirellula staleyi,07/12/2022,tear-drop,1.0-5.0,0.5-3.0,,,18
Rhodopirellula baltica,07/12/2022,oval,1.0-2.5,1.2-2.3,,,18
Schlesneria paludicola,07/12/2022,oval,0.6-1.5,1.3-2.1,,,18
Singulisphaera acidiphila,07/12/2022,spherical,3-4,3-4,,,18
