Name,Shape,Length,Width,Diameter,Subspecies,File #,Notes
Methanosarcina vacuolata,spherical,1.0-2.0,1.0-2.0,,No,10,
Methanococcoides methylutens,spherical,0.8-1.8,0.8-1.8,,No,10,
Methanococcoides burtonii,spherical,0.8-1.8,0.8-1.8,,No,10,
Methanohalobium evestigatum,spherical,0.2-2,0.2-2,,No,10,
Methanohalophilus mahü,spherical,1,1,,No,10,
Methanohalophilus halophilus,spherical,0.5-2.0,0.5-2.0,,No,10,
Methanohalophilus portucalensis,spherical,0.6-2.0,0.6-2.0,,No,10,
Methanolobus tindarius,spherical,0.8-1.25,0.8-1.25,,No,10,
Methanolobus bombayensis,spherical,1-1.5,1-1.5,,No,10,
Methanolobus oregonensis,spherical,1.0-1.5,1.0-1.5,,No,10,
Methanolobus taylorii,spherical,0.5-1.0,0.5-1.0,,No,10,
Methanolobus vulcani,spherical,0.8-1.25,0.8-1.25,,No,10,
Methanosalsum zhilinae,spherical,0.8-1.5,0.8-1.5,,No,10,
Methanosaeta concilli,rod,2.0-6.0,0.8,,No,10,
Methanosaeta thermophila,rod,2.0-6.0,0.8-1.3,,No,10,
Halobacteriwn salinarwn,rod,1.0-6.0,0.5-1.0,,No,10,
Haloarcula vallismortis,rod,3.0-5.0,0.6-1.0,,No,10,
Haloarcula argentinensis,rod,1,0.3,,No,10,
Haloarcula hispanica,rod,0.5-1.0,0.3,,No,10,
Haloarcula japonica,triangular,2.0-5.0,0.2-0.5,,No,10,
Haloarcula marismortui,disk,2.0-3.0,1.0-2.0,,No,10,
