	length	taxID	spname
189	15 - 16	102117	Oscillatoria sancta
194	5 - 8	1190	Fischerella
195	5 - 8	372787	Fischerella thermalis
196	5 - 8	1190	Fischerella
197	5 - 8	1190	Fischerella
201	1.8 - 2.3	47251	Leptolyngbya
202	5 - 8	1190	Fischerella
204	3 - 3.5	102231	Gloeocapsa
222	> 3	1142	Synechocystis
224	7 - 8	88830	Nodularia sphaerocarpa PCC 7804
226	3 - 3.5	267872	Microcystis aeruginosa PCC 7806
230	> 3	1142	Synechocystis
234	3 - 3.5	374211	Microcystis aeruginosa PCC 7813
240	3 - 3.5	267867	Microcystis aeruginosa PCC 7820
242	5 - 6	2546359	Gloeothece verrucosa
246	> 3	1142	Synechocystis
262	> 3	1142	Synechocystis
264	2 - 3	1142	Synechocystis
277	8 - 10	35823	Arthrospira
278	8 - 10	35823	Arthrospira
280	1 - 1.2	1140	Synechococcus elongatus PCC 7942 = FACHB-805
281	1 - 1.2	1129	Synechococcus
282	1 - 1.2	1129	Synechococcus
284	25 - 30	380547	Chroococcus turgidus
293	5 - 6	105592	Symploca atlantica PCC 8002
294	8 - 10	147322	Limnospira indica
295	8 - 10	35823	Arthrospira
299	> 3	1142	Synechocystis
303	1 - 1.2	102124	Gloeobacter violaceus PCC 8105
304	9 - 11	28073	Lyngbya
317	3 - 4	2512018	Cyanothece sp. PCC 8303
318	4 - 8	13035	Dactylococcopsis salina PCC 8305
321	6 - 6.5	217161	Chamaesiphon
324	3 - 3.5	102231	Gloeocapsa
327	3	41431	Rippkaea orientalis PCC 8801
328	3	395962	Rippkaea orientalis
329	4 - 5	28070	Gloeothece
330	4 - 5	28070	Gloeothece
331	2 - 3	1142	Synechocystis
338	1 - 1.2	167375	Cyanobium
339	2.3 - 2.6	1142	Synechocystis
344	2.3 -2.6	1142	Synechocystis
345	1.9 - 2.4	47251	Leptolyngbya
346	11 - 12	1158	Oscillatoria
347	2.3 - 2.6	1142	Synechocystis
361	> 3	1142	Synechocystis
362	2 - 3	1142	Synechocystis
363	1.4 - 6	63132	Geitlerinema
364	1.7 - 2.1	47251	Leptolyngbya
365	12 - 13	28073	Lyngbya
366	3.3 - 3.8	1142	Synechocystis
367	1.2 - 1.4	167375	Cyanobium
368	2.7 - 3.1	63132	Geitlerinema
370	< 2	1129	Synechococcus
378	3 - 4	43988	Cyanothece
380	2.1 - 2.5	47251	Leptolyngbya
381	2.3 - 2.6	1142	Synechocystis
382	8.5 - 9.5	1158	Oscillatoria
383	2.1 - 2.5	47251	Leptolyngbya
384	1.5 - 1.7	1152	Pseudanabaena
385	0.8 - 1	167375	Cyanobium
386	1.8 - 2	1152	Pseudanabaena
387	5.5 - 6.5	1158	Oscillatoria
388	2.8 - 3.3	1142	Synechocystis
389	1.2 - 1.4	167375	Cyanobium
393	1.3 - 1.5	47251	Leptolyngbya
394	> 3	1142	Synechocystis
397	22 - 26	70190	Chroococcus
398	4 - 4.5	1158	Oscillatoria
399	2.3 - 2.6	1142	Synechocystis
401	12 - 13	28073	Lyngbya
402	< 2	1129	Synechococcus
403	< 2	1129	Synechococcus
423	> 3	1142	Synechocystis
431	28 - 32	70190	Chroococcus
433	8 - 10	35823	Arthrospira
440	> 3	1142	Synechocystis
453	5 - 7	110103	Anabaenopsis
454	5 - 7	110103	Anabaenopsis
456	> 3	1142	Synechocystis
457	> 3	1142	Synechocystis
458	> 3	1142	Synechocystis
459	8 - 10	35823	Arthrospira
463	> 3	1142	Synechocystis
