	length	taxID	spname	width	shape	volume	surface
5	1.0954451150103321	269084	Synechococcus elongatus PCC 6301	1.0954451150103321	sphere/spheroid	0.6882884651454569	3.7699111843077513
8	4.47213595499958	118323	Oscillatoria acuminata	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
10	2.0346989949375804	1184	Leptolyngbya boryana	2.0346989949375804	sphere/spheroid	4.410614836186082	13.006193585861745
11	0.8944271909999159	59930	Cyanobium gracile	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
12	4.090623489235048	113355	Geminocystis herdmanii PCC 6308	4.090623489235048	sphere/spheroid	35.83992942722275	52.568899858233884
14	1.0954451150103321	1129	Synechococcus	1.0954451150103321	sphere/spheroid	0.6882884651454569	3.7699111843077513
15	1.3964240043768943	195253	Synechococcus sp.	1.3964240043768943	sphere/spheroid	1.42577350287024	6.126105674500098
16	2.0	270636	Spirulina major	2.0	sphere/spheroid	4.1887902047863905	12.566370614359172
19	4.47213595499958	1158	Oscillatoria	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
20	2.0346989949375804	272136	Leptolyngbya sp. PCC 6402	2.0346989949375804	sphere/spheroid	4.410614836186082	13.006193585861745
21	1.019803902718557	1173264	Leptolyngbya sp.	1.019803902718557	sphere/spheroid	0.5553267978063552	3.2672563597333855
22	4.47213595499958	402777	Kamptonema formosum	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
23	2.0346989949375804	47251	Leptolyngbya	2.0346989949375804	sphere/spheroid	4.410614836186082	13.006193585861745
24	3.24037034920393	1177	Nostoc	3.24037034920393	sphere/spheroid	17.8148664469462	32.98672286269283
25	3.24037034920393	1177	Nostoc	3.24037034920393	sphere/spheroid	17.8148664469462	32.98672286269283
26	4.47213595499958	1158	Oscillatoria	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
27	5.477225575051661	44473	Gloeothece membranacea	5.477225575051661	sphere/spheroid	86.03605814318213	94.2477796076938
28	4.47213595499958	272129	Kamptonema sp.	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
30	4.47213595499958	1158	Oscillatoria	4.47213595499958	sphere/spheroid	46.832098206938184	62.83185307179587
31	1.296148139681572	1129	Synechococcus	1.296148139681572	sphere/spheroid	1.1401514526045566	5.277875658030852
32	2.7386127875258306	1173032	Chamaesiphon minutus	2.7386127875258306	sphere/spheroid	10.754507267897766	23.56194490192345
33	3.7416573867739413	1144	Synechocystis sp. PCC 6701	3.7416573867739413	sphere/spheroid	27.427781169924327	43.9822971502571
34	2.3979157616563596	1142	Synechocystis	2.3979157616563596	sphere/spheroid	7.219388101549008	18.064157758141306
35	2.0346989949375804	47251	Leptolyngbya	2.0346989949375804	sphere/spheroid	4.410614836186082	13.006193585861745
36	3.24037034920393	1177	Nostoc	3.24037034920393	sphere/spheroid	17.8148664469462	32.98672286269283
37	0.8944271909999159	1129	Synechococcus	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
38	1.0954451150103321	1129	Synechococcus	1.0954451150103321	sphere/spheroid	0.6882884651454569	3.7699111843077513
39	0.8944271909999159	1129	Synechococcus	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
40	1.0954451150103321	1129	Synechococcus	1.0954451150103321	sphere/spheroid	0.6882884651454569	3.7699111843077513
41	1.296148139681572	167375	Cyanobium	1.296148139681572	sphere/spheroid	1.1401514526045566	5.277875658030852
42	4.0	1142	Synechocystis	4.0	sphere/spheroid	33.510321638291124	50.26548245743669
43	6.3	118675	Chroococcidiopsis sp. PCC 6712	6.3	sphere/spheroid	130.92430304202782	124.68981242097887
44	0.8944271909999159	167375	Cyanobium	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
45	1.296148139681572	33070	Thermostichus lividus	1.296148139681572	sphere/spheroid	1.1401514526045566	5.277875658030852
46	1.296148139681572	32048	Synechococcus sp. PCC 6716	1.296148139681572	sphere/spheroid	1.1401514526045566	5.277875658030852
47	1.296148139681572	115741	Synechococcus sp. PCC 6717	1.296148139681572	sphere/spheroid	1.1401514526045566	5.277875658030852
49	3.24037034920393	1177	Nostoc	3.24037034920393	sphere/spheroid	17.8148664469462	32.98672286269283
51	2.23606797749979	118173	Pseudanabaena sp.	2.23606797749979	sphere/spheroid	5.854012275867273	15.707963267948967
52	2.3979157616563596	2174229	Synechocystis sp.	2.3979157616563596	sphere/spheroid	7.219388101549008	18.064157758141306
53	6.48074069840786	1142	Synechocystis	6.48074069840786	sphere/spheroid	142.5189315755696	131.94689145077132
54	2.3979157616563596	1142	Synechocystis	2.3979157616563596	sphere/spheroid	7.219388101549008	18.064157758141306
55	3.9421149485929567	1142	Synechocystis	3.9421149485929567	sphere/spheroid	32.07646300423636	48.821198908497514
56	6.0	1142	Synechocystis	6.0	sphere/spheroid	113.09733552923255	113.09733552923255
57	1.5297058540778357	47918	Pseudanabaena galeata PCC 6901	1.5297058540778357	sphere/spheroid	1.8742279425964494	7.351326809400117
59	2.7386127875258306	102126	Pseudanabaena sp. PCC 6903	2.7386127875258306	sphere/spheroid	10.754507267897766	23.56194490192345
60	0.8944271909999159	167375	Cyanobium	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
61	2.3979157616563596	1142	Synechocystis	2.3979157616563596	sphere/spheroid	7.219388101549008	18.064157758141306
63	0.8944271909999159	167375	Cyanobium	0.8944271909999159	sphere/spheroid	0.37465678565550536	2.5132741228718345
