lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_length	0.895928827318184	0	2.55182378621738e-81	0.18584154127241	0.185876090731653	180.912205687558
log_width	0.841649706986943	0	4.71660240017082e-117	0.0946375201662936	0.0946551140536641	1591.79886464234
log_unscaled_volume	0.832956915358208	0	5.92595100906735e-128	0.0761324566507675	0.0761466102958039	2119.00552583008
log_unscaled_surface	0.848416580981352	0	3.59050500972706e-118	0.0379681253206986	0.0379751839050676	4094.95900841369
log_svratio	0.829668474998085	0	3.89142566251913e-129	0.0808637051879156	0.0808787384106685	1935.25966978426
log_vsratio	0.8296684749952	0	3.89142566252002e-129	0.0808637051875403	0.0808787384102931	1935.25966978426
log_equivalent_spherical	0.832961991405617	0	5.925950381756e-128	0.0761337659960457	0.0761479198845001	2119.00552593575
log_volume	0.832956915358259	0	5.92595100906735e-128	0.685192109857021	0.685319492662348	-3791.52858720435
log_surface	0.848416580981323	0	3.59050500972788e-118	0.341713127886214	0.341776655145535	-1815.57510462074
