	rank	Name	shape	Length	Width	diameter	Unnamed: 6	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
182	species	Terrabacter tumescens	rods	2.0-6.0	0.6-1.2			3.464101615137755	0.848528137423857	4.0	0.8999999999999999	1.7989595275992543	9.234358777165422	2.353838295702152	11.309733552923253	[2.0, 6.0]	[0.6, 1.2]	[2.0, 6.0]	[0.6, 1.2]
183	species	Terrabacter terrae	rods	6	2			6.0	2.0	6.0	2.0	16.755160819145562	37.69911184307752	16.755160819145562	37.69911184307752	[6.0, 6.0]	[2.0, 2.0]	[6.0, 6.0]	[2.0, 2.0]
184	species	Terracoccus luteus	oval	0.7-1.3	0.7-1.3			0.9539392014169457	0.9539392014169457	1.0	1.0	0.4545280720499899	2.858849314766712	0.5235987755982988	3.141592653589793	[0.7, 1.3]	[0.7, 1.3]	[0.7, 1.3]	[0.7, 1.3]
185	species	Jonesia denitrificans	rods	2.0-3.0	0.3-0.5			2.449489742783178	0.3872983346207417	2.5	0.4	0.27336454175151836	2.98037647973883	0.2974041045398338	3.141592653589793	[2.0, 3.0]	[0.3, 0.5]	[2.0, 3.0]	[0.3, 0.5]
186	species	Microbacterium aerolatum	rods	1.5-1.9	0.5-0.7			1.688194301613413	0.5916079783099616	1.7	0.6	0.4098577340923002	3.1376632053307816	0.4241150082346221	3.2044245066615895	[1.5, 1.9]	[0.5, 0.7]	[1.5, 1.9]	[0.5, 0.7]
187	species	Microbacterium aoyamense	rods	0.4-0.8	0.3-0.5			0.565685424949238	0.3872983346207417	0.6000000000000001	0.4	0.05143407403747445	0.6882884651454572	0.05864306286700949	0.7539822368615504	[0.4, 0.8]	[0.3, 0.5]	[0.4, 0.8]	[0.3, 0.5]
188	species	Microbacterium arborescens	rods	2.5	0.5			2.5	0.5	2.5	0.5	0.45814892864851153	3.9269908169872414	0.45814892864851153	3.9269908169872414	[2.5, 2.5]	[0.5, 0.5]	[2.5, 2.5]	[0.5, 0.5]
189	species	Microbacterium aurantiacum	rods	0.6-2	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
190	species	Microbacterium awajiense	rods	0.7-1.2	0.5-0.8			0.916515138991168	0.6324555320336759	0.95	0.65	0.22170113431720745	1.821040109049228	0.24334253095930938	1.9399334635916972	[0.7, 1.2]	[0.5, 0.8]	[0.7, 1.2]	[0.5, 0.8]
191	species	Microbacterium chocolatum	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
192	species	Microbacterium deminutum	rods	0.5-0.9	0.3-0.7			0.6708203932499369	0.45825756949558394	0.7	0.5	0.08544680627275471	0.9657523574410493	0.10471975511965975	1.0995574287564276	[0.5, 0.9]	[0.3, 0.7]	[0.5, 0.9]	[0.3, 0.7]
193	species	Microbacterium flavescens	rods	1.0-6.0	0.4-0.6			2.449489742783178	0.48989794855663565	3.5	0.5	0.4309367429343864	3.7699111843077517	0.6544984694978736	5.497787143782138	[1.0, 6.0]	[0.4, 0.6]	[1.0, 6.0]	[0.4, 0.6]
194	species	Microbacterium flavum	rods	0.7-1.1	0.5-0.8			0.8774964387392122	0.6324555320336759	0.9	0.65	0.2094430481107908	1.743513164715289	0.22675099475753832	1.837831702350029	[0.7, 1.1]	[0.5, 0.8]	[0.7, 1.1]	[0.5, 0.8]
195	species	Microbacterium fluvii	rods	0.6-1.2	0.4-0.6			0.848528137423857	0.48989794855663565	0.8999999999999999	0.5	0.12916258984981646	1.305935542248637	0.14398966328953217	1.4137166941154067	[0.6, 1.2]	[0.4, 0.6]	[0.6, 1.2]	[0.4, 0.6]
196	species	Microbacterium halophilum	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
197	species	Microbacterium hominis	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
198	species	Microbacterium ketosireducens	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
199	species	Microbacterium kitamiense	rods	1.0-2.0	0.5-0.8			1.414213562373095	0.6324555320336759	1.5	0.65	0.3780577053771959	2.8099258924162904	0.4258494291787914	3.0630528372500483	[1.0, 2.0]	[0.5, 0.8]	[1.0, 2.0]	[0.5, 0.8]
200	species	Microbacterium lacus	rods	0.9-1.5	0.6-0.7			1.161895003862225	0.648074069840786	1.2	0.6499999999999999	0.3120116190917215	2.3656004936205237	0.3263002119681648	2.450442269800038	[0.9, 1.5]	[0.6, 0.7]	[0.9, 1.5]	[0.6, 0.7]
201	species	Microbacterium maritypicum	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
202	species	Microbacterium pumilum	rods	0.4-1.2	0.2-0.6			0.6928203230275509	0.34641016151377546	0.8	0.4	0.054413980927026526	0.7539822368615503	0.08377580409572784	1.0053096491487339	[0.4, 1.2]	[0.2, 0.6]	[0.4, 1.2]	[0.2, 0.6]
203	species	Microbacterium pygmaeum	rods	0.3-0.4	0.5-0.9			0.6708203932499369	0.34641016151377546	0.7	0.35	0.052340536393961225	0.7300401616752501	0.056123243759442644	0.7696902001294993	[0.3, 0.4]	[0.5, 0.9]	[0.5, 0.9]	[0.3, 0.4]
204	species	Microbacterium terregens	rods	1.0-5.0	0.6-0.8			2.23606797749979	0.6928203230275509	3.0	0.7	0.7559153982416447	4.866934411168334	1.0647381101791404	6.5973445725385655	[1.0, 5.0]	[0.6, 0.8]	[1.0, 5.0]	[0.6, 0.8]
205	species	Microbacterium terricola	rods	0.3-0.7	0.2-0.5			0.45825756949558394	0.316227766016838	0.5	0.35	0.027712641789650938	0.455260027262307	0.036880988756205164	0.5497787143782138	[0.3, 0.7]	[0.2, 0.5]	[0.3, 0.7]	[0.2, 0.5]
206	species	Microbacterium thalassium	rods	0.6-2.0	0.2-0.5			1.0954451150103321	0.316227766016838	1.3	0.35	0.07775723458835207	1.0882796185405308	0.11385000876915509	1.429424657383356	[0.6, 2.0]	[0.2, 0.5]	[0.6, 2.0]	[0.2, 0.5]
207	species	Agrococcus jenensis	rods	0.7-1.7	0.7-1.0			1.0908712114635715	0.8366600265340756	1.2	0.85	0.4464118142707981	2.8672949736829376	0.5201626586334349	3.204424506661589	[0.7, 1.7]	[0.7, 1.0]	[0.7, 1.7]	[0.7, 1.0]
208	species	Agrococcus baldri	rods	1.1-1.7	0.7-1.0			1.3674794331177342	0.8366600265340756	1.4	0.85	0.5984851267582677	3.5943444688880293	0.6336526932443662	3.7384952577718535	[1.1, 1.7]	[0.7, 1.0]	[1.1, 1.7]	[0.7, 1.0]
209	species	Agrococcus citreus	rods-coccus	1.1-1.7	0.7-1.0			1.3674794331177342	0.8366600265340756	1.4	0.85	0.5984851267582677	3.5943444688880293	0.6336526932443662	3.7384952577718535	[1.1, 1.7]	[0.7, 1.0]	[1.1, 1.7]	[0.7, 1.0]
210	species	Agromyces luteolus	rods	1.5-3.0	0.2-0.4			2.121320343559643	0.28284271247461906	2.25	0.30000000000000004	0.12736264422720656	1.8849555921538763	0.15197454461740628	2.120575041173111	[1.5, 3.0]	[0.2, 0.4]	[1.5, 3.0]	[0.2, 0.4]
211	species	Agromyces mediolanus	rods	1.4-3.0	0.3-0.6			2.04939015319192	0.42426406871192845	2.2	0.44999999999999996	0.26973273401060205	2.731560163573842	0.3260384125803657	3.110176727053895	[1.4, 3.0]	[0.3, 0.6]	[1.4, 3.0]	[0.3, 0.6]
212	species	Agromyces rhizospherae	rods	1.5-3.0	0.2-0.4			2.121320343559643	0.28284271247461906	2.25	0.30000000000000004	0.12736264422720656	1.8849555921538763	0.15197454461740628	2.120575041173111	[1.5, 3.0]	[0.2, 0.4]	[1.5, 3.0]	[0.2, 0.4]
213	species	Cryobacterium psychrophilum	pleomorphic-rods	1.0-1.8	0.5-0.7			1.3416407864998738	0.5916079783099616	1.4	0.6	0.314593861091114	2.4935618646198243	0.33929200658769765	2.638937829015426	[1.0, 1.8]	[0.5, 0.7]	[1.0, 1.8]	[0.5, 0.7]
214	species	Frigoribacterium faeni	rods	1.0-1.5	0.2-0.3			1.224744871391589	0.2449489742783178	1.25	0.25	0.053867092866798284	0.9424777960769377	0.05726861608106394	0.9817477042468103	[1.0, 1.5]	[0.2, 0.3]	[1.0, 1.5]	[0.2, 0.3]
215	species	Leifsonia aquatica	rods	1.2-2.5	0.4-0.5			1.7320508075688774	0.447213595499958	1.85	0.45	0.2486538555316636	2.4334672055841673	0.27037331774957163	2.615375884113503	[1.2, 2.5]	[0.4, 0.5]	[1.2, 2.5]	[0.4, 0.5]
216	species	Leifsonia naganoensis	rods	1.8-3.0	0.3-0.5			2.32379000772445	0.3872983346207417	2.4	0.4	0.2585558905933178	2.8274333882308142	0.28483773392547457	3.015928947446201	[1.8, 3.0]	[0.3, 0.5]	[1.8, 3.0]	[0.3, 0.5]
217	species	Leifosonia poae	rods	2.0-2.5	0.4-0.6			2.23606797749979	0.48989794855663565	2.25	0.5	0.390707687938559	3.441442325727286	0.409061543436171	3.5342917352885173	[2.0, 2.5]	[0.4, 0.6]	[2.0, 2.5]	[0.4, 0.6]
218	species	Leifosnia shinshuensis	rods	2.5-3.0	0.3-0.4			2.738612787525831	0.34641016151377546	2.75	0.35	0.24722537824414118	2.9803764797388306	0.2533563575426268	3.023782929080176	[2.5, 3.0]	[0.3, 0.4]	[2.5, 3.0]	[0.3, 0.4]
219	species	Leifosnia xyli	rods	1.2-2.0	0.2			1.5491933384829666	0.2	1.6	0.2	0.04657494900929014	0.9733868822336668	0.0481710873550435	1.0053096491487339	[1.2, 2.0]	[0.2, 0.2]	[1.2, 2.0]	[0.2, 0.2]
220	species	Lefsonia xyli	rods	3.0-4.0	0.4			3.464101615137755	0.4	3.5	0.4	0.4185566865970668	4.353118474162123	0.4230678106834255	4.39822971502571	[3.0, 4.0]	[0.4, 0.4]	[3.0, 4.0]	[0.4, 0.4]
221	species	Leifsonia ginsengi	rods	0.6-0.8	1.2-2.5			1.7320508075688774	0.6928203230275509	1.85	0.7	0.565905401641076	3.7699111843077517	0.6221662451046786	4.068362486398782	[0.6, 0.8]	[1.2, 2.5]	[1.2, 2.5]	[0.6, 0.8]
222	species	Leifsonia kribbensis	rods	0.9-1.3	0.6			1.0816653826391969	0.6	1.1	0.6	0.24928501401213615	2.038891211845016	0.2544690049407733	2.0734511513692637	[0.9, 1.3]	[0.6, 0.6]	[0.9, 1.3]	[0.6, 0.6]
