	Name	Shape	Length	Width	Diameter	Subspecies	File #	Notes	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
22	Sulfurococcus mirabilis	spherical	0.8-2.5	0.8-2.5		No	8		1.4142135623730951	1.4142135623730951	1.65	1.65	1.4809609793861225	6.283185307179587	2.3520711498345075	8.552985999398212	[0.8, 2.5]	[0.8, 2.5]	[0.8, 2.5]	[0.8, 2.5]
23	Sulfurococcus yellowstonensis	spherical	0.8-1	0.8-1		No	8		0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
24	Methanobacterium formicicum	rod	2.0-15.0	0.4-0.8		No	8		5.477225575051661	0.565685424949238	8.5	0.6000000000000001	1.3291861789505588	9.73386882233667	2.346769712231576	16.022122533307947	[2.0, 15.0]	[0.4, 0.8]	[2.0, 15.0]	[0.4, 0.8]
25	Methanobacterium alcaliphilum	rod	2.0-25.0	0.5-0.6		No	8		7.071067811865475	0.5477225575051662	13.5	0.55	1.6230630727377968	12.167336027920836	3.1638128766292466	23.326325452904218	[2.0, 25.0]	[0.5, 0.6]	[2.0, 25.0]	[0.5, 0.6]
26	Methanobacterium bryantii	rod	10.0-15.0	0.5-1.0		No	8		12.247448713915889	0.7071067811865476	12.5	0.75	4.717001801895358	27.20699046351326	5.411884219660542	29.45243112740431	[10.0, 15.0]	[0.5, 1.0]	[10.0, 15.0]	[0.5, 1.0]
27	Methanobacterium espanolense	rod	3.0-9.0	0.8		No	8		5.196152422706632	0.8	6.0	0.8	2.4778297979441093	13.059355422486368	2.881887660893037	15.079644737231007	[3.0, 9.0]	[0.8, 0.8]	[3.0, 9.0]	[0.8, 0.8]
28	Methanobacterium ivanovii	rod	1.0-15.0	0.5-0.8		No	8		3.872983346207417	0.6324555320336759	8.0	0.65	1.150503014353443	7.695298980971185	2.582749135409034	16.336281798666924	[1.0, 15.0]	[0.5, 0.8]	[1.0, 15.0]	[0.5, 0.8]
29	Methanobacterium palustre	rod	2.5-5	0.5		No	8		3.5355339059327378	0.5	3.75	0.5	0.6614755356123511	5.553603672697958	0.7035858547102141	5.890486225480862	[2.5, 5.0]	[0.5, 0.5]	[2.5, 5.0]	[0.5, 0.5]
30	Methanobacterium subterraneum	rod	0.6-1.2	0.1-0.15		No	8		0.848528137423857	0.12247448713915894	0.8999999999999999	0.125	0.009515530424545629	0.3264838855621593	0.010533334743481402	0.35342917352885167	[0.6, 1.2]	[0.1, 0.15]	[0.6, 1.2]	[0.1, 0.15]
31	Methanobacterium uliginosum	rod	1.9-3.8	0.2-0.6		No	8		2.68700576850888	0.34641016151377546	2.8499999999999996	0.4	0.2423615312896215	2.9242136127690492	0.3413864016900908	3.581415625092364	[1.9, 3.8]	[0.2, 0.6]	[1.9, 3.8]	[0.2, 0.6]
32	Methanobrevibacter ruminantium	rod	0.8-1.7	0.7		No	8		1.1661903789690602	0.7	1.25	0.7	0.35900546307378794	2.5645865890794073	0.39125918506582874	2.748893571891069	[0.8, 1.7]	[0.7, 0.7]	[0.8, 1.7]	[0.7, 0.7]
33	Methanobrevibacter arboriphilus	rod	1.2-1.4	0.5		No	8		1.296148139681572	0.5	1.2999999999999998	0.5	0.22177316862433777	2.0359847367938517	0.22252947962927697	2.042035224833365	[1.2, 1.4]	[0.5, 0.5]	[1.2, 1.4]	[0.5, 0.5]
34	Methanobrevibacter curvatu	rod	1.6	0.34		No	8		1.6	0.34	1.6	0.34	0.13497748116393432	1.7090264035528477	0.13497748116393432	1.7090264035528477	[1.6, 1.6]	[0.34, 0.34]	[1.6, 1.6]	[0.34, 0.34]
35	Methanobrevibacter oralis	rod	0.7-1.2	0.4-0.5		No	8		0.916515138991168	0.447213595499958	0.95	0.45	0.12054981227445499	1.2876698099213992	0.12723450247038662	1.3430308594096365	[0.7, 1.2]	[0.4, 0.5]	[0.7, 1.2]	[0.4, 0.5]
36	Methanobrevibacter smithü	rod	1	0.6-0.7		No	8		1.0	0.648074069840786	1.0	0.6499999999999999	0.25860776283914344	2.0359847367938517	0.2599340671610804	2.042035224833365	[1.0, 1.0]	[0.6, 0.7]	[1.0, 1.0]	[0.6, 0.7]
37	Methanosphaera stadtmanae	spherical	1	1		No	8		1.0	1.0	1.0	1.0	0.5235987755982988	3.141592653589793	0.5235987755982988	3.141592653589793	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]
38	Methanosphaera cuniculi	spherical	0.6-1.2	0.6-1.2		No	8		0.848528137423857	0.848528137423857	0.8999999999999999	0.8999999999999999	0.3198875715474024	2.261946710584651	0.38170350741115966	2.544690049407732	[0.6, 1.2]	[0.6, 1.2]	[0.6, 1.2]	[0.6, 1.2]
39	Methanothermobacter thermautotrophicus	rod	3.0-7.0	0.35-0.6		No	8		4.58257569495584	0.45825756949558394	5.0	0.475	0.7306267464929646	6.597344572538565	0.8579697718184593	7.461282552275758	[3.0, 7.0]	[0.35, 0.6]	[3.0, 7.0]	[0.35, 0.6]
40	Methanothermobacter marburgensis	rod	3.0-6.0	0.4-0.6		No	8		4.242640687119285	0.48989794855663565	4.5	0.5	0.7689377329446213	6.529677711243184	0.8508480103472356	7.0685834705770345	[3.0, 6.0]	[0.4, 0.6]	[3.0, 6.0]	[0.4, 0.6]
41	Methanothermobacter thermoflexus	rod	7.0-20.0	0.4		No	8		11.832159566199229	0.4	13.5	0.4	1.4701178619518023	14.868730227709475	1.6797048721193428	16.964600329384883	[7.0, 20.0]	[0.4, 0.4]	[7.0, 20.0]	[0.4, 0.4]
42	Methanothermobacter thermoflexus	rod	1.4-6.5	0.36		No	8		3.0166206257996713	0.36	3.95	0.36	0.29484006733526485	3.4117175508046893	0.3898465155692646	4.467344753404686	[1.4, 6.5]	[0.36, 0.36]	[1.4, 6.5]	[0.36, 0.36]
43	Methanothermobacter wolfeü	rod	0.4-0.6	2.5-6		No	8		3.872983346207417	0.48989794855663565	4.25	0.5	0.6992589657513656	5.960752959477661	0.8017606251348951	6.675884388878311	[0.4, 0.6]	[2.5, 6.0]	[2.5, 6.0]	[0.4, 0.6]
44	Methanothermus fervidus	rod	1.0-3.0	0.3-0.4		No	8		1.7320508075688774	0.34641016151377546	2.0	0.35	0.1523591465956743	1.8849555921538756	0.18119790128048627	2.199114857512855	[1.0, 3.0]	[0.3, 0.4]	[1.0, 3.0]	[0.3, 0.4]
45	Methanothermus sociabilis	rod	1.0-3.0	0.3-0.4		No	8		1.7320508075688774	0.34641016151377546	2.0	0.35	0.1523591465956743	1.8849555921538756	0.18119790128048627	2.199114857512855	[1.0, 3.0]	[0.3, 0.4]	[1.0, 3.0]	[0.3, 0.4]
