	Length	taxID	Name	Width	shape	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
86	7 - 8	179408	Oscillatoria nigro-viridis PCC 7112	7 - 8	sphere/spheroid	7.483314773547881	7.483314773547881	7.5	7.5	219.42224935939447	175.92918860102833	220.8932334555323	176.71458676442586	[7.0, 8.0]	[7.0, 8.0]	[7.0, 8.0]	[7.0, 8.0]
87	3.5 - 4	2886352	Allocoleopsis franciscana	3.5 - 4	sphere/spheroid	3.7416573867739418	3.7416573867739418	3.75	3.75	27.427781169924337	43.98229715025711	27.61165418194154	44.178646691106465	[3.5, 4.0]	[3.5, 4.0]	[3.5, 4.0]	[3.5, 4.0]
88	1.5 - 2	47251	Leptolyngbya	1.5 - 2	sphere/spheroid	1.7320508075688772	1.7320508075688772	1.75	1.75	2.720699046351326	9.424777960769378	2.8061621879721326	9.62112750161874	[1.5, 2.0]	[1.5, 2.0]	[1.5, 2.0]	[1.5, 2.0]
89	5 - 8	1190	Fischerella	5 - 8	sphere/spheroid	6.324555320336757	6.324555320336757	6.5	6.5	132.46117687728125	125.66370614359165	143.7933137486828	132.73228961416876	[5.0, 8.0]	[5.0, 8.0]	[5.0, 8.0]	[5.0, 8.0]
91	1.2 - 1.5	1129	Synechococcus	1.2 - 1.5	sphere/spheroid	1.3416407864998738	1.3416407864998738	1.35	1.35	1.2644666515873306	5.654866776461628	1.2882493375126647	5.725552611167398	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]
92	3 - 3.5	93135	Nostoc sp. PCC 7118	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
93	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
94	3 - 3.5	1177	Nostoc	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
95	3 - 3.5	1168	Nostoc sp. PCC 7119	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
96	3 - 3.5	103690	Nostoc sp. PCC 7120 = FACHB-418	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
99	1 - 1.5	47251	Leptolyngbya	1 - 1.5	sphere/spheroid	1.224744871391589	1.224744871391589	1.25	1.25	0.9619123726213977	4.712388980384689	1.0226538585904275	4.908738521234052	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]
101	2.3 - 2.5	1142	Synechocystis	2.3 - 2.5	sphere/spheroid	2.3979157616563596	2.3979157616563596	2.4	2.4	7.219388101549008	18.064157758141306	7.2382294738708834	18.09557368467721	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]	[2.3, 2.5]
102	1.7 - 2.2	102235	Cyanobacterium stanieri	1.7 - 2.2	sphere/spheroid	1.9339079605813716	1.9339079605813716	1.9500000000000002	1.9500000000000002	3.787093482647983	11.749556524425827	3.882419471214437	11.94590606527519	[1.7, 2.2]	[1.7, 2.2]	[1.7, 2.2]	[1.7, 2.2]
103	5	54299	Chroococcidiopsis thermalis	5	sphere/spheroid	5.0	5.0	5.0	5.0	65.44984694978736	78.53981633974483	65.44984694978736	78.53981633974483	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]
105	30	102115	Stanieria	30	sphere/spheroid	30.0	30.0	30.0	30.0	14137.166941154068	2827.4333882308138	14137.166941154068	2827.4333882308138	[30.0, 30.0]	[30.0, 30.0]	[30.0, 30.0]	[30.0, 30.0]
106	30	102115	Stanieria	30	sphere/spheroid	30.0	30.0	30.0	30.0	14137.166941154068	2827.4333882308138	14137.166941154068	2827.4333882308138	[30.0, 30.0]	[30.0, 30.0]	[30.0, 30.0]	[30.0, 30.0]
107	20	102115	Stanieria	20	sphere/spheroid	20.0	20.0	20.0	20.0	4188.790204786391	1256.6370614359173	4188.790204786391	1256.6370614359173	[20.0, 20.0]	[20.0, 20.0]	[20.0, 20.0]	[20.0, 20.0]
108	15	102125	Xenococcus sp.	15	sphere/spheroid	15.0	15.0	15.0	15.0	1767.1458676442585	706.8583470577034	1767.1458676442585	706.8583470577034	[15.0, 15.0]	[15.0, 15.0]	[15.0, 15.0]	[15.0, 15.0]
109	25	52607	Xenococcus	25	sphere/spheroid	25.0	25.0	25.0	25.0	8181.230868723419	1963.4954084936207	8181.230868723419	1963.4954084936207	[25.0, 25.0]	[25.0, 25.0]	[25.0, 25.0]	[25.0, 25.0]
110	10 - 15	179406	Xenococcus sp. PCC 7307	10 - 15	sphere/spheroid	12.247448713915889	12.247448713915889	12.5	12.5	961.9123726213975	471.2388980384688	1022.6538585904274	490.8738521234052	[10.0, 15.0]	[10.0, 15.0]	[10.0, 15.0]	[10.0, 15.0]
112	5 - 6	272131	Nostoc punctiforme	5 - 6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
113	5 - 8	372781	Fischerella muscicola SAG 1427-1 = PCC 73103	5 - 8	sphere/spheroid	6.324555320336757	6.324555320336757	6.5	6.5	132.46117687728125	125.66370614359165	143.7933137486828	132.73228961416876	[5.0, 8.0]	[5.0, 8.0]	[5.0, 8.0]	[5.0, 8.0]
114	7 - 8	128405	Nodularia spumigena PCC 73104	7 - 8	sphere/spheroid	7.483314773547881	7.483314773547881	7.5	7.5	219.42224935939447	175.92918860102833	220.8932334555323	176.71458676442586	[7.0, 8.0]	[7.0, 8.0]	[7.0, 8.0]	[7.0, 8.0]
116	6 - 7	102232	Gloeocapsa sp. PCC 73106	6 - 7	sphere/spheroid	6.4807406984078595	6.4807406984078595	6.5	6.5	142.51893157556958	131.9468914507713	143.7933137486828	132.73228961416876	[6.0, 7.0]	[6.0, 7.0]	[6.0, 7.0]	[6.0, 7.0]
117	5 - 6	28070	Gloeothece	5 - 6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
118	5 - 6	28070	Gloeothece	5 - 6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
119	1.2 - 1.5	374982	Synechococcus sp. PCC 73109	1.2 - 1.5	sphere/spheroid	1.3416407864998738	1.3416407864998738	1.35	1.35	1.2644666515873306	5.654866776461628	1.2882493375126647	5.725552611167398	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]
120	1.8 - 2.3	102128	Leptolyngbya sp. PCC 73110	1.8 - 2.3	sphere/spheroid	2.0346989949375804	2.0346989949375804	2.05	2.05	4.410614836186082	13.006193585861745	4.510868901626293	13.202543126711102	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]	[1.8, 2.3]
121	5	171393	Myxosarcina sp. PCC 7312	5	sphere/spheroid	5.0	5.0	5.0	5.0	65.44984694978736	78.53981633974483	65.44984694978736	78.53981633974483	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]
124	5 - 7	44474	Pleurocapsa	5 - 7	sphere/spheroid	5.916079783099615	5.916079783099615	6.0	6.0	108.41782457704825	109.95574287564273	113.09733552923255	113.09733552923255	[5.0, 7.0]	[5.0, 7.0]	[5.0, 7.0]	[5.0, 7.0]
125	6 - 8	44474	Pleurocapsa	6 - 8	sphere/spheroid	6.928203230275509	6.928203230275509	7.0	7.0	174.12473896648487	150.79644737231004	179.59438003021648	153.93804002589985	[6.0, 8.0]	[6.0, 8.0]	[6.0, 8.0]	[6.0, 8.0]
126	6	44474	Pleurocapsa	6	sphere/spheroid	6.0	6.0	6.0	6.0	113.09733552923255	113.09733552923255	113.09733552923255	113.09733552923255	[6.0, 6.0]	[6.0, 6.0]	[6.0, 6.0]	[6.0, 6.0]
128	6 - 8	44474	Pleurocapsa	6 - 8	sphere/spheroid	6.928203230275509	6.928203230275509	7.0	7.0	174.12473896648487	150.79644737231004	179.59438003021648	153.93804002589985	[6.0, 8.0]	[6.0, 8.0]	[6.0, 8.0]	[6.0, 8.0]
129	5	44474	Pleurocapsa	5	sphere/spheroid	5.0	5.0	5.0	5.0	65.44984694978736	78.53981633974483	65.44984694978736	78.53981633974483	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]	[5.0, 5.0]
130	8 - 10	52605	Myxosarcina	8 - 10	sphere/spheroid	8.944271909999157	8.944271909999157	9.0	9.0	374.6567856555052	251.32741228718336	381.7035074111599	254.46900494077323	[8.0, 10.0]	[8.0, 10.0]	[8.0, 10.0]	[8.0, 10.0]
131	10 - 13	54302	Dermocarpella	10 - 13	sphere/spheroid	11.401754250991383	11.401754250991383	11.5	11.5	776.0927935139326	408.4070449666733	796.3282878380627	415.4756284372501	[10.0, 13.0]	[10.0, 13.0]	[10.0, 13.0]	[10.0, 13.0]
