lambda	logL	logL0	P
log_volume	0.832854677432739	-120.91571583726	-138.667865460827	2.54488252489251e-09
log_surface	0.82908922721398	-75.009135553348	-89.6330157930218	6.36897957571996e-08
log_svratio	0.915130113296721	20.8187590222564	0.0172758440704968	1.11823473822552e-10
