lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	0.942216931541381	2.82253457123873e-124	7.24715987107415e-06	0.830493304127167	0.831220531188575	-845.011544581591
log_surface	0.943435344611857	4.06083049305151e-117	7.6210557346084e-06	0.402181324930031	0.402533497718936	-428.566985947619
log_svratio	0.948438086528855	8.83564376365464e-142	4.41769540459738e-05	0.101118982432282	0.101207527951049	368.99512185491
