lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	0.743812789521185	1.7807607826505e-145	5.49857537427533e-80	0.609210563565584	0.609619429715628	-1149.86703330795
log_surface	0.761880335327646	5.0793001049796e-134	2.68181520029042e-76	0.304689068624684	0.304893557932486	-607.66938889385
log_svratio	0.782119350249523	3.21062026729374e-204	2.0003149242316e-72	0.0792450984661135	0.0792982830959565	426.63991168571
