lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	0.661931608922556	3.71015215946462e-188	4.50708591219774e-115	0.407793474340808	0.407898792903396	-2331.6914224154
log_surface	0.69229212234233	2.84222522155178e-207	4.64881269421802e-108	0.20836305776325	0.208416870536433	-931.879820163212
svratio	0.622362077454755	1.8281975881876e-154	4.10230605605052e-168	0.00553495197419373	0.00553638145559202	5873.53655491984
