lambda	logL	logL0	P
log_volume	0.782348156401615	-261.891823191935	-349.049981078289	8.44320555793782e-40
log_surface	0.800020826974965	-142.123432550138	-219.123755671552	2.31519539191573e-35
log_svratio	0.829552937254222	88.0729115560156	-8.81404583412694	4.77098887756555e-44
