lambda	logL	logL0	P
log_volume	0.942207029155584	-845.011544703807	-1126.1009884908	2.82253491681003e-124
log_surface	0.943426321764252	-428.566986019524	-693.204628092613	4.0608307855993e-117
log_svratio	0.94845886208612	368.995121921301	47.6669790218775	8.83564317612308e-142
