lambda	logL	logL0	P
log_volume	0.66193145898595	-2331.69142241446	-2759.66328842805	3.71015215600691e-188
log_surface	0.69228509789649	-931.879820186573	-1403.81850099603	2.84222528805261e-207
svratio	0.622376157826676	5873.53655488119	5523.04523558514	1.82819765907927e-154
