lambda	pval0	pval1	sigsq	sigsq_unb	lnL
log_volume	1	0.546773159189678	1	0.421826432955897	0.438050526531124	-22.2641485396286
log_surface	1	0.329620704988535	1	0.181650722793878	0.188637289055181	-10.8902879015782
log_svratio	8.72121313429316e-77	0.999999833124228	0.291444209752932	0.0730467835651981	0.0758562752407827	-0.641666455366564
