lambda	logL	logL0	P
log_volume	6.61069613518961e-05	-31.8264484683753	-31.8261303161924	1
log_surface	6.61069613518961e-05	-17.1209789267534	-17.1206811134283	1
log_svratio	6.61069613518961e-05	20.1613989966293	20.1616601463816	1
