lambda	logL	logL0	P
log_volume	0.743814225906699	-1149.86703330348	-1479.69167535318	1.78076077466759e-145
log_surface	0.76190170477287	-607.669389010889	-911.158938573999	5.07930070042517e-134
log_svratio	0.78213894377586	426.639911589817	-38.2766166681627	3.21062057548897e-204
