lambda	logL	logL0	P
log_volume	0.999933893038648	-22.2641702452419	-22.4457134240152	0.546797127987984
log_surface	0.999933893038648	-10.8903376999115	-11.3654816066779	0.329646047679039
log_svratio	6.61069613518961e-05	-0.641779852888632	-0.641666455366568	1
