taxid	length	width	volume	surface	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid84993	0.961933634222816	0.4676199144696193	0.13496138673076585	1.4131490829694169	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria	order	N1550	2158157.0	52.65	2192.0	93.21339641021359	1.0	-0.13803291615595997	0.0533232268770553
txid84999	1.0722417789120997	0.5248959617395942	0.19065872314529853	1.768136662379606	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria	order	N1313	1809497.0	59.67	1599.0	87.80382121825714	1.0	-0.485240908065446	0.17422327593956002
txid85001	2.1213203435596424	1.224744871391589	2.018165466403381	8.162097139053978	Sphaerobacterales	Thermomicrobia	Chloroflexi	Bacteria	order	N2053	3411362.5	63.42	3117.5	87.52722854964841	2.0	-0.0562959305777776	0.0239309148326754
txid85004	1.9502402532610352	0.6951645776485121	0.6331056372904547	4.259176358690091	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria	order	N4376	2089645.0	59.18	1690.0	86.8803649975735	2.0	-0.47085502689138004	0.172011345864444
txid85007	1.548155532132771	0.5972048979209673	0.36851392405294575	2.904609962378899	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria	order	N3654	3453616.5	65.515	3257.0	89.98523757135246	1.0	-0.411336417509459	0.146247823930426
txid85008	1.0835873995636014	0.5961401575554759	0.2437030196008877	2.029374490517689	Micromonosporales	Actinomycetia	Actinobacteria	Bacteria	order	N3999	8360800.0	71.09	7958.0	89.37597450676472	2.0	-0.266478603552869	0.10135283204736
txid85009	1.3799191539495408	0.5721674234957249	0.2929895127215699	2.4804281023550425	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	order	N3312	3830328.0	69.995	3648.0	91.24971434464052	1.0	-0.2655558711475125	0.104173324285874
txid85011	0.8801576558777033	0.6261839017961628	0.20511291366220655	1.7314591191648965	Streptomycetales	Actinomycetia	Actinobacteria	Bacteria	order	N4362	8384669.0	72.01	7459.0	87.44223653977043	1.0	-0.471752073883681	0.17667399032552897
txid85012	1.2321896125859393	0.6537886189477581	0.33349151647196545	2.530840479862412	Streptosporangiales	Actinomycetia	Actinobacteria	Bacteria	order	N3657	6710579.0	71.47	6251.0	86.51400790137275	1.0	-0.30519926361590805	0.10836803791799801
txid91347	2.1004226706687112	0.8296302374038869	0.9737267876641528	5.4744581759839965	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N7949	4413119.0	47.93	4283.0	85.66296577061362	1.0	-0.661042562923609	0.24535083669739605
txid118964	1.885871960060004	1.2894573752553755	1.8429209462301392	7.63957267190439	Deinococcales	Deinococci	Deinococcus-Thermus	Bacteria	order	N578	3669290.0	67.435	3474.0	88.16640443467028	2.5	-0.4198447641528995	0.140334218455732
txid118969	1.4182181902032591	0.6245847735921135	0.3671700895305783	2.7828148784573536	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N3889	3363467.0	38.35	3008.0	88.70559583453912	1.0	-0.149742003832246	0.0676682052167388
txid119069	2.2803508501982757	0.3741657386773941	0.23699366986663356	2.680498461852394	Hydrogenophilales	Hydrogenophilalia	Proteobacteria	Bacteria	order	N4599	2240027.5	65.53	2163.0	93.99027205833968	1.0	-0.1056139992843515	0.04409699808912415
txid135614	1.7911078878998048	0.4779723454043449	0.2899723589203214	2.689517590281139	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N4974	3943691.0	67.245	3498.0	89.3238085367492	1.0	-0.275902923330208	0.10425631445584349
txid135618	1.948529139608345	1.1878171109143751	1.6966151242955876	7.271204425632191	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N4983	4687143.0	51.47	4292.0	86.96037335750111	2.0	-0.257815234127001	0.12607973881380002
txid135623	1.96630363211104	0.7461329248919657	0.7420098741821771	4.609105604108051	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N6722	4715710.0	45.205	4361.5	86.80906611029903	1.0	-0.8570245078017515	0.297795325907512
txid135625	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N7149	2277540.0	39.91	2161.0	88.94097854273498	1.0	-0.627519828406875	0.242032716745667
txid186328	1.5393766420134922	0.19866096909480174	0.04075809764982895	0.9607431901368174	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria	order	N3036	1160554.0	28.3	2096.0	68.24319226298921	1.0	-0.14815325623970999	0.0744697196298874
