	kingdom	phylum	class	order	family	genus	species
G000008045	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
G000008165	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	Bacillus anthracis
G000008185	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	
G000008265	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
G000008325	Bacteria	Proteobacteria_1	Gammaproteobacteria	Methylococcales			
G000008345	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes
G000008385	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	
G000008465	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_1	Idiomarinaceae	Idiomarina	Idiomarina loihiensis
G000008505	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_2	
G000008525	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori
G000008545	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga maritima
G000008565	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
G000008605	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	
G000008625	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae		
G000008645	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	
G000008665	Archaea	Euryarchaeota_1	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_2	Archaeoglobus fulgidus
G000008685	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borreliella	Borreliella burgdorferi
G000008725	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
G000008745	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae
G000008765	Bacteria	Firmicutes_2	Clostridia_2	Eubacteriales_2	Clostridiaceae_1	Clostridium	
G000008805	Bacteria	Proteobacteria_1	Betaproteobacteria_3	Neisseriales	Neisseriaceae	Neisseria	
G000008865	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae_1	Escherichia	Escherichia coli
G000008885	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Erwiniaceae_3	Wigglesworthia	Wigglesworthia glossinidia
G000008925	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Ligilactobacillus	
G000009025	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
G000009065	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pestis
G000009125	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Burkholderiaceae	Ralstonia	
G000009145	Bacteria	Proteobacteria_1	Betaproteobacteria_2	Nitrosomonadales_1	Nitrosomonadaceae	Nitrosomonas	
G000009185	Archaea	Euryarchaeota_1	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
G000009205	Bacteria	Firmicutes_2	Clostridia_4	Eubacteriales_3	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
G000009245	Bacteria	Proteobacteria_1	Gammaproteobacteria	Thiotrichales_1	Francisellaceae	Francisella	Francisella tularensis
G000009305	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	
G000009345	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia enterocolitica
G000009365	Bacteria	Proteobacteria_1	Gammaproteobacteria	Oceanospirillales_2	Alcanivoracaceae	Alcanivorax	
G000009545	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Streptococcus	
G000009705	Bacteria	Cyanobacteria		Nostocales	Nostocaceae_1	Nostoc	
G000009725	Bacteria	Cyanobacteria		Synechococcales_2	Merismopediaceae	Synechocystis	Synechocystis sp. PCC 6803
G000009745	Bacteria	Proteobacteria_1	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
G000009765	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis
G000009825	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_3	Alkalihalobacillus	Alkalihalobacillus clausii
G000009845	Bacteria	Tenericutes_1	Mollicutes_1	Acholeplasmatales_1	Acholeplasmataceae	Candidatus Phytoplasma	
G000009865	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_3	Staphylococcaceae	Staphylococcus	
G000009905	Bacteria	Firmicutes_8	Clostridia_8	Eubacteriales_7	Clostridiales Family XVII. Incertae Sedis		
G000009925	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1	Bacteroidaceae	Bacteroides	Bacteroides fragilis
G000009945	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	
G000009965	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
G000009985	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	
G000010065	Bacteria	Cyanobacteria		Synechococcales_3	Synechococcaceae_2	Synechococcus_2	Synechococcus elongatus
G000010085	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Bruguierivoracaceae	Sodalis	
G000010125	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_3	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus
G000010145	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum
G000010165	Bacteria	Firmicutes_3	Bacilli_2	Bacillales_2	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
G000010185	Bacteria	Firmicutes_2	Tissierellia	Tissierellales	Peptoniphilaceae		
G000010205	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi
G000010285	Bacteria	Actinobacteria	Actinomycetia	Micrococcales_1	Micrococcaceae	Kocuria	
G000010305	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
G000010325	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales			
G000010345	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	
G000010405	Bacteria	Proteobacteria_1	Gammaproteobacteria			Candidatus Thioglobus	
G000010425	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
G000010505	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1	Porphyromonadaceae	Porphyromonas	Porphyromonas somerae
G000010525	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Xanthobacteraceae	Azorhizobium	
G000010565	Bacteria	Firmicutes_4	Clostridia_3	Eubacteriales_5			
G000010585	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_3	Staphylococcaceae		
G000010605	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	
G000010625	Bacteria	Cyanobacteria		Chroococcales_1	Microcystaceae	Microcystis	Microcystis aeruginosa
G000010645	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1			
G000010665	Bacteria	Proteobacteria_5	Deltaproteobacteria_2	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio_1	Desulfovibrio magneticus
G000010785	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter thermophilus
G000010825	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	
G000010985	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae		
G000011005	Archaea	Euryarchaeota_1	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	
G000011025	Bacteria	Actinobacteria	Actinomycetia	Micrococcales_1	Micrococcaceae	Rothia	
G000011065	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron
G000011105	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
G000011125	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales_3	Desulfurococcaceae_2	Aeropyrum	
G000011165	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia pneumoniae
G000011185	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	
G000011205	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus_1	
G000011225	Bacteria	Tenericutes_2	Mollicutes_2	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
G000011245	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_2	Oceanobacillus	
G000011305	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
G000011345	Bacteria	Cyanobacteria		Pseudanabaenales_3	Thermosynechococcaceae	Thermosynechococcus	
G000011365	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Bradyrhizobiaceae	Bradyrhizobium	
G000011385	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	
G000011405	Bacteria	Proteobacteria_1	Gammaproteobacteria	Thiotrichales_1	Francisellaceae	Francisella	Francisella tularensis
G000011465	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
G000011485	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
G000011545	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Burkholderiaceae	Burkholderia	
G000011565	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	
G000011645	Bacteria	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1	
G000011685	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter	Gluconobacter oxydans
G000011705	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Burkholderiaceae	Burkholderia	
G000011745	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae_2	Candidatus Blochmannia	
G000011805	Bacteria	Proteobacteria_1	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	
G000011905	Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
G000011945	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma marginale
G000011965	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ruegeria	
G000011985	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus
G000012005	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae_1	Escherichia	Escherichia coli
G000012065	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	Borrelia hermsii
G000012085	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	
G000012145	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	
G000012225	Bacteria	Tenericutes_1	Mollicutes_1	Acholeplasmatales_1	Acholeplasmataceae	Candidatus Phytoplasma	
G000012245	Bacteria	Proteobacteria_1	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
G000012285	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus_1	Sulfolobus acidocaldarius
G000012305	Bacteria	Proteobacteria_1	Gammaproteobacteria	Moraxellales	Moraxellaceae	Psychrobacter	
G000012325	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_1	Colwelliaceae	Colwellia	Colwellia psychrerythraea
G000012345	Bacteria	Proteobacteria_1	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique
G000012385	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia bellii
G000012405	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Nocardiopsaceae		
G000012425	Bacteria	Proteobacteria_1	Betaproteobacteria_5	Rhodocyclales_2	Azonexaceae	Dechloromonas	
G000012465	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
G000012485	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae		
G000012505	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	
G000012525	Bacteria	Cyanobacteria		Synechococcales_3	Synechococcaceae_2	Synechococcus_2	Synechococcus elongatus
G000012545	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	
G000012565	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	
G000012585	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae		
G000012605	Bacteria	Proteobacteria_1	Gammaproteobacteria	Thiotrichales_2	Piscirickettsiaceae_2	Hydrogenovibrio	
G000012645	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	Prochlorococcus marinus
G000012665	Bacteria	Proteobacteria_5	Deltaproteobacteria_2	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio_4	Desulfovibrio alaskensis
G000012685	Bacteria	Proteobacteria_4	Deltaproteobacteria_4	Myxococcales	Myxococcaceae	Myxococcus	
G000012725	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Bradyrhizobiaceae	Nitrobacter	
G000012745	Bacteria	Proteobacteria_1	Betaproteobacteria_2	Nitrosomonadales_1	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans
G000012805	Bacteria	Proteobacteria_1	Gammaproteobacteria	Chromatiales_3	Chromatiaceae_3	Nitrosococcus	
G000012825	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1	Bacteroidaceae	Phocaeicola	
G000012845	Bacteria	Bacteroidetes_1	Bacteroidia	Bacteroidales_1	Tannerellaceae	Parabacteroides	
G000012865	Bacteria	Firmicutes_4	Clostridia_3	Thermoanaerobacterales_3	Thermoanaerobacteraceae_3	Carboxydothermus	
G000012885	Bacteria	Proteobacteria_3	Deltaproteobacteria_1	Desulfuromonadales	Desulfuromonadaceae		
G000012905	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cereibacter	Cereibacter sphaeroides
G000012925	Bacteria	Proteobacteria_3	Deltaproteobacteria_1	Desulfuromonadales	Geobacteraceae	Geobacter	
G000012965	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	
G000012985	Bacteria	Proteobacteria_1	Gammaproteobacteria	Oceanospirillales_1	Hahellaceae	Hahella	
G000013005	Bacteria	Proteobacteria_1	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae		
G000013025	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomonadales	Hyphomonadaceae	Hyphomonas	
G000013045	Bacteria	Bacteroidetes_2		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae		
G000013085	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
G000013105	Bacteria	Firmicutes_4	Clostridia_3	Thermoanaerobacterales_4	Thermoanaerobacteraceae_4	Moorella	
G000013125	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma phagocytophilum
G000013145	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	
G000013165	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Neorickettsia	
G000013185	Bacteria	Proteobacteria_1	Gammaproteobacteria	Enterobacterales			Candidatus Baumannia cicadellinicola
G000013205	Bacteria	Cyanobacteria					
G000013225	Bacteria	Cyanobacteria					
G000013285	Bacteria	Firmicutes_2	Clostridia_2	Eubacteriales_2	Clostridiaceae_1	Clostridium	
G000013325	Bacteria	Proteobacteria_1	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_2	Novosphingobium	
G000013345	Bacteria	Actinobacteria	Actinomycetia	Frankiales	Frankiaceae	Frankia	
G000013365	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
G000013405	Bacteria	Proteobacteria_3	Deltaproteobacteria_1	Syntrophobacterales_1	Syntrophaceae_1		
G000013445	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
G000013565	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae		
G000013605	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Comamonadaceae	Rhodoferax	
G000013625	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Oxalobacteraceae		
G000013645	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Burkholderiaceae	Paraburkholderia	
G000013665	Bacteria	Proteobacteria_1	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae		
G000013705	Bacteria	Proteobacteria_1	Betaproteobacteria_2	Nitrosomonadales_1	Methylophilaceae	Methylobacillus	
G000013725	Archaea	Euryarchaeota_1	Methanomicrobia	Methanosarcinales_1	Methanosarcinaceae	Methanococcoides	
G000013745	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
G000013765	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_2	Shewanellaceae	Shewanella	
G000013865	Bacteria	Proteobacteria_1	Betaproteobacteria_1	Burkholderiales	Comamonadaceae	Polaromonas	
G000013885	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Bradyrhizobiaceae	Nitrobacter	
G000013945	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae	Leptospira	
G000013985	Bacteria	Proteobacteria_1	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_4	Sphingopyxis	
G000014005	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales			
G000014025	Bacteria	Proteobacteria_2	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	
G000014045	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae		
G000014125	Bacteria	Firmicutes_2	Clostridia_2	Eubacteriales_2	Clostridiaceae_1	Clostridium	
G000014145	Bacteria	Bacteroidetes_1	Cytophagia	Cytophagales	Cytophagaceae_2	Cytophaga	
G000014185	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales_1	Conexibacteraceae	Conexibacter	Conexibacter woesei
G000014205	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Streptococcaceae	Streptococcus	
G000014225	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_1	Alteromonadaceae_1	Paraglaciecola	
G000014245	Bacteria	Proteobacteria_1	Alphaproteobacteria	Hyphomicrobiales_1	Phyllobacteriaceae_1	Chelativorans	
G000014265	Bacteria	Cyanobacteria		Oscillatoriales_1	Microcoleaceae	Trichodesmium	
G000014285	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae		
G000014345	Bacteria	Proteobacteria_1	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia canadensis
G000014385	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Oenococcus	Oenococcus oeni
G000014425	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Lactobacillus	
G000014445	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Leuconostoc	Leuconostoc mesenteroides
G000014465	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Levilactobacillus	
G000014505	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Pediococcus	
G000014525	Bacteria	Firmicutes_1	Bacilli_1	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	
G000014565	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae_1	Rhodococcus	
G000014585	Bacteria	Cyanobacteria		Synechococcales_1	Prochlorococcaceae	Prochlorococcus	
G000014605	Bacteria	Proteobacteria_1	Gammaproteobacteria	Thiotrichales_1	Francisellaceae	Francisella	Francisella tularensis
G000014705	Bacteria	Proteobacteria_1	Gammaproteobacteria	Alteromonadales_2	Shewanellaceae	Shewanella	
G000014725	Bacteria	Firmicutes_4	Clostridia_3	Eubacteriales_9	Syntrophomonadaceae	Syntrophomonas	Syntrophomonas wolfei
G000014745	Bacteria	Proteobacteria_1	Alphaproteobacteria	Maricaulales	Maricaulaceae		
