Taxon	Count	Consistency
g__Anaeromassilibacillus	1	1.000
g__Arhodomonas	1	1.000
g__Halobellus	1	1.000
g__Mastigocladopsis	1	1.000
g__Modestobacter	3	0.750
g__Rhodobaca	1	1.000
g__Ferrovum	2	1.000
g__Planktotalea	1	1.000
g__Ahrensia	4	0.750
g__Gloeomargarita	1	1.000
g__Ancylobacter	1	1.000
g__Shimwellia	1	1.000
g__Isosphaera	1	1.000
g__Massilimicrobiota	1	1.000
g__Rubinisphaera	1	1.000
g__Actinomyces	26	0.462
g__Serinicoccus	2	1.000
g__Desulfatibacillum	2	1.000
g__Wigglesworthia	2	1.000
g__Acidaminobacter	1	1.000
g__Methylocucumis	1	1.000
g__Halonotius	1	1.000
g__Desulfomicrobium	2	1.000
g__Croceitalea	1	1.000
g__Caenibacillus	1	1.000
g__Leptothrix	1	1.000
g__Xanthobacter	2	1.000
g__Gottschalkia	2	1.000
g__Tindallia	1	1.000
g__Infirmifilum	1	1.000
g__Stappia	1	1.000
g__Atopostipes	1	1.000
g__Thermoflavifilum	1	1.000
g__Gemmatirosa	1	1.000
g__Candidatus Thermoproauctor	1	1.000
g__Micavibrio	1	1.000
g__Terasakiispira	1	1.000
g__Siminovitchia	2	0.500
g__Hydrogenovibrio	7	0.875
g__Neomegalonema	1	1.000
g__Rubripirellula	1	1.000
g__Methylorubrum	2	1.000
g__Methyloversatilis	3	1.000
g__Litoreibacter	1	1.000
g__Acetobacterium	3	1.000
g__Joostella	1	1.000
g__Oleiagrimonas	1	1.000
g__Chitinivibrio	1	1.000
g__Halodesulfurarchaeum	1	1.000
g__Rubrimonas	1	1.000
g__Thiomicrorhabdus	4	1.000
g__Phormidium	2	0.500
g__Photorhabdus	1	1.000
g__Tsuneonella	1	1.000
g__Candidatus Arcanobacter	1	1.000
g__Schlesneria	1	1.000
g__Ensifer	3	0.667
g__Bauldia	1	1.000
g__Edaphobacter	1	1.000
g__Vagococcus	1	1.000
g__Candidatus Sabulitectum	1	1.000
g__Chondromyces	2	1.000
g__Prevotella	84	0.952
g__Sulfurovum	5	1.000
g__Methanolacinia	2	1.000
g__Propionivibrio	1	1.000
g__Thiocystis	1	1.000
g__Geoglobus	2	1.000
g__Aquiluna	1	1.000
g__Patulibacter	3	1.000
g__Candidatus Neoehrlichia	1	1.000
g__Turneriella	1	1.000
g__Anaerosphaera	1	1.000
g__Hespellia	1	1.000
g__Chryseobacterium	28	0.828
g__Saccharolobus	7	1.000
g__Acetitomaculum	1	1.000
g__Salinisphaera	2	1.000
g__Renibacterium	1	1.000
g__Pontibacter	7	1.000
g__Streptosporangium	2	1.000
g__Actinocatenispora	1	1.000
g__Haematomicrobium	1	1.000
g__Acaryochloris	2	1.000
g__Denitrovibrio	1	1.000
g__Phocea	1	1.000
g__Geobacter	7	0.778
g__Entomoplasma	2	1.000
g__Salisediminibacterium	1	1.000
g__Phaeobacter	3	0.667
g__Acidomonas	1	1.000
g__Aeromicrobium	6	1.000
g__Paeniglutamicibacter	1	1.000
g__Hydrogenobaculum	1	1.000
g__Mageeibacillus	1	1.000
g__Methanoregula	2	1.000
g__Nioella	1	1.000
g__Neomicrococcus	1	1.000
g__Salinispira	1	1.000
g__Winogradskyella	2	1.000
g__Snodgrassella	1	1.000
g__Opitutus	1	1.000
g__Parafilimonas	1	1.000
g__Variovorax	2	1.000
g__Ketogulonicigenium	1	1.000
g__Ilumatobacter	2	1.000
g__Sulfurimonas	15	1.000
g__Candidatus Omnitrophus	1	1.000
g__Roseimaritima	1	1.000
g__Sedimentibacter	1	1.000
g__Phaseolibacter	1	1.000
g__Archangium	1	1.000
g__Dethiobacter	1	1.000
g__Xenophilus	1	1.000
g__Apibacter	1	1.000
g__Thermodesulfovibrio	3	0.750
g__Caldisalinibacter	1	1.000
g__Candidatus Desulfopertinax	1	1.000
g__Planomonospora	1	1.000
g__Branchiibius	1	1.000
g__Holospora	2	1.000
g__Desulfonatronum	3	1.000
g__Nitratiruptor	1	1.000
g__Candidatus Thermokryptus	1	1.000
g__Dehalococcoides	30	0.900
g__Dolosigranulum	1	1.000
g__Aestuariibacter	1	1.000
g__Rivularia	1	1.000
g__Candidatus Iainarchaeum	1	1.000
g__Acidiphilium	2	1.000
g__Acetivibrio	5	0.800
g__Pragia	2	1.000
g__Beduini	1	1.000
g__Desulfovibrio	24	0.533
g__Oceanobacter	1	1.000
g__Desnuesiella	1	1.000
g__Pseudohongiella	1	1.000
g__Orientia	9	1.000
g__Alcaligenes	1	1.000
g__Synechococcus	46	0.340
g__Thermocrispum	2	1.000
g__Roseospirillum	1	1.000
g__Desulfobacter	3	1.000
g__Saccharophagus	1	1.000
g__Dermatophilus	1	1.000
g__Haematobacter	1	1.000
g__Nonomuraea	3	1.000
g__Carnimonas	1	1.000
g__Rheinheimera	6	0.667
g__Oleispira	1	1.000
g__Candidatus Calescibacterium	1	1.000
g__Geitlerinema	3	0.400
g__Caedimonas	1	1.000
g__Candidatus Marithrix	1	1.000
g__Tepidicaulis	1	1.000
g__Cryptosporangium	1	1.000
g__Thioploca	1	1.000
g__Simkania	1	1.000
g__Cellulosimicrobium	1	1.000
g__Aliagarivorans	1	1.000
g__Psychrobacter	9	1.000
g__Marinilactibacillus	1	1.000
g__Sanguibacteroides	2	1.000
g__Candidatus Symbiobacter	1	1.000
g__Dietzia	3	1.000
g__Candidatus Chrysopegis	1	1.000
g__Natribacillus	1	1.000
g__Anaerovibrio	2	1.000
g__Nitrospirillum	1	1.000
g__Frateuria	3	0.333
g__Desemzia	1	1.000
g__Jeotgalibaca	1	1.000
g__Methylophilus	3	1.000
g__Mesoflavibacter	1	1.000
g__Subdoligranulum	2	0.500
g__Candidatus Riesia	2	1.000
g__Fervidicola	1	1.000
g__Bibersteinia	3	1.000
g__Megasphaera	7	0.875
g__Halogeometricum	2	1.000
g__Candidatus Methylopumilus	2	0.500
g__Haladaptatus	2	1.000
g__Sulfitobacter	10	0.818
g__Cenarchaeum	1	1.000
g__Eremococcus	1	1.000
g__Calidithermus	2	1.000
g__Haematospirillum	1	1.000
g__Bosea	8	0.778
g__Rummeliibacillus	1	1.000
g__Candidatus Caldatribacterium	1	1.000
g__Marinomonas	7	1.000
g__Candidatus Hoaglandella	1	1.000
g__Thiohalorhabdus	1	1.000
g__Jeotgalicoccus	4	1.000
g__Faecalicoccus	1	1.000
g__Desulfatirhabdium	1	1.000
g__Geodermatophilus	2	0.500
g__Daejeonella	2	1.000
g__Methyloceanibacter	1	1.000
g__Janibacter	3	0.667
g__Oblitimonas	1	1.000
g__Alkalibacter	1	1.000
g__Leeuwenhoekiella	3	1.000
g__Thermoproteus	5	1.000
g__Ardenticatena	1	1.000
g__Thiolapillus	1	1.000
g__Kluyvera	2	1.000
g__Thermobacillus	1	1.000
g__Nitrospina	1	1.000
g__Streptacidiphilus	6	0.833
g__Dorea	5	0.800
g__Ectothiorhodosinus	1	1.000
g__Desulfallas	2	1.000
g__Mucinivorans	1	1.000
g__Limnothrix	3	0.667
g__Tepidanaerobacter	4	1.000
g__Geofilum	1	1.000
g__Rhizorhabdus	2	0.667
g__Bradyrhizobium	19	1.000
s__Psychromonas arctica	1	1.000
s__Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16	1	1.000
s__Bacillus sp. 220_BSPC	1	1.000
s__Prevotella salivae	1	1.000
s__Candidatus Magnetomorum sp. HK-1	1	1.000
s__Chlorobium sp. KB01	1	1.000
s__Phormidium ambiguum	1	1.000
s__Candidatus Harrisonbacteria bacterium RIFCSPHIGHO2_02_FULL_42_16	1	1.000
s__Cryomorphaceae bacterium BACL7 MAG-120910-bin2	1	1.000
s__Psychrobacter sp. P11F6	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWA2_40_97	1	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_43_22	1	1.000
s__Actinomyces vulturis	1	1.000
s__Thiomicrospira cyclica	1	1.000
s__Pseudomonas pelagia	1	1.000
s__Derxia gummosa	1	1.000
s__Paracoccus sphaerophysae	1	1.000
s__Bdellovibrionales bacterium RIFOXYC1_FULL_39_130	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_01_FULL_39_24	1	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWA2_42_17	1	1.000
s__Listeria seeligeri	1	1.000
s__Tepidibacter formicigenes	1	1.000
s__Candidatus Photodesmus blepharus	1	1.000
s__Cloacimonetes bacterium TCS62	1	1.000
s__Cloacimonetes bacterium TCS61	1	1.000
s__Cloacimonetes bacterium TCS60	1	1.000
s__Catonella morbi	1	1.000
s__Paenibacillus peoriae	1	1.000
s__Succinatimonas hippei	1	1.000
s__Acidobacteriaceae bacterium KBS 146	1	1.000
s__Nitrosomonas sp. Nm33	1	1.000
s__Parcubacteria bacterium OLB19	1	1.000
s__Halothiobacillus neapolitanus	1	1.000
s__Novosphingobium sp. MBES04	1	1.000
s__Prevotella rara	1	1.000
s__Deinococcus ficus	1	1.000
s__Arenibacter latericius	1	1.000
s__Bacillus sp. JCM 19035	1	1.000
s__Rhodopirellula europaea	2	1.000
s__Candidatus Nitrosopumilus sp. DDS1	1	1.000
s__Zetaproteobacteria bacterium CG2_30_46_52	1	1.000
s__Staphylococcus arlettae	1	1.000
s__Fredinandcohnia humi	1	1.000
s__Prevotella maculosa	1	1.000
s__Candidatus Wildermuthbacteria bacterium RIFCSPLOWO2_01_FULL_47_18	1	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_41_67	1	1.000
s__Minicystis rosea	1	1.000
s__Ureibacillus massiliensis	1	1.000
s__Candidatus Coxiella mudrowiae	1	1.000
s__Rhizobacter sp. Root29	1	1.000
s__Candidatus Nealsonbacteria bacterium RIFCSPHIGHO2_12_FULL_38_18	1	1.000
s__Corynebacterium mastitidis	1	1.000
s__Candidatus Arthromitus sp. SFB-3	1	1.000
s__Candidatus Arthromitus sp. SFB-2	1	1.000
s__Candidatus Arthromitus sp. SFB-1	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPLOWO2_01_FULL_37_57	1	1.000
s__Thaumarchaeota archaeon SCGC AAA007-O23	1	1.000
s__Candidatus Arthromitus sp. SFB-5	1	1.000
s__Candidatus Arthromitus sp. SFB-4	1	1.000
s__Nitrospirae bacterium RIFCSPHIGHO2_02_FULL_42_12	1	1.000
s__Desulfurobacterium sp. TC5-1	1	1.000
s__Methylacidiphilum fumariolicum	1	1.000
s__Novosphingobium capsulatum	1	1.000
s__Criibacterium bergeronii	1	1.000
s__Sphingomonas phyllosphaerae	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWF1_36_78	1	1.000
s__Brachybacterium faecium	1	1.000
s__Alloscardovia omnicolens	1	1.000
s__Flavobacterium antarcticum	1	1.000
s__Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_02_FULL_46_12	1	1.000
s__Streptobacillus notomytis	3	1.000
s__Ruminococcaceae bacterium YAD3003	1	1.000
s__Elioraea tepidiphila	1	1.000
s__Bartonella birtlesii	1	1.000
s__Candidatus Giovannonibacteria bacterium GW2011_GWB1_43_13	1	1.000
s__Leucobacter komagatae	1	1.000
s__Chloroflexi bacterium RBG_13_56_8b	1	1.000
s__Candidatus Jorgensenbacteria bacterium GW2011_GWA1_48_13	1	1.000
s__Atribacteria bacterium 34_128	1	1.000
s__Nostoc sp. NIES-3756	1	1.000
s__Nitrospira defluvii	1	1.000
s__gamma proteobacterium IMCC1989	1	1.000
s__Acidiplasma sp. MBA-1	1	1.000
s__Agrobacterium vitis	1	1.000
s__Nocardioides sp. Leaf307	1	1.000
s__Nitrospirae bacterium RIFCSPHIGHO2_02_FULL_40_19	1	1.000
s__Trichococcus flocculiformis	2	1.000
s__Anaerobiospirillum succiniciproducens	1	1.000
s__Sphingomonas sp. Leaf33	1	1.000
s__Desulfobacter curvatus	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_48_100	1	1.000
s__Lacinutrix sp. Hel_I_90	1	1.000
s__Candidatus Staskawiczbacteria bacterium RIFCSPLOWO2_02_FULL_39_8	1	1.000
s__Stappia stellulata	1	1.000
s__Streptomyces aurantiacus	1	1.000
s__Taylorella asinigenitalis	1	1.000
s__Butyrivibrio sp. AE3006	1	1.000
s__Actinobacteria bacterium BACL2 MAG-120820-bin50	1	1.000
s__Methanohalophilus mahii	1	1.000
s__Clostridiales bacterium 38-18	1	1.000
s__Gammaproteobacteria bacterium RIFCSPLOWO2_12_FULL_52_10	1	1.000
s__Leifsonia sp. Root4	1	1.000
s__Devosia insulae	1	1.000
s__Pontibacillus marinus	1	1.000
s__Candidatus Magasanikbacteria bacterium GW2011_GWC2_37_14	1	1.000
s__Gracilibacillus lacisalsi	1	1.000
s__Streptomyces yeochonensis	1	1.000
s__Candidatus Levybacteria bacterium RIFCSPHIGHO2_01_FULL_40_15b	1	1.000
s__Rhizobium mesoamericanum	1	1.000
s__Bartonella koehlerae	1	1.000
s__Syntrophaceticus schinkii	1	1.000
s__Prochlorococcus sp. REDSEA-S28_B1	1	1.000
s__Lacticaseibacillus saniviri	1	1.000
s__Candidatus Gottesmanbacteria bacterium RIFCSPLOWO2_02_FULL_40_10	1	1.000
s__Chloroflexi bacterium RBG_13_48_17	1	1.000
s__Phocaeicola vulgatus	1	1.000
s__Firmicutes bacterium CAG:240	1	1.000
s__Cognatishimia activa	1	1.000
s__Thiomonas bhubaneswarensis	1	1.000
s__Methanoregula boonei	1	1.000
s__Niabella soli	1	1.000
s__Spirulina major	1	1.000
s__Salinivibrio sp. MA440	1	1.000
s__Spirochaeta cellobiosiphila	1	1.000
s__Cryobacterium roopkundense	1	1.000
s__Veillonella magna	1	1.000
s__Candidatus Saccharibacteria bacterium RIFCSPHIGHO2_01_FULL_45_15	1	1.000
s__Rickettsia conorii	1	1.000
s__Rickettsia typhi	1	1.000
s__Sulfurimonas sp. RIFCSPLOWO2_12_FULL_34_6	1	1.000
s__Ornithinibacillus scapharcae	1	1.000
s__Pseudomonas rhizosphaerae	1	1.000
s__Actinobacteria bacterium RBG_13_55_18	1	1.000
s__Lachnospiraceae bacterium NC2004	1	1.000
s__Lachnospiraceae bacterium NC2008	1	1.000
s__Candidatus Jacksonbacteria bacterium RIFCSPLOWO2_01_FULL_44_13	1	1.000
s__Rhodobacter sp. SW2	1	1.000
s__Candidatus Gottesmanbacteria bacterium GW2011_GWA2_47_9	1	1.000
s__Marine group II euryarchaeote REDSEA-S03_B6	1	1.000
s__Pseudomonas stutzeri	2	0.500
s__Bacteroides uniformis	1	1.000
s__Candidatus Daviesbacteria bacterium GW2011_GWB1_39_5	1	1.000
s__Caulobacteraceae bacterium PMMR1	1	1.000
s__Thermoanaerobacter thermocopriae	1	1.000
s__Lactobacillus kalixensis	1	1.000
s__Desulfosporosinus youngiae	1	1.000
s__Lactobacillus helsingborgensis	1	1.000
s__Candidatus Daviesbacteria bacterium RIFCSPHIGHO2_01_FULL_41_23	1	1.000
s__Candidatus Woesebacteria bacterium RIFCSPLOWO2_01_FULL_37_19	1	1.000
s__Magnetovibrio blakemorei	1	1.000
s__Nocardia cyriacigeorgica	1	1.000
s__Mycolicibacterium obuense	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_34b	1	1.000
s__Bradyrhizobium diazoefficiens	1	1.000
s__Streptomonospora alba	1	1.000
s__Limosilactobacillus fermentum	18	0.947
s__Candidimonas bauzanensis	1	1.000
s__Sinomonas humi	1	1.000
s__Apilactobacillus kunkeei	1	1.000
s__Candidatus Frankia datiscae	1	1.000
s__marine gamma proteobacterium HTCC2148	1	1.000
s__Paenibacillus sp. VKM B-2647	1	1.000
s__Methanoplanus limicola	1	1.000
s__Thermoactinomyces sp. Gus2-1	1	1.000
s__Flavobacterium sp. ACAM 123	1	1.000
s__Betaproteobacteria bacterium Ga0077540	1	1.000
s__Smithella sp. SC_K08D17	1	1.000
s__Capnocytophaga sp. oral taxon 412	1	1.000
s__Prochlorococcus sp. W4	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPLOWO2_01_FULL_44_16	1	1.000
s__Asticcacaulis benevestitus	1	1.000
s__Shewanella loihica	1	1.000
s__Ruegeria pomeroyi	1	1.000
s__Amorphus coralli	1	1.000
s__Verrucomicrobia bacterium 13_2_20CM_2_54_15_9cls	1	1.000
s__Candidatus Hepatobacter penaei	1	1.000
s__Kaistia adipata	1	1.000
s__Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_49_18	1	1.000
s__Rhodococcus pyridinivorans	1	1.000
s__Lacinutrix sp. 5H-3-7-4	1	1.000
s__Verrucomicrobia bacterium SCGC AAA300-N18	1	1.000
s__Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_51_34	1	1.000
s__Thalassobacillus sp. C254	1	1.000
s__Ruegeria lacuscaerulensis	1	1.000
s__Natrialbaceae archaeon PL-Br10_E2g26	1	1.000
s__Geoalkalibacter subterraneus	1	1.000
s__Methylacidiphilum kamchatkense	1	1.000
s__Advenella mimigardefordensis	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWA2_39_41	1	1.000
s__Shigella dysenteriae	1	1.000
s__Thalassotalea agarivorans	1	1.000
s__Actinopolyspora mortivallis	1	1.000
s__Ornithinibacillus californiensis	1	1.000
s__Belnapia moabensis	1	1.000
s__Paenibacillus mucilaginosus	1	1.000
s__Candidatus Nitromaritima sp. SCGC AAA799-C22	1	1.000
s__Wolbachia endosymbiont of Diaphorina citri	1	1.000
s__Desulfovibrio alcoholivorans	1	1.000
s__Pelagirhabdus alkalitolerans	1	1.000
s__Candidatus Woesebacteria bacterium GW2011_GWA2_40_7	1	1.000
s__Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_02_FULL_34_9	1	1.000
s__Serratia liquefaciens	1	1.000
s__Prochlorococcus sp. scB243_498B23	1	1.000
s__Streptoalloteichus hindustanus	1	1.000
s__Lachnoanaerobaculum saburreum	1	1.000
s__Nocardia niwae	1	1.000
s__Omnitrophica bacterium RIFCSPHIGHO2_02_FULL_49_9	1	1.000
s__Roseburia sp. CAG:309	1	1.000
s__Bacillus sp. UNCCL81	1	1.000
s__Planctomycetes bacterium RIFCSPHIGHO2_12_FULL_52_36	1	1.000
s__Methanobrevibacter smithii CAG:186	1	1.000
s__Candidatus Wolfebacteria bacterium GW2011_GWC2_46_275	1	1.000
s__Methanocella arvoryzae	1	1.000
s__Pseudovibrio denitrificans	1	1.000
s__Methylobacter luteus	1	1.000
s__Myroides sp. A21	1	1.000
s__Candidatus Peregrinibacteria bacterium GW2011_GWF2_38_29	1	1.000
s__Parageobacillus thermoglucosidasius	1	1.000
s__Megasphaera genomosp. type_1	1	1.000
s__Pyrococcus furiosus	2	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_44_51	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_12_FULL_43_12	1	1.000
s__Collinsella aerofaciens	3	0.750
s__Companilactobacillus ginsenosidimutans	1	1.000
s__Gaetbulibacter saemankumensis	1	1.000
s__Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_46_8	1	1.000
s__Giesbergeria anulus	1	1.000
s__endosymbiont of Ridgeia piscesae	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWF2_43_8	1	1.000
s__Candidatus Giovannonibacteria bacterium GWA2_45_15	1	1.000
s__Halococcus sediminicola	1	1.000
s__Legionella massiliensis	1	1.000
s__Pyrobaculum aerophilum	1	1.000
s__Verrucomicrobia bacterium SCGC AAA164-L15	1	1.000
s__Nitrosomonas sp. Nm34	1	1.000
s__Glycomyces arizonensis	1	1.000
s__Carnobacterium sp. CP1	1	1.000
s__Calidithermus timidus	1	1.000
s__Streptomyces avermitilis	2	1.000
s__Kocuria marina	1	1.000
s__Clavibacter michiganensis	1	1.000
s__Selenomonas sp. FOBRC9	1	1.000
s__Ruminococcus obeum CAG:39	1	1.000
s__Rubritalea marina	1	1.000
s__Planctomycetes bacterium GWF2_39_10	1	1.000
s__Syntrophobacter sp. DG_60	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWF1_36_47	1	1.000
s__Zobellia uliginosa	1	1.000
s__Nocardia thailandica	1	1.000
s__Sphingobium sp. RAC03	1	1.000
s__Crocinitomix algicola	1	1.000
s__Candidatus Falkowbacteria bacterium RIFOXYB2_FULL_35_7	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_12_FULL_54_10	1	1.000
s__Maribacter forsetii	1	1.000
s__Kocuria rhizophila	1	1.000
s__Bacillus methanolicus	1	1.000
s__Coraliomargarita akajimensis	1	1.000
s__Streptomyces mobaraensis	1	1.000
s__Acidicaldus organivorans	1	1.000
s__Bifidobacterium pullorum	1	1.000
s__Candidatus Fervidibacter sacchari	1	1.000
s__Prevotella buccae	1	1.000
s__Rubellimicrobium thermophilum	1	1.000
s__Mycolicibacterium aurum	1	1.000
s__Candidatus Doolittlea endobia	1	1.000
s__Oribacterium sinus	1	1.000
s__Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_12	1	1.000
s__Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_13	1	1.000
s__Thermodesulfovibrio thiophilus	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYB1_FULL_33_9	1	1.000
s__Pyrococcus kukulkanii	1	1.000
s__Arachnia propionica	1	1.000
s__Escherichia coli	6	0.750
s__Candidatus Ryanbacteria bacterium RIFCSPHIGHO2_12_FULL_47_12b	1	1.000
s__Streptomyces sp. LaPpAH-95	1	1.000
s__Sanguibacteroides justesenii	2	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPLOWO2_02_FULL_43_10	1	1.000
s__Paenibacillus harenae	1	1.000
s__Salinicoccus albus	1	1.000
s__Furfurilactobacillus siliginis	1	1.000
s__Photobacterium halotolerans	1	1.000
s__Desulfovibrio sp. X2	1	1.000
s__Skermanella aerolata	1	1.000
s__Streptomyces collinus	1	1.000
s__Haloprofundus marisrubri	1	1.000
s__Sulfurimonas sp. RIFOXYD2_FULL_34_21	1	1.000
s__Moorea producens	2	0.667
s__Prevotella sp. CAG:255	1	1.000
s__Ornithinibacillus contaminans	1	1.000
s__Muribacter muris	1	1.000
s__Nonlabens marinus	1	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWB1_44_6	1	1.000
s__Ruthenibacterium lactatiformans	1	1.000
s__Pseudophaeobacter arcticus	1	1.000
s__Calescamantes bacterium SCGC AAA471-M6	1	1.000
s__Limosilactobacillus secaliphilus	1	1.000
s__Methylohalobius crimeensis	1	1.000
s__Candidatus Moranbacteria bacterium GW2011_GWF2_35_54	1	1.000
s__Vibrio proteolyticus	1	1.000
s__Candidatus Melainabacteria bacterium MEL.A1	1	1.000
s__Cryomorphaceae bacterium BACL18 MAG-120924-bin36	1	1.000
s__Candidatus Omnitrophica bacterium CG1_02_49_10	1	1.000
s__Candidatus Amesbacteria bacterium GW2011_GWA2_47_11b	1	1.000
s__Kurthia senegalensis	1	1.000
s__Rhodobacteraceae bacterium REDSEA-S02_B3	1	1.000
s__Necropsobacter massiliensis	1	1.000
s__Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_37_14	1	1.000
s__Pedobacter jeongneungensis	1	1.000
s__Ralstonia pickettii	1	1.000
s__Arthrobacter sp. Soil782	1	1.000
s__Dermatophilus congolensis	1	1.000
s__Williamwhitmania taraxaci	1	1.000
s__Thermoleophilum album	1	1.000
s__Frateuria sp. Soil773	1	1.000
s__Plesiocystis pacifica	1	1.000
s__candidate division WWE3 bacterium GW2011_GWA1_43_94	1	1.000
s__Streptomyces iranensis	1	1.000
s__Spiroplasma sabaudiense	1	1.000
s__Thiomicrorhabdus sp. Kp2	1	1.000
s__Glycomyces sp. NRRL B-16210	1	1.000
s__Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7	1	1.000
s__Candidatus Magasanikbacteria bacterium CG1_02_41_34	1	1.000
s__Bacteroides reticulotermitis	1	1.000
s__Lactobacillus apis	2	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_15b	1	1.000
s__Clostridium lundense	1	1.000
s__Pontibacillus halophilus	2	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWA2_44_13	1	1.000
s__Chromobacterium piscinae	1	1.000
s__marine gamma proteobacterium HTCC2080	1	1.000
s__Candidatus Woykebacteria bacterium RBG_16_39_9b	1	1.000
s__Gorillibacterium timonense	1	1.000
s__Janibacter sp. HTCC2649	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_02_FULL_59_19	1	1.000
s__Helicobacter typhlonius	1	1.000
s__[Eubacterium] nodatum	1	1.000
s__Alteromonas confluentis	1	1.000
s__Alistipes finegoldii	1	1.000
s__Chryseobacterium solincola	1	1.000
s__Xanthobacteraceae bacterium 501b	1	1.000
s__Megamonas hypermegale	1	1.000
s__gamma proteobacterium SCGC AAA168-I18	1	1.000
s__Arthrobacter sp. 35W	1	1.000
s__Megasphaera micronuciformis	1	1.000
s__Acidobacteria bacterium 13_1_20CM_4_56_7	1	1.000
s__Rhodococcus rhodnii	1	1.000
s__Proteobacteria bacterium CAG:495	1	1.000
s__Streptococcus entericus	1	1.000
s__candidate division WWE3 bacterium GW2011_GWB1_42_41	1	1.000
s__Mycobacterium colombiense	1	1.000
s__Paenibacillus massiliensis	2	1.000
s__Fluviicola sp. RIFCSPHIGHO2_12_FULL_43_24	1	1.000
s__Kutzneria albida	1	1.000
s__Legionella spiritensis	1	1.000
s__Haliangium ochraceum	1	1.000
s__Halanaeroarchaeum sulfurireducens	1	1.000
s__Candidatus Wolfebacteria bacterium GW2011_GWB1_47_1	1	1.000
s__Chromobacterium haemolyticum	1	1.000
s__Ralstonia mannitolilytica	2	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_41_9	1	1.000
s__Proteobacteria bacterium SPGG4	1	1.000
s__Candidatus Ryanbacteria bacterium RIFCSPLOWO2_02_FULL_47_14	1	1.000
s__Zobellia galactanivorans	1	1.000
s__Haloquadratum walsbyi	4	1.000
s__Chromobacterium subtsugae	1	1.000
s__Pseudoruegeria lutimaris	1	1.000
s__Candidatus Levybacteria bacterium RIFCSPHIGHO2_02_FULL_40_29	1	1.000
s__Ruminococcus sp. Zagget7	1	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPHIGHO2_12_FULL_45_19b	1	1.000
s__Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_12_FULL_46_13	1	1.000
s__Silvanigrella aquatica	1	1.000
s__Afipia birgiae	1	1.000
s__Deltaproteobacteria bacterium SCGC AAA003-F15	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWF2_35_66	1	1.000
s__Candidatus Woesebacteria bacterium GW2011_GWD2_40_19	1	1.000
s__Nitrospinae bacterium RIFCSPLOWO2_12_FULL_39_93	1	1.000
s__Vibrio cholerae	1	1.000
s__Methyloversatilis discipulorum	1	1.000
s__Thermovirga lienii	2	1.000
s__Moraxella caprae	1	1.000
s__Acidobacteria bacterium 13_1_40CM_4_61_5	1	1.000
s__Denitrovibrio acetiphilus	1	1.000
s__Methylomicrobium agile	1	1.000
s__Prevotella oulorum	1	1.000
s__Pseudoalteromonas spongiae	1	1.000
s__Marinobacterium litorale	1	1.000
s__Chlamydia trachomatis	2	1.000
s__Aeromonas simiae	1	1.000
s__Odoribacter laneus CAG:561	1	1.000
s__Arthrobacter sp. LS16	1	1.000
s__Arthrobacter sp. Edens01	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_01_FULL_43_120	1	1.000
