	kingdom	phylum	class	order	family	genus	species
N433		Deinococcus-Thermus	Deinococci				
N434		Actinobacteria					
N435					Clostridiales Family XVII. Incertae Sedis		
N436							
N437		Firmicutes_6	Clostridia_6	Halanaerobiales			
N439							
N440							Pseudoleptotrichia goodfellowii
N441							Streptobacillus notomytis
N442							
N443							Fusobacterium necrophorum
N444							
N445							
N446							
N447					Borreliaceae		
N448							
N449		Elusimicrobia					
N452							
N453							Thermococcus sibiricus
N454							
N455							
N456							
N457							
N458							
N459							
N460							
N461							
N462							
N463							
N464							
N465							
N466							
N467							
N468				Nitrosopumilales			
N469							
N470						Thermofilum	
N471				Thermoproteales	Thermoproteaceae		
N472							
N473							Methanocaldococcus villosus
N474							
N475							
N476							
N477						Methanothermobacter	
N478						Methanobrevibacter	
N480							
N481							
N482					Ferroplasmaceae		
N483							
N484							
N485							
N486							
N487					Methanomassiliicoccaceae	Methanomassiliicoccus	
N488					Candidatus Methanomethylophilaceae		
N489							
N491					Halorubraceae		
N492					Halococcaceae	Halococcus	
N493							
N494				Halobacteriales_3	Halobacteriaceae_2		
N495				Natrialbales	Natrialbaceae		
N496							
N497							
N498							
N499						Archaeoglobus_2	
N500						Methanocorpusculum	
N501					Methanomicrobiaceae_2		
N502							
N503							
N504							
N505							
N506							
N507							
N508							
N509							
N510							
N511							
N512							
N513							
N514							
N515							
N516							
N517		Candidatus Levybacteria					
N518							
N519							
N520							
N521							
N522							
N523							
N524							
N525							
N526							
N527							
N528							
N529							
N530							
N531							
N532							
N533							
N534							
N535							
N536							
N537							
N538							
N539							
N540							
N541							
N542		Candidatus Kerfeldbacteria					
N543							
N544							
N545							
N546							
N547							
N548							
N549							
N550							
N551							
N552							
N553							Pseudothermotoga lettingae
N554							
N555							Thermotoga maritima
N556							
N557							
N558						Jonquetella	
N559							
N560						Thermovirga	
N561							
N562							
N563							
N564							
N565							
N566							
N567							
N568							
N569							
N570							
N571							
N572							
N573				Synechococcales_1			
N574							
N575							
N576							
N577				Thermales	Thermaceae		
N578				Deinococcales	Deinococcaceae		
N579							
N580							
N581							
N582							
N583							
N584					Halobacteroidaceae		
N585					Halanaerobiaceae		
N586		Firmicutes_4					
N587							
N588							
N589							
N590							
N591							
N592						Leptonema	Leptonema illini
N593						Leptospira	
N594							
N595						Brachyspira	
N596						Borrelia	
N597						Borreliella	
N598					Sphaerochaetaceae		
N599							
N600							
N601							
N603							
N604							
N605							
N607							
N609							
N610							Thermococcus thioreducens
N611							
N612							
N613							
N614							
N615							
N616							
N617						Candidatus Nitrosopelagicus	
N618							
N619							
N620							Thermofilum adornatum
N621							
N622							
N623							
N624				Sulfolobales			
N625							
N626						Methanothermococcus	
N627						Methanococcus	
N628							
N629							
N630						Methanosphaera	
N631						Methanobacterium	
N632							
N633							
