	kingdom	phylum	class	order	family	genus	species
N1965							
N1966							
N1967							
N1968							
N1969							
N1970							
N1971							
N1972							
N1973							
N1974							
N1975							
N1976							
N1978							
N1979							
N1980							
N1981							
N1982							
N1983							
N1984							
N1985							
N1986							
N1987							
N1988							
N1989							
N1992							
N1993							
N1994							
N1995							
N1996							
N1997							
N1998							
N1999							
N2000							
N2001							
N2002							
N2003							
N2004							
N2005							
N2006							
N2007							
N2008							
N2009							
N2010							
N2011							
N2012		Candidatus Wildermuthbacteria					
N2013							
N2014		Candidatus Nealsonbacteria					
N2015							
N2016							
N2017							
N2018							
N2019							
N2020							
N2021							
N2022							
N2023		Candidatus Jorgensenbacteria					
N2024							
N2025							
N2026							
N2027							
N2028							
N2029							
N2030							
N2031							
N2032		Candidatus Giovannonibacteria					
N2033							
N2034							
N2035							
N2036							
N2037							
N2038							
N2039							
N2040							
N2041							
N2042							
N2043							
N2044							
N2045							
N2046							
N2047						Thermosynechococcus	
N2048							
N2049							
N2050				Pseudanabaenales_1			
N2051							
N2052							
N2053			Thermomicrobia	Sphaerobacterales			
N2054						Herpetosiphon	
N2055					Roseiflexaceae		
N2056					Chloroflexaceae		
N2057							
N2058							
N2059							
N2060							
N2062							
N2063							
N2064							
N2065							
N2066						Eggerthella	
N2067						Denitrobacterium	
N2068							
N2069							
N2070						Enorma	
N2071							
N2072							
N2073						Atopobium	
N2074							
N2075						Solirubrobacter	
N2076							
N2077						Patulibacter	
N2078							
N2079							
N2080							
N2081							
N2082							
N2083							
N2084							Thermacetogenium phaeum
N2085						Syntrophomonas	
N2086				Thermoanaerobacterales_3	Thermoanaerobacteraceae_3	Carboxydothermus	
N2087				Eubacteriales_5			
N2088						Desulfitibacter	
N2089							
N2090							
N2091							
N2092							
N2093							
N2094							
N2095							
N2096							
N2097							
N2098							Phascolarctobacterium succinatutens
N2099							
N2100							Acidaminococcus fermentans
N2101							
N2102							
N2103							
N2104						Anaerovibrio	
N2105							
N2106							
N2107							
N2108							
N2109						Thermoanaerobacterium	
N2110							
N2111							
N2112							
N2113							
N2114							
N2116			Tissierellia	Tissierellales			
N2117						Christensenella	
N2118							
N2119							
N2120							
N2122					Oscillospiraceae_1		
N2124							
N2125						Alicyclobacillus	
N2126							
N2127							
N2128		Firmicutes_9	Erysipelotrichia_2	Erysipelotrichales_2	Turicibacteraceae	Turicibacter	
N2129							
N2130				Bacillales_6		Exiguobacterium	
N2132							
N2133							
N2134							
N2135							
N2136							
N2137							
N2138							
N2139							
N2140							
N2141							
N2142							
N2143							
N2144							Treponema endosymbiont of Eucomonympha sp.
N2145							
N2146							
N2147							
N2148							
N2149							
N2150			Phycisphaerae				
N2151			Planctomycetia				
N2152			Lentisphaeria				
N2153							
N2154			Opitutae				
N2155							
N2156							
N2157							
N2158							
N2159							
N2160							
N2161							
N2162							
N2163							
N2164		Candidatus Glassbacteria					
N2165		Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales			
N2166							
N2167			Fibrobacteria	Fibrobacterales	Fibrobacteraceae		
N2168							
N2169							
N2170							
N2172						Persephonella	
N2173						Sulfurihydrogenibium	
N2174							
N2175							
N2176							
N2177						Sulfurospirillum	
N2178						Campylobacter	
N2179							
N2180							
N2181							
N2182							
N2183			Blastocatellia				
N2184							
N2185							
N2186							
N2187							
N2188							
N2189							
N2190							
N2191		candidate division NC10					
N2192							
N2193							
N2194							
N2195							
N2196							
N2197				Rickettsiales			
N2198							
N2199							
N2200							
N2201							
N2202			Betaproteobacteria_7	Ferrovales	Ferrovaceae	Ferrovum	
N2203							
N2204							
N2205							
N2207							
N2208							
N2209							
N2210							
N2211							Desulfurococcus mucosus
N2212							Desulfurococcus amylolyticus
N2213						Pyrodictium	
N2214							Aeropyrum camini
N2215						Acidilobus	
N2216							Metallosphaera sedula
N2217							
N2218							
N2219							
N2220							
N2221							
N2222							
N2225							
N2226							
N2227							
N2228							
N2229						Natronococcus	
N2230						Natrialba	
N2231							
N2232							
N2233							
N2234							
N2235							Methanohalophilus halophilus
N2236							
N2237							Methanosarcina thermophila
N2238							
N2240							
N2241							Methanosarcina siciliae
N2242							
N2245							
N2246							
N2248							
N2249							
N2250							
N2251							
N2252							
N2254							
N2255							
N2256							
N2257							
N2258							
N2260							
N2261							
N2262							
N2264							
N2266							
N2267							
N2269							
N2270							
N2271							
N2272							
N2273							
N2274							
N2275							
N2276							
N2278							
N2279							
N2280							
N2281							
N2282							
N2283							
N2284							
N2285							
N2288							
N2289							
N2290							
N2291							
N2292							
N2293							
N2294							
N2295							
N2296							
N2298							
N2299							
N2300							
N2301							
N2302							
N2303							
N2304							
N2305							
N2306							
N2307							
N2308							
N2309							
N2310							
N2311							
N2312							
N2313							
N2314							
N2315							
N2316							
N2317		Candidatus Wolfebacteria					
N2318							
N2319							
N2320							
N2321							
N2322							
N2323							
N2324							
N2325							
N2326							
N2327							
N2328							
N2329		Candidatus Nomurabacteria					
N2330							
N2331							
N2332							
N2333							
N2334							
N2335							
N2336							
N2337							
N2338							
N2339							
N2340							
N2341							
N2342							
N2343							
N2344							
N2345							
N2346					Leptolyngbyaceae	Phormidesmis	
N2347				Oscillatoriales_3	Coleofasciculaceae	Geitlerinema	
N2348							
N2349							
N2350							
N2351					Sphaerobacteraceae		
N2352						Roseiflexus	
N2353						Chloroflexus	
N2354							
N2355							
N2357							
N2359							
N2360							
N2361							
N2362							
N2363							
N2364							
N2365							Denitrobacterium detoxificans
N2366						Adlercreutzia	
N2367							
N2368							
N2369							Collinsella aerofaciens
N2370							
N2371						Lancefieldella	
N2372							
N2373							
N2374							
N2375							
N2376							
N2377							
N2378							
N2379							
N2380							
N2381							
N2382							
N2383							
N2384							
N2385							
N2386							Veillonella parvula
N2388						Pelosinus	
N2389							
N2390							
N2391							
N2392							
N2393							
N2394						Caldanaerobacter	Caldanaerobacter subterraneus
N2395						Thermoanaerobacter	
N2396							
N2397						Candidatus Arthromitus	
N2398							
N2399							
N2401			Clostridia_4	Eubacteriales_3			
N2402							
N2403					Peptoniphilaceae		
N2404							
N2405							
N2406							
N2407							
N2408							
N2409					Oscillospiraceae_2		
N2410							
N2411							
N2412							
N2413							
N2414							
N2416							
N2417							
N2418					Thermoactinomycetaceae		
N2419							
N2420							Turicibacter sanguinis
N2422							
N2423							
N2424							
N2425				Bacillales_1			
N2426							
N2427							Leptospira weilii
N2428							
N2430							
N2431							
N2432							
N2433							
N2434							
N2435							Treponema socranskii
N2436							
N2437							
N2438		Candidatus Omnitrophica					
N2439							
N2440							
N2441							
N2442							
N2443							
N2444							
N2445				Opitutales			
N2446				Puniceicoccales	Puniceicoccaceae	Coraliomargarita	
N2447			Verrucomicrobiae_2	Verrucomicrobiales_2	Verrucomicrobia subdivision 3		
N2448							
N2449				Parachlamydiales			
N2450							
N2451							Chlamydia trachomatis
N2452							
N2453							
N2454							
N2455		candidate division WOR-3					
N2456							
N2457							
N2458							
N2459							
N2460							
N2461							
N2462							
N2463					Gemmatimonadaceae		
N2464							
N2465							
N2466							
N2467		Candidatus Latescibacteria					
N2468		candidate division Zixibacteria					
N2469							
N2470							
N2471							
N2472							
N2473							
N2474							
N2475							
N2476							
N2478							
N2479							
N2480							
N2481					Arcobacteraceae		
N2482							
N2483							
N2484							
N2485							
N2486							
N2487							
N2488							
N2489							
N2490							
N2491							
N2492							
N2493							
N2494							
N2495							
N2496							Leptospirillum ferriphilum
N2497							
N2498							
N2499		Nitrospirae_1					
N2500							
N2501							
N2502							
N2503							
N2504							
N2505							Candidatus Pelagibacter ubique
N2506							
N2507							
N2508					Anaplasmataceae		
N2509				Holosporales_1	Candidatus Paracaedibacteraceae		
N2510							
N2511							
N2512							
N2513							Acidithiobacillus thiooxidans
N2515							
N2516							
N2517							
N2518				Cardiobacteriales	Cardiobacteriaceae		
N2519							
N2520							
N2521							
N2522							
N2523							
N2524							
N2525							
N2526							
N2528							
N2529							
N2530							
N2531							
N2533							
N2534							
N2535							
N2536							
N2537							
N2538							
N2539							
N2540							
N2541							
N2542							
N2543							
N2545							
N2546							Methanosarcina barkeri
N2547							
N2548							
N2549							
N2552							
N2553							
N2554							
N2555							
N2556							
N2557							
N2558							
N2559							
N2560							
N2562							
N2563							
N2564							
N2565							
N2566							
N2567							
N2568							
N2569							
N2570							
N2571							
N2572							
N2573							
N2574							
N2575							
N2576							
N2577							
N2578							
N2579							
N2580							
N2581							
N2582							
N2583							
N2585							
N2586							
N2587							
N2588							
N2589							
N2590							
N2591							
N2592							
N2593							
N2594							
N2595							
N2596							
N2597							
N2598							
N2599							
N2600							
N2601							
N2602							
N2603							
N2604							
N2605							
N2606							
N2608							
N2609							
N2610							
N2611		Candidatus Colwellbacteria					
N2612							
N2613							
N2614							
N2615							
N2616							
N2617							
N2619							
N2620							
N2621							
N2622							
N2623							
N2624							
N2625							
N2627							
N2628							
N2629							
N2630							
N2631							
N2632							
N2633							
N2634							
N2635							
N2636							
N2637							
N2638							
N2639							
N2640							
N2641							
N2642							
N2643							
N2645							
N2646							
N2648							
N2649							
N2650							
N2651							
N2652							
N2653							
N2654							
N2655							Atopobium minutum
N2656							
N2657							
N2658							
N2659							
N2660							
N2661					Ilumatobacteraceae		
N2662					Acidimicrobiaceae_2		
N2663							
N2664							
N2665				Frankiales	Frankiaceae	Frankia	
N2666							
N2667							
N2668							
N2669							
N2670							
N2671							
N2672							
N2673							
N2674							
N2675							
N2676							
N2677							
N2678							
N2679						Proteiniclasticum	
N2680						Clostridium	
N2681						Acetobacterium	
N2682							
N2683			Clostridia_7	Eubacteriales_6	Eubacteriales Family XIII. Incertae Sedis	Eubacterium	
N2684							
N2685					Peptostreptococcaceae		
N2686							
N2687							
N2688							
N2689							
N2690							
N2691							
N2692							
N2693							
N2694							
N2695							
N2696							
N2697							
N2698							
N2699							
N2700							
N2701							
N2702							
N2703							
N2704							
N2705							
N2706							
N2707							
N2708							
N2709							
N2710							
N2711							
N2712							
N2713							
N2714							
N2715		Tenericutes_1	Mollicutes_1				
N2716		Tenericutes_2	Mollicutes_2				
N2717		Firmicutes_5	Erysipelotrichia_1				
N2718							Exiguobacterium aurantiacum
N2719							
N2720							
N2721					Sporolactobacillaceae		
N2722							
N2723				Bacillales_3			
N2724							
N2725							
N2726							
N2727							
N2728							
N2729							Treponema bryantii
N2731							
N2732							
N2733							
N2734							
N2735				Gemmatales	Gemmataceae		
N2736				Isosphaerales	Isosphaeraceae		
N2737				Planctomycetales	Planctomycetaceae		
N2738				Pirellulales			
N2739							
N2740							
N2741					Opitutaceae		
N2743							
N2744							
N2745			Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae		
N2746							
N2747							
N2748							
N2749							
N2750							Chlamydia muridarum
N2751							Chlamydia pecorum
N2752							Chlamydia pneumoniae
N2753							Chlamydia ibidis
N2754							
N2755							
N2756							
N2757							
N2758							
N2759							
N2760							
N2761							
N2762						Fibrobacter	
N2763							
N2764							
N2765							
N2766							
N2767						Hydrogenobacter	Hydrogenobacter thermophilus
N2768						Thermocrinis	
N2769							
N2770							
N2771							
N2772							
N2773							
N2774							
N2775							
N2776							
N2777							
N2778							
N2779						Arcobacter	
N2780						Aliarcobacter	
N2781							
N2782							
N2783							
N2784							
N2785							
N2786							
N2787							
N2788							
N2789					Nannocystaceae		
N2790					Polyangiaceae		
N2791					Anaeromyxobacteraceae	Anaeromyxobacter	
N2792							
N2793							
N2794							Bdellovibrio bacteriovorus
N2796							
N2797				Bacteriovoracales	Bacteriovoracaceae		
N2798							
N2799							
N2800							
N2801		Candidatus Schekmanbacteria					
N2802		Nitrospinae	Nitrospinia	Nitrospinales			
N2803			Nitrospira_1	Nitrospirales_1	Nitrospiraceae_1		
N2804			Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae		
N2805							
N2806							
N2807							
N2809		Proteobacteria_5	Deltaproteobacteria_2	Desulfovibrionales			
N2810							
N2811							
N2812							
N2813							
N2814							
N2815							
N2816					Candidatus Midichloriaceae		
N2817							
N2818							
N2819							
N2821							
N2822							
N2823							
N2824							Acidithiobacillus ferrivorans
N2825							
N2826							
N2827							
N2828			Betaproteobacteria_3	Neisseriales			
N2829			Betaproteobacteria_2	Nitrosomonadales_1			
N2830							
N2831			Betaproteobacteria_1	Burkholderiales			
N2832							
N2833							
N2834							
N2835						Wohlfahrtiimonas	
N2836							
N2837							
N2838							
N2839							
N2843							
N2844							
N2846							
N2847							
N2849							
N2852							
N2854							
N2855							
N2856							
N2857							
N2858							
N2859							
N2860							
N2861							
N2862							
N2863							
N2864							
N2866							
N2868							
N2869							
N2870							
N2871							
N2872							
N2874							
N2875							
N2876							
N2877							
N2878							
N2879							
N2880							
N2883							
N2884							
N2885							
N2886							
N2888							
N2889							
N2890							
N2891							
N2893							
N2895							
N2896							
N2897							
N2898							
N2899							
N2900							
N2901							
N2902							
N2903							
N2904							
N2905							
N2906							
N2907							
N2908							
N2909							
N2910							
N2911							
N2912							
N2913							
N2914							
N2915							
N2916							
N2917							
N2918							
N2919		Candidatus Liptonbacteria					
N2920							
N2921							
N2922							
N2923							
N2925							
N2926							
N2927							
N2928							
N2929							
N2930							
N2931		Candidatus Vogelbacteria					
N2932							
N2933							
N2934							
N2936							
N2939							
N2940							
N2941							
N2942							
N2943							
N2944							
N2945							
N2946							Chloroflexus aurantiacus
N2947							
N2948							
N2949							
N2951				Anaerolineales			
N2952							
N2953							
N2954							
N2955							
N2956							
N2957							
N2958							
N2959							
N2960							
N2961							Lancefieldella parvula
N2962							
N2963						Fannyhessea	Fannyhessea vaginae
N2964							
N2965							Ferrimicrobium acidiphilum
N2966							
N2967							
N2968						Ilumatobacter	
N2969						Acidimicrobium	
N2970							
N2971							
N2972							
N2973							
N2974							
N2975							
N2976							
N2977							
N2978							
N2979							
N2980							
N2981							
N2982							
N2983					Peptococcaceae_3		
N2984							
N2985							
N2986							
N2987						Selenomonas_2	
N2988							
N2989							
N2990							
N2991						Caloramator	
N2992							
N2993							Proteiniclasticum ruminis
N2994							
N2995							
N2996							
N2997							
N2998					Clostridiaceae_2		
N2999							
N3000							
N3001							
N3002							
N3003					Tissierellaceae		
N3004							
N3005							
N3006							
N3008							
N3009							
N3010							
N3011							
N3012							
N3013							
N3014							
N3015							
N3016							
N3017							
N3018							
N3019						Anaerostipes	
N3020							
N3021							
N3022							
N3023							
N3024							
N3025							
N3026							
N3027							
N3028					Bacillaceae_7	Caldalkalibacillus	
N3029					Paenibacillaceae		
N3030							
N3031							
N3032							
N3033				Acholeplasmatales_2			
N3034							
N3035				Mycoplasmatales	Mycoplasmataceae	Mycoplasma	
N3036				Entomoplasmatales			
N3037							
N3038				Erysipelotrichales_1			
N3039							
N3040							Exiguobacterium enclense
N3041							
N3042						Sporolactobacillus	
N3043							
N3044							
N3045						Gemella	
N3046					Staphylococcaceae		
N3047				Bacillales_4	Listeriaceae		
N3048				Lactobacillales			
N3050							
N3051							
N3052							
N3053							
N3054							
N3055				Sedimentisphaerales			
N3056							
N3057							
N3058							
N3059							
N3060							
N3061							
N3062							
N3063							
N3064							
N3065							
N3066							
N3067							
N3068							
N3069			Spartobacteria				
N3070			Verrucomicrobiae_1	Verrucomicrobiales_1			
N3071					Waddliaceae	Waddlia	Waddlia chondrophila
N3072					Parachlamydiaceae		
N3073							
N3074							
N3075							
N3076							
N3077							
N3078							
N3079							
N3080							
N3081							
N3082						Gemmatimonas	
N3083							
N3084							
N3085							
N3086		Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae		
N3087		Candidatus Marinimicrobia					
N3088							
N3089							
N3090							
N3091							
N3092							
N3093							
N3094							
N3095							
N3096							
N3097							
N3098							
N3099							
N3100							
N3101							
N3102							
N3103							
N3104							
N3105							
N3106							
N3107							
N3108					Thiovulaceae		
N3109							
N3110							
N3111							
N3112							
N3113							
N3114							
N3115			Acidobacteriia				
N3116							
N3117							
N3118							
N3119							
N3120							
N3121							
N3122							
N3123							
N3124						Bacteriovorax	
N3127							
N3128							
N3129							
N3130							
N3131					Nitrospinaceae		
N3132							
N3133							
N3134							
N3135							
N3136							
N3137							
N3138							
N3139							
N3142							
N3143							
N3144							
N3145							
N3146							
N3147							
N3148							
N3149							
N3150							
N3151						Neorickettsia	
N3152						Wolbachia	
N3153							
N3154						Candidatus Paracaedibacter	
N3155							
N3156							
N3157							
N3158							
N3159				Rhodospirillales			
N3160							
N3161							Acidithiobacillus ferrooxidans
N3162							
N3163							
N3164					Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans
N3165							
N3166			Betaproteobacteria_5	Rhodocyclales_2			
N3167							
N3168							
N3169							
N3170							
N3171							
N3172						Cardiobacterium	
N3173							Wohlfahrtiimonas chitiniclastica
N3174							
N3175							
N3176							
N3177							
N3178							
N3179							
N3180							
N3181							
N3184							
N3185							
N3186							
N3187							
N3188							
N3191							
N3192						Natronorubrum	
N3193						Natrinema	
N3194							
N3195							
N3197							
N3199							
N3200							
N3203							
N3204							
N3205							
N3206							
N3207							
N3208							
N3209							
N3210							
N3211							
N3212							
N3213							
N3214							
N3215							
N3216							
N3217							
N3218							
N3219							
N3220							
N3221							
N3223							
N3226							
N3227							
N3228							
N3229							
N3230							
N3232							
N3234							
N3235							
N3236							
N3237							
N3238							
N3239							
N3241							
N3242							
N3243							
N3245							
N3246							
N3247							
N3248							
N3249							
N3250							
N3251							
N3252							
N3253							
N3254							
N3255							
N3256							
N3257							
N3258							
N3259							
N3260							
N3261							
N3262							
N3263							
N3264							
N3265							
N3266							
N3267							
N3268							
N3269		Candidatus Lloydbacteria					
N3270		Candidatus Yonathbacteria					
N3271							
N3272							
N3274							
N3275							
N3276							
N3277							
N3278				Spirulinales	Spirulinaceae		
N3279							
N3280				Oscillatoriales_1			
N3281							
N3282							
N3283							
N3284							
N3285							
N3286							
N3287							
N3288							
N3289							
N3290							
N3291							
N3292							
N3293			Dehalococcoidia				
N3294							
N3295							
N3296							
N3297						Olsenella_1	
N3298							
N3299							
N3300							
N3301							
N3302							
N3304							
N3305							
N3306							
N3307				Geodermatophilales			
N3308							
N3309				Nakamurellales	Nakamurellaceae	Nakamurella	
N3310							
N3311				Jiangellales	Jiangellaceae	Jiangella	
N3312				Propionibacteriales			
N3313							
N3314				Kineosporiales	Kineosporiaceae		
N3315				Micrococcales_2			
N3316				Micrococcales_1			
N3317							
N3318							Syntrophomonas wolfei
N3319						Desulfotomaculum	
N3320							
N3321							
N3322						Desulfitobacterium	
N3323						Desulfosporosinus	
N3324							
N3325							
N3326							
N3327							
N3328							
N3329							
N3330							
N3331							
N3332							
N3333							
N3334							
N3335							
N3336						Alkaliphilus	
N3337					Eubacteriales Family XII. Incertae Sedis		
N3338							
N3339							
N3340							
N3341						Peptoclostridium	
N3342							
N3343							
N3344							
N3345					Gottschalkiaceae		
N3346					Thermohalobacteraceae		
N3347							
N3348						Peptoniphilus	
N3349							
N3350							
N3351							
N3352							
N3353						Ruminiclostridium	
N3354							
N3356							
N3357							
N3358							
N3359							
N3360							
N3361							
N3362						Epulopiscium	
N3363							
N3364							
N3365							
N3366							
N3367							
N3368							
N3369							
N3370							
N3371							
N3372							Alicyclobacillus hesperidum
N3373							
N3374							
N3375							
N3376							
N3377							
N3378							
N3379							
N3381							
N3382							
N3383						Candidatus Izimaplasma	
N3384				Acholeplasmatales_1			
N3385							
N3386							
N3387							
N3388							
N3389							
N3390							
N3391					Erysipelotrichaceae_1		
N3392							
N3393					Bacillaceae_6		
N3394							
N3395							
N3396							
N3397							
N3398							
N3399						Brochothrix	
N3400						Listeria	
N3401							
N3402							
N3403							
N3404							
N3405							
N3406							
N3407							
N3408					Sedimentisphaeraceae		
N3409							
N3410							
N3411						Planctopirus	
N3412							
N3413							
N3414					Pirellulaceae		
N3415							
N3416							
N3417							
N3418							
N3419							
N3420							
N3421						Methylacidiphilum	
N3422							
N3423							
N3424							
N3425							
N3427							
N3429							
N3430							
N3431							
N3432							
N3434							Chlamydia gallinacea
N3435							
N3436							Chlamydia psittaci
N3437							
N3438							
N3439							
N3440							
N3441							
N3442							
N3443							
N3444							
N3445							
N3446		Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae		
N3447							
N3448							
N3449							
N3450							
N3451							
N3452							
N3453							
N3454							
N3455							
N3456							Campylobacter coli
N3457							
N3458					Sulfurovaceae		
N3459							
N3460							
N3462							
N3463							
N3464				Bryobacterales			
N3465				Acidobacteriales			
N3466							
N3467							
N3468							
N3469							
N3470							
N3471							
N3472							
N3474							
N3475							
N3476							
N3477							
N3478							
N3479							
N3480							
N3481							
N3482							
N3483							
N3484							
N3485							
N3486							
N3487		Candidatus Dadabacteria					
N3488		Proteobacteria_3	Deltaproteobacteria_1				
N3489							
N3490							
N3491							
N3493							
N3494							
N3495					Rickettsiaceae		
N3496							
N3497							
N3498							
N3499						Anaplasma	
N3500							
N3501							
N3502							
N3503							
N3504							
N3505							
N3506							
N3507							
N3508					Chromobacteriaceae_2		
N3509							
N3510							
N3511							
N3512							
N3513							
N3514							
N3515							
N3516							
N3517					Sutterellaceae		
N3518							
N3519							
N3520							
N3521							
N3522							
N3523							
N3526							
N3527						Candidatus Thioglobus	
N3528				Thiotrichales_2	Piscirickettsiaceae_2		
N3529							
N3530							
N3532							
N3533							
N3534							
N3536							
N3537							
N3538						Halobiforma	
N3539							
N3540							
N3541							
N3542							
N3543							
N3544							
N3545							
N3546							
N3547							
N3549							
N3550							
N3551							
N3552							
N3553							
N3554							
N3555							
N3556							
N3557							
N3558							
N3559							
N3560							
N3561							
N3562							
N3563							
N3564							
N3565							
N3567							
N3568							
N3570							
N3571							
N3572							
N3573							
N3574							
N3575							
N3576							
N3578							
N3579							
N3581							
N3582							
N3583							
N3584							
N3585							
N3586							
N3587							
N3588							
N3589							
N3590							
N3591							
N3592		Candidatus Harrisonbacteria					
N3593							
N3595							
N3596							
N3597							
N3598							
N3599							
N3600							
N3601							
N3602							
N3603							
N3604							
N3605							
N3606							
N3607							
N3608							
N3609							
N3610							
N3611							
N3612							
N3613							
N3614							
N3615							
N3616						Spirulina	
N3617				Synechococcales_4	Prochloraceae	Prochloron	Prochloron didemni
N3618							
N3619					Oscillatoriaceae_2	Oscillatoria	
N3620					Microcoleaceae		
N3621							
N3623							
N3624							
N3625							
N3626							
N3627							
N3628							
N3629							
N3630							
N3631							
N3632							
N3633						Dehalogenimonas	
N3634				Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi
N3636							Lancefieldella rimae
N3637							
N3638							
N3639							
N3640						Parafannyhessea	Parafannyhessea umbonata
N3641						Olsenella_2	Olsenella uli
N3642							
N3643							
N3644							
N3645							
N3646							
N3647							
N3648							
N3649							
N3650							
N3651					Geodermatophilaceae		
N3652							
N3653							
N3654				Corynebacteriales			
N3655							
N3656							
N3657				Streptosporangiales			
N3658							
N3659							
N3660							
N3661							
N3662					Microbacteriaceae		
N3663				Micrococcales_4	Dermabacteraceae		
N3664							
N3665							
N3666							
N3667							
N3668							
N3669							
N3670							Selenomonas artemidis
N3671							
N3672							
N3673							
N3674							
N3675							
N3676							
N3677							
N3678							
N3679							
N3680							
N3681							
N3682							
N3683							
N3684							
N3685							
N3686							
N3687							
N3688						Gottschalkia	
N3689							
N3690							
N3691							
N3692							
N3693							
N3694						Anaerococcus	
N3695							Ruminiclostridium cellobioparum
N3696							
N3697						Pseudobacteroides	Pseudobacteroides cellulosolvens
N3698						Acetivibrio	
N3699							
N3700							
N3701						Butyricicoccus	
N3702							
N3703							
N3704							
N3705							
N3706							
N3707							
N3708							
N3709						Cellulosilyticum	
N3710							
N3711							
N3712							
N3713							
N3714							
N3715							
N3716							
N3717							
N3718							
N3719							
N3720							
N3721							
N3722							
N3723							
N3724							
N3725							
N3726							
N3727							
N3728						Aneurinibacillus	
N3729						Brevibacillus	
N3730							
N3731							
N3732							
N3733							
N3734							
N3735							
N3736							
N3737							
N3738							
N3739					Entomoplasmataceae		
N3740					Spiroplasmataceae	Spiroplasma	
N3741							
N3742							
N3743							
N3744						Erysipelothrix	
N3745							
N3746						Fictibacillus	
N3747					Bacillaceae_4		
N3748							
N3749					Bacillaceae_2		
N3750							
N3751							
N3752							
N3753							
N3754							
N3755					Carnobacteriaceae_1		
N3756							
N3757							
N3758					Lactobacillaceae		
N3759							
N3760							
N3761							
N3762							
N3763							
N3764							
N3765							
N3766							
N3767							
N3768							
N3769							
N3770							
N3771					Rubritaleaceae		
N3772					Akkermansiaceae	Akkermansia	
N3773							
N3776							
N3779							
N3780							
N3781							
N3782							
N3783							
N3784							
N3785							
N3786							
N3787							
N3788							
N3789							
N3790						Caldithrix	
N3791							
N3792							
N3793							
N3794							
N3795		Ignavibacteriae					
N3796							
N3797							
N3798							
N3799		Bacteroidetes_1					
N3800							
N3801							
N3802							
N3803							Helicobacter cetorum
N3804							
N3805							
N3806							
N3807						Sulfurovum	
N3808						Sulfuricurvum	
N3809						Sulfurimonas	
N3810							
N3811							
N3812							
N3813							
N3814							
N3815					Acidobacteriaceae		
N3816						Chondromyces	
N3817					Archangiaceae		
N3818					Myxococcaceae		
N3819							
N3820							
N3821							
N3822							
N3823							
N3824						Candidatus Nitromaritima	
N3825							
N3826							
N3827							
N3828							
N3829							
N3830							
N3831						Thermodesulfovibrio	
N3832							
N3833							
N3834							
N3835							
N3836							
N3838					Desulfohalobiaceae		
N3839					Desulfonatronaceae	Desulfonatronum	
N3840					Desulfovibrionaceae		
N3841		Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales			
N3842		Proteobacteria_7	Deltaproteobacteria_5	Desulfobacterales_2			
N3843		Proteobacteria_6	Deltaproteobacteria_3				
N3844							
N3845							
N3846						Rickettsia	
N3847							
N3848							
N3849							
N3850						Ehrlichia	
N3851							Anaplasma phagocytophilum
N3852							
N3853							
N3854							
N3855							
N3856							
N3858							
N3859							
N3860					Chromobacteriaceae_1		
N3861					Neisseriaceae		
N3862							
N3863					Methylophilaceae		
N3864							
N3865							
N3866							
N3867							
N3868							
N3869			Betaproteobacteria_6	Nitrosomonadales_2	Sterolibacteriaceae	Methyloversatilis	
N3870							
N3871							
N3872						Sutterella	
N3873							
N3874							
N3875							
N3876							
N3877							
N3878							
N3879							
N3880							
N3881				Chromatiales_4	Halothiobacillaceae	Halothiobacillus	
N3882							
N3883							
N3884							
N3885							
N3886							
N3887							
N3888				Thiotrichales_1			
N3889				Legionellales			
N3890							
N3891							
N3892							
N3895							
N3896							
N3897							
N3899							
N3900							
N3901							
N3902							
N3903							
N3905							
N3906							
N3910							
N3911							
N3912							
N3913							
N3914							
N3915							
N3916							
N3917							
N3918							
N3919							
N3920							
N3921							
N3922							
N3923							
N3924							
N3925							
N3926							
N3927							
N3928							
N3929							
N3930							
N3931							
N3932							
N3933							
N3934							
N3935							
N3937							
N3938							
N3939							
N3940							
N3941							
N3942							
N3943							
N3944							
N3945							
N3946							
N3947							
N3948							
N3949							
N3950							
N3951							
N3952							
N3953							
N3954							
N3955							
N3956							
N3957							
N3958							
N3959							
N3960							
N3961		Candidatus Zambryskibacteria					
N3962		Candidatus Taylorbacteria					
N3963							
N3964							Phormidesmis priestleyi
N3965							
N3966							
N3967							
N3968							
N3969							
N3970							
N3971							
N3972				Oscillatoriales_2	Oscillatoriaceae_1	Moorea	
N3973							
N3974							
N3975							
N3976							
N3977							
N3978							
N3979							Chloroflexi bacterium oral taxon 439
N3980					Anaerolineaceae		
N3981							
N3983							
N3984							
N3985							
N3986							
N3987							
N3988							
N3989							
N3990							
N3991							
N3992							
N3993							
N3994							
N3995							
N3996						Modestobacter	
N3997							
N3998				Glycomycetales	Glycomycetaceae		
N3999				Micromonosporales	Micromonosporaceae		
N4000				Pseudonocardiales_2	Pseudonocardiaceae_2		
N4001							
N4002							
N4003							
