	kingdom	phylum	class	order	family	genus	species
N1							
N2	Archaea						
N3	Bacteria						
N4	Archaea						
N5	Archaea						
N6	Bacteria						
N7	Bacteria						
N8	Archaea						
N9	Archaea						
N10	Archaea						
N12	Bacteria						
N13	Bacteria						
N14	Bacteria						
N15	Archaea						
N16	Archaea						
N17	Archaea	Candidatus Micrarchaeota					
N18	Archaea						
N19	Bacteria						
N20	Bacteria						
N21	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae		
N22	Bacteria						
N25	Archaea	Candidatus Heimdallarchaeota					
N26	Archaea						
N27	Archaea	Euryarchaeota_3					
N28	Archaea						
N29	Archaea						
N31	Bacteria						
N32	Bacteria						
N33	Bacteria						
N34	Bacteria						
N35	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	
N36	Bacteria						
N37	Bacteria	Thermotogae	Thermotogae				
N38	Bacteria						
N39	Bacteria						
N40	Bacteria	Atribacterota					
N41	Bacteria						
N43	Archaea	Candidatus Thorarchaeota					
N44	Archaea	Euryarchaeota_3	Hadesarchaea				
N45	Archaea	Euryarchaeota_3					
N46	Archaea						
N48	Archaea	Candidatus Altiarchaeota					
N49	Archaea	Euryarchaeota_2					
N50	Archaea	Candidatus Thermoplasmatota					
N51	Archaea	Euryarchaeota_1					
N52	Bacteria						
N53	Bacteria						
N54	Bacteria	candidate division WWE3					
N55	Bacteria						
N56	Bacteria	Candidatus Peregrinibacteria					
N58	Bacteria						
N59	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	
N60	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	
N61	Bacteria	Thermotogae	Thermotogae				
N62	Bacteria						
N64	Bacteria	Atribacterota					
N65	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales			
N66	Bacteria						
N67	Archaea	Candidatus Thorarchaeota					
N68	Archaea	Euryarchaeota_3	Candidatus Methanofastidiosa				
N69	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae		
N70	Archaea	Candidatus Bathyarchaeota					
N71	Archaea	Thaumarchaeota					
N72	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales			
N73	Archaea						
N74	Archaea	Candidatus Altiarchaeota					
N75	Archaea	Euryarchaeota_2					
N76	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia				
N77	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N79	Archaea	Euryarchaeota_1					
N80	Bacteria						
N81	Bacteria	candidate division WWE3					
N82	Bacteria	candidate division WWE3					
N83	Bacteria						
N84	Bacteria						
N85	Bacteria	Candidatus Peregrinibacteria					
N86	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N87	Bacteria						
N89	Bacteria	Candidatus Andersenbacteria					
N91	Bacteria	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	
N92	Bacteria	Thermotogae	Thermotogae				
N93	Bacteria	Thermotogae	Thermotogae	Thermotogales			
N94	Bacteria						
N95	Bacteria	Synergistetes	Synergistia	Synergistales			
N96	Bacteria						
N98	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N99	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae		
N100	Bacteria	Candidatus Aerophobetes					
N101	Bacteria						
N102	Archaea	Euryarchaeota_3	Candidatus Methanofastidiosa				
N103	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N104	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae		
N105	Archaea	Candidatus Bathyarchaeota					
N106	Archaea	Candidatus Bathyarchaeota					
N107	Archaea	Thaumarchaeota					
N108	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales	Candidatus Methanomethyliaceae		
N109	Archaea						
N110	Archaea						
N111	Archaea	Candidatus Altiarchaeota					
N112	Archaea	Euryarchaeota_2					
N113	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia				
N114	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N115	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N116	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N117	Archaea	Euryarchaeota_1	Halobacteria				
N118	Archaea	Euryarchaeota_1					
N119	Archaea	Euryarchaeota_1	Methanomicrobia				
N120	Bacteria						
N121	Bacteria	candidate division WWE3					
N122	Bacteria	candidate division WWE3					
N123	Bacteria	candidate division WWE3					
N124	Bacteria	candidate division CPR3					
N125	Bacteria	Candidatus Woykebacteria					
N126	Bacteria						
N127	Bacteria	Candidatus Peregrinibacteria					
N128	Bacteria	Candidatus Peregrinibacteria					
N129	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N130	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N131	Bacteria	Candidatus Berkelbacteria					
N132	Bacteria						
N133	Bacteria						
N134	Bacteria	Candidatus Saccharibacteria					
N135	Bacteria	Candidatus Andersenbacteria					
N136	Bacteria	Candidatus Andersenbacteria					
N137	Bacteria						
N138	Bacteria						
N139	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae		
N140	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae		
N141	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae		
N142	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae		
N143	Bacteria	Candidatus Bipolaricaulota					
N144	Bacteria	Synergistetes	Synergistia	Synergistales			
N145	Bacteria						
N146	Bacteria						
N148	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N149	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N150	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae		
N151	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N152	Bacteria	Candidatus Aerophobetes					
N153	Bacteria	Spirochaetes	Spirochaetia				
N154	Bacteria						
N155	Archaea	Euryarchaeota_3	Candidatus Methanofastidiosa				
N156	Archaea	Euryarchaeota_3	Candidatus Methanofastidiosa				
N157	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N159	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
N160	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae		
N161	Archaea	Candidatus Bathyarchaeota					
N163	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
N164	Archaea	Thaumarchaeota					
N165	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales	Candidatus Methanomethyliaceae	Candidatus Methanomethylicus	
N166	Archaea						
N167	Archaea	Crenarchaeota					
N168	Archaea	Candidatus Altiarchaeota					
N169	Archaea	Euryarchaeota_2	Methanococci	Methanococcales			
N170	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales			
N171	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N172	Archaea	Candidatus Thermoplasmatota	Thermoplasmata			Aciduliprofundum	
N173	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
N174	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N175	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N176	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_2	Halobacteriaceae_1		
N177	Archaea	Euryarchaeota_1	Halobacteria				
N178	Archaea	Euryarchaeota_1					
N179	Archaea	Euryarchaeota_1	Archaeoglobi	Archaeoglobales			
N180	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
N181	Archaea	Euryarchaeota_1	Methanomicrobia				
N182	Bacteria						
N183	Bacteria						
N184	Bacteria	candidate division WWE3					
N185	Bacteria	candidate division WWE3					
N186	Bacteria	candidate division WWE3					
N187	Bacteria	candidate division CPR3					
N188	Bacteria	Candidatus Woykebacteria					
N189	Bacteria	Candidatus Woykebacteria					
N190	Bacteria						
N191	Bacteria						
N193	Bacteria	Candidatus Peregrinibacteria					
N194	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N195	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N196	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N197	Bacteria	Candidatus Berkelbacteria					
N198	Bacteria	Candidatus Berkelbacteria					
N199	Bacteria						
N200	Bacteria						
N201	Bacteria	candidate division CPR2					
N202	Bacteria	Candidatus Saccharibacteria					
N203	Bacteria	Candidatus Saccharibacteria					
N204	Bacteria	Candidatus Andersenbacteria					
N205	Bacteria	Candidatus Andersenbacteria					
N206	Bacteria	Candidatus Doudnabacteria					
N207	Bacteria						
N208	Bacteria	Candidatus Moranbacteria					
N209	Bacteria						
N210	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae		
N211	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	
N212	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	
N213	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga	
N214	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	
N215	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	
N216	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	
N217	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
N218	Bacteria	Candidatus Bipolaricaulota					
N219	Bacteria	Candidatus Bipolaricaulota					
N220	Bacteria	Synergistetes	Synergistia	Synergistales			
N221	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
N222	Bacteria						
N223	Bacteria	Candidatus Melainabacteria					
N224	Bacteria	Cyanobacteria					
N225	Bacteria						
N226	Bacteria						
N227	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N228	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N229	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	
N230	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N231	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N232	Bacteria	Spirochaetes	Spirochaetia	Leptospirales			
N233	Bacteria	Spirochaetes	Spirochaetia				
N234	Bacteria						
N236	Archaea	Euryarchaeota_3	Candidatus Methanofastidiosa				
N237	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N238	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N239	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
N240	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N241	Archaea	Candidatus Bathyarchaeota					
N242	Archaea	Candidatus Bathyarchaeota					
N244	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrosocosmicus	
N245	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
N246	Archaea	Thaumarchaeota					
N247	Archaea	Thaumarchaeota					
N248	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales	Candidatus Methanomethyliaceae	Candidatus Methanomethylicus	Candidatus Methanomethylicus mesodigestum
N249	Archaea	Crenarchaeota					
N250	Archaea	Crenarchaeota	Thermoprotei				
N251	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_1	Methanocaldococcus	
N252	Archaea	Euryarchaeota_2	Methanococci	Methanococcales			
N253	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae		
N254	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N255	Archaea	Candidatus Thermoplasmatota	Thermoplasmata			Aciduliprofundum	
N256	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
N258	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N259	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_2	Halobacteriaceae_1		
N260	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_2	Halobacteriaceae_1		
N261	Archaea	Euryarchaeota_1	Halobacteria				
N263	Archaea	Euryarchaeota_1	Archaeoglobi	Archaeoglobales	Archaeoglobaceae		
N264	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
N265	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
N266	Archaea	Euryarchaeota_1	Methanomicrobia	Methanosarcinales_2		Candidatus Syntrophoarchaeum	
N267	Archaea	Euryarchaeota_1	Methanomicrobia				
N268	Bacteria						
N269	Bacteria	candidate division WWE3					
N270	Bacteria	candidate division WWE3					
N271	Bacteria	Candidatus Woykebacteria					
N272	Bacteria	Candidatus Woykebacteria					
N273	Bacteria	Candidatus Curtissbacteria					
N274	Bacteria	Candidatus Daviesbacteria					
N275	Bacteria						
N276	Bacteria						
N277	Bacteria	Candidatus Peregrinibacteria					
N278	Bacteria	Candidatus Peregrinibacteria					
N279	Bacteria	Candidatus Peregrinibacteria					
N280	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N281	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N282	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N283	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N285	Bacteria	Candidatus Berkelbacteria					
N286	Bacteria	Candidatus Berkelbacteria					
N287	Bacteria						
N288	Bacteria						
N289	Bacteria						
N290	Bacteria	candidate division CPR2					
N291	Bacteria	candidate division CPR2					
N292	Bacteria	Candidatus Saccharibacteria					
N293	Bacteria	Candidatus Saccharibacteria					
N294	Bacteria	Candidatus Andersenbacteria					
N295	Bacteria	Candidatus Andersenbacteria					
N296	Bacteria	Candidatus Doudnabacteria					
N297	Bacteria						
N298	Bacteria	Candidatus Moranbacteria					
N299	Bacteria	Candidatus Moranbacteria					
N300	Bacteria						
N302	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga	
N303	Bacteria	Thermotogae	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	
N304	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	
N306	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
N307	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
N308	Bacteria	Candidatus Bipolaricaulota					
N309	Bacteria	Candidatus Bipolaricaulota					
N310	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
N311	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
N312	Bacteria						
N313	Bacteria						
N314	Bacteria	Candidatus Melainabacteria					
N315	Bacteria	Candidatus Melainabacteria					
N316	Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	
N317	Bacteria	Cyanobacteria					
N319	Bacteria						
N320	Bacteria	Firmicutes_8	Clostridia_8	Eubacteriales_7			
N321	Bacteria						
N322	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
N323	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	
N324	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N325	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	
N326	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N327	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N328	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae		
N329	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae		
N330	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales			
N331	Bacteria						
N332	Bacteria						
N334	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	Thermococcus barophilus
N335	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N336	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N337	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
N339	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N340	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N341	Archaea	Candidatus Bathyarchaeota					
N342	Archaea	Candidatus Bathyarchaeota					
N343	Archaea	Candidatus Bathyarchaeota					
N344	Archaea	Candidatus Bathyarchaeota					
N345	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	
N346	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
N347	Archaea	Thaumarchaeota					
N348	Archaea	Thaumarchaeota				Candidatus Nitrosotenuis	
N349	Archaea	Thaumarchaeota					
N350	Archaea	Crenarchaeota					
N351	Archaea	Crenarchaeota	Thermoprotei	Thermofilales	Thermofilaceae		
N353	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_1	Methanocaldococcus	
N354	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_1	Methanocaldococcus	
N355	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_2	Methanotorris	
N356	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanococcaceae		
N357	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae		
N358	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae		
N359	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N360	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales			
N361	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae		
N362	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N363	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N364	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales			
N365	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_2	Halobacteriaceae_1	Halobacterium	
N366	Archaea	Euryarchaeota_1	Halobacteria	Haloferacales			
N367	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_1			
N368	Archaea	Euryarchaeota_1	Halobacteria				
N369	Archaea	Euryarchaeota_1	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_1	
N370	Archaea	Euryarchaeota_1	Archaeoglobi	Archaeoglobales	Archaeoglobaceae		
N371	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae		
N372	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
N373	Archaea	Euryarchaeota_1	Methanomicrobia	Methanomicrobiales			
N374	Archaea	Euryarchaeota_1	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	
N375	Archaea	Euryarchaeota_1	Methanomicrobia	Methanosarcinales_1			
N376	Bacteria						
N377	Bacteria	candidate division WWE3					
N378	Bacteria	candidate division WWE3					
N379	Bacteria	Candidatus Woykebacteria					
N380	Bacteria	Candidatus Curtissbacteria					
N381	Bacteria	Candidatus Daviesbacteria					
N382	Bacteria	Candidatus Daviesbacteria					
N383	Bacteria						
N384	Bacteria						
N385	Bacteria	Candidatus Shapirobacteria					
N387	Bacteria	Candidatus Peregrinibacteria					
N388	Bacteria	Candidatus Peregrinibacteria					
N389	Bacteria	Candidatus Peregrinibacteria					
N390	Bacteria	Candidatus Peregrinibacteria					
N391	Bacteria	Candidatus Peregrinibacteria					
N392	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N393	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N394	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N395	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N396	Bacteria	Candidatus Berkelbacteria					
N397	Bacteria						
N398	Bacteria	candidate division CPR2					
N399	Bacteria	candidate division CPR2					
N400	Bacteria	candidate division CPR2					
N401	Bacteria	Candidatus Saccharibacteria					
N402	Bacteria	Candidatus Saccharibacteria					
N403	Bacteria	Candidatus Andersenbacteria					
N404	Bacteria	Candidatus Doudnabacteria					
N405	Bacteria						
N407	Bacteria	Candidatus Moranbacteria					
N408	Bacteria	Candidatus Moranbacteria					
N409	Bacteria	Candidatus Moranbacteria					
N411	Bacteria						
N412	Bacteria						
N413	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga	
N414	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Petrotoga	Petrotoga mobilis
N415	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	
N416	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga	
N417	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana
N418	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
N419	Bacteria	Candidatus Bipolaricaulota					
N420	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	
N421	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
N422	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae		
N423	Bacteria						
N424	Bacteria						
N425	Bacteria						
N426	Bacteria						
N427	Bacteria	Candidatus Melainabacteria					
N428	Bacteria	Candidatus Melainabacteria					
N429	Bacteria	Candidatus Melainabacteria					
N430	Bacteria	Cyanobacteria					
N432	Bacteria						
N433	Bacteria	Deinococcus-Thermus	Deinococci				
N434	Bacteria	Actinobacteria					
N435	Bacteria	Firmicutes_8	Clostridia_8	Eubacteriales_7	Clostridiales Family XVII. Incertae Sedis		
N436	Bacteria	Firmicutes_8	Clostridia_8	Eubacteriales_7			
N437	Bacteria	Firmicutes_6	Clostridia_6	Halanaerobiales			
N439	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	
N440	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	Pseudoleptotrichia goodfellowii
N441	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Streptobacillus	Streptobacillus notomytis
N442	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
N443	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum
N444	Bacteria	Spirochaetes	Spirochaetia	Leptospirales	Leptospiraceae		
N445	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae		
N446	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae		
N447	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae		
N448	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales			
N449	Bacteria	Elusimicrobia					
N452	Bacteria						
N453	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	Thermococcus sibiricus
N454	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N455	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N456	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
N457	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	
N458	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N459	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N460	Archaea	Euryarchaeota_3	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_1	
N461	Archaea	Candidatus Bathyarchaeota					
N462	Archaea	Candidatus Bathyarchaeota					
N463	Archaea	Candidatus Bathyarchaeota					
N464	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
N465	Archaea	Thaumarchaeota					
N466	Archaea	Thaumarchaeota				Candidatus Nitrosotenuis	
N467	Archaea	Thaumarchaeota					
N468	Archaea	Thaumarchaeota		Nitrosopumilales			
N469	Archaea	Crenarchaeota					
N470	Archaea	Crenarchaeota	Thermoprotei	Thermofilales	Thermofilaceae	Thermofilum	
N471	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae		
N472	Archaea	Crenarchaeota	Thermoprotei				
N473	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_1	Methanocaldococcus	Methanocaldococcus villosus
N474	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanocaldococcaceae_1	Methanocaldococcus	
N475	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanococcaceae		
N476	Archaea	Euryarchaeota_2	Methanococci	Methanococcales	Methanococcaceae		
N477	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	
N478	Archaea	Euryarchaeota_2	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	
N480	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N481	Archaea	Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales			
N482	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae		
N483	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae		
N484	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae		
N485	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N486	Archaea	Candidatus Thermoplasmatota	Thermoplasmata				
N487	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	
N488	Archaea	Candidatus Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae		
N489	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_2	Halobacteriaceae_1	Halobacterium	
N491	Archaea	Euryarchaeota_1	Halobacteria	Haloferacales	Halorubraceae		
N492	Archaea	Euryarchaeota_1	Halobacteria	Halobacteriales_1	Halococcaceae	Halococcus	
