taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
13	17.32050807568877	0.34641016151377546	1.6215366316253903	18.849555921538762	Dictyoglomus	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
113	2.0493901531919194	2.0493901531919194	4.506844334724896	13.194689145077128	Gemmata	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
118	1.5427248620541512	1.5427248620541512	1.9224898602787268	7.476990515543709	Planctomyces	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
123	2.23606797749979	1.224744871391589	2.1533493378295727	8.603605814318215	Pirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
127	2.23606797749979	2.23606797749979	5.854012275867273	15.707963267948964	Isosphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
138	11.83702739152082	0.3957294552191759	1.4394854051226158	14.716038063474812	Borrelia	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
146	25.17200799876072	0.33693281099805	2.2327346941958037	26.644712532085155	Spirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
157	8.671161939673718	0.24728076132029184	0.4115087361798777	6.736239177742654	Treponema	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
171	8.48528137423857	0.10000000000000002	0.06638144468457637	2.6657297628950194	Leptospira	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
810	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydia	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
832	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacter	Fibrobacteraceae	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria
848	2.7757842335187997	0.5774625685005995	0.6590417375372073	5.035694971050067	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
2086	0.8714947155090512	0.8714947155090512	0.34657154017254344	2.3860491682048117	Anaeroplasma	Anaeroplasmataceae	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria
2093	0.49083121434804633	0.16340010363015267	0.009112226245871833	0.2519616096468844	Mycoplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
2129	0.5581476642608586	0.5581476642608586	0.09104287365672192	0.9786966369620602	Ureaplasma	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
2132	3.4331180826118337	0.1449981325585217	0.05517313920575119	1.56387134813709	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
2147	3.1622776601683795	0.3	0.2164596525098353	2.9803764797388297	Acholeplasma	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
2332	1.3160740129524924	0.7400828044922853	0.4599807778127173	3.0599230143386476	Propionigenium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
2735	1.949358868961793	0.8944271909999159	1.0374899075603423	5.477553959507076	Verrucomicrobium	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
29521	4.69041575982343	0.28284271247461906	0.28878366994931715	4.1677936304377265	Brachyspira	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
32067	8.745587041696618	0.9641141027335822	6.14770887836636	26.489104390290052	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
32068	4.898979485566356	0.3872983346207417	0.5619382535379379	5.960752959477659	Sebaldella	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
32205	16.522711641858308	0.14142135623730953	0.25879766706753005	7.340847364572286	Leptonema	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
33973	1.5905973720586866	0.4898979485566356	0.2690393452088433	2.4480244672677305	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
34093	0.3741657386773941	0.3741657386773941	0.027427781169924326	0.4398229715025709	Simkania	Simkaniaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
34096	4.4721359549995805	0.2449489742783178	0.20689679244073625	3.4414423257272846	Brevinema	Brevinemataceae	Brevinematales	Spirochaetia	Spirochaetes	Bacteria
35838	1.7320508075688772	0.5916079783099616	0.421913420822958	3.2191745248034973	Holophaga	Holophagaceae	Holophagales	Holophagae	Acidobacteria	Bacteria
44675	1.4142135623730951	0.10000000000000002	0.01084540795759677	0.4442882938158366	Geothrix	Holophagaceae	Holophagales	Holophagae	Acidobacteria	Bacteria
46238	0.28010646040516424	0.28010646040516424	0.011507155952328166	0.2464881945746655	Entomoplasma	Entomoplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
46239	0.589835068991672	0.3560756597662752	0.04241868284189621	0.6598158601433699	Mesoplasma	Entomoplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
48463	4.680694638641431	0.5946035575013605	1.2429143548900554	8.743547732937072	Prosthecobacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
64895	10.048679668999203	0.28551586814149615	0.6371595785049228	9.013409962747842	Borreliella	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
71666	0.316227766016838	0.316227766016838	0.016557647109660175	0.31415926535897937	Waddlia	Waddliaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
78553	0.8485281374238571	0.8485281374238571	0.31988757154740244	2.261946710584652	Alterococcus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
83551	0.4898979485566356	0.4898979485566356	0.06156239184776948	0.7539822368615503	Parachlamydia	Parachlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
112987	0.4898979485566356	0.4898979485566356	0.06156239184776948	0.7539822368615503	Neochlamydia	Parachlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
134550	2.5922962793631443	0.8366600265340756	1.2718633578358476	6.81370817563567	Candidatus Xiphinematobacter			Spartobacteria	Verrucomicrobia	Bacteria
167639	1.6509636244473131	0.8818835036460052	0.8168123785181196	4.574025654607036	Ilyobacter	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
172900	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
173479	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonas	Gemmatimonadaceae	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria
178440	0.6000000000000001	0.6000000000000001	0.1130973355292326	1.1309733552923258	Opitutus	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
180162	6.324555320336758	0.5291502622129179	1.3520536170951452	10.513779971646771	Cetobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
206680	2.5	2.5	8.18123086872342	19.634954084936204	Candidatus Fritschea	Simkaniaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
265487	1.4142135623730951	1.0246950765959597	0.884579000346265	4.552600272623071	Blastopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
282132	0.7071067811865476	0.7071067811865476	0.18512012242326534	1.5707963267948968	Candidatus Protochlamydia	Parachlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
292833	1.0	0.32339218190420044	0.07232105350501769	1.01596650289861	Candidatus Rhabdochlamydia	Rhabdochlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
338321	5.123475382979799	0.3	0.3550885505698164	4.828761787205247	Turneriella	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
340070	0.7071067811865476	0.7071067811865476	0.18512012242326534	1.5707963267948968	Criblamydia	Criblamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
361050	0.6928203230275509	0.6928203230275509	0.1741247389664849	1.5079644737231006	Rubritalea	Rubritaleaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
392733	1.1224972160321824	0.5916079783099616	0.2543536258731245	2.086263535817181	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
466152	3.464101615137755	3.464101615137755	21.765592370810605	37.69911184307751	Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
1649453	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	Gimesia	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
1649480	1.284523257866513	1.284523257866513	1.1097484283266326	5.1836278784231595	Planctopirus	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
1649490	1.1224972160321824	1.1224972160321824	0.7405500915879567	3.95840674352314	Rubinisphaera	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
1911556	17.838106725040817	0.3080070288241023	1.3200041890573402	17.260733928492243	Sediminispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
2024958	21.213203435596427	0.4161791450287817	2.8635458101700517	27.73552833998566	Alkalispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
2035349	6.2048368229954285	0.4472135954999579	0.9512374398888244	8.717565823576443	Oceanispirochaeta	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
2755140	8.660254037844389	1.224744871391589	9.721665237506778	33.321622036187755	Pseudoleptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
2767358	0.4898979485566356	0.15811388300841897	0.008584270781860217	0.2433467205584167	Mycoplasmopsis	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
