taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
417948	4.4721359549995805	1.8	9.853385834641339	25.289333031746615	rods	Brevibacterium album	Brevibacterium	Brevibacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
433641	1.0816653826391969	0.6	0.24928501401213612	2.0388912118450158	rods	Pseudolysinimonas kribbensis	Pseudolysinimonas	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
433649	0.3872983346207417	0.3872983346207417	0.030418340069802083	0.47123889803846897	coccus	Marmoricola bigeumensis	Marmoricola	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
433652	4.0	0.5656854249492381	0.957918897808378	7.108612701053387	rods	Nocardioides dilutus	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
433654	4.0	0.3872983346207417	0.456029728003568	4.8669344111683355	rods	Nocardioides tritolerans	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
433660	3.4	0.7348469228349535	1.3381044917546039	7.849204960590608	rods	Nocardioides halotolerans	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
433663	3.7000000000000006	0.5477225575051661	0.8287739322995764	6.366668302595477	rods	Nocardioides islandensis	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
436356	1.284523257866513	0.8485281374238571	0.5664370036764584	3.424191879625638	rods	Pedococcus aerophilus	Pedococcus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
441500	1.1224972160321824	0.4898979485566356	0.18080454452981728	1.7275903365350889	rods	Corynebacterium timonense	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
441501	0.6000000000000001	0.458257569495584	0.07376614284694176	0.8637951682675445	rods	Corynebacterium massiliense	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
443156	0.458257569495584	0.458257569495584	0.05038805148227342	0.6597344572538565	coccus	Pedococcus dokdonensis	Pedococcus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
446786	1.0816653826391969	1.0816653826391969	0.6626396438496304	3.675663404700059	coccus	Microlunatus aurantiacus	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
450798	0.9797958971132712	0.6324555320336759	0.2415813708002067	1.9467737644673335	rods	Catenulispora subtropica	Catenulispora	Catenulisporaceae	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
450799	0.9797958971132712	0.6324555320336759	0.2415813708002067	1.9467737644673335	rods	Catenulispora yoronensis	Catenulispora	Catenulisporaceae	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
451807	1.095445115010332	0.316227766016838	0.07775723458835204	1.0882796185405306	rods	Microbacterium halophilum	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
453836	2.449489742783178	0.9	1.367446289941085	6.9257690828740675	rods	Glutamicibacter soli	Glutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
