taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
1162	3.415004240694717	3.415004240694717	20.85318347081664	36.638051377484324	Nostocaceae	Nostocales		Cyanobacteria	Bacteria
1890422	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria
1890426	1.427974194107646	1.427974194107646	1.5246132842819542	6.406053935315121	Synechococcaceae	Synechococcales		Cyanobacteria	Bacteria
1890428	2.934197480175152	2.934197480175152	13.22716105841043	27.047588612108385	Merismopediaceae	Synechococcales		Cyanobacteria	Bacteria
1890431	4.541589259952082	4.541589259952082	49.048099583628435	64.79859376470242	Chamaesiphonaceae	Synechococcales		Cyanobacteria	Bacteria
1890436	1.9617803881404023	1.9617803881404023	3.953209115242667	12.090677853059685	Pseudanabaenaceae	Pseudanabaenales		Cyanobacteria	Bacteria
1890438	1.6981006867588608	1.6981006867588608	2.563828288917553	9.058926748841122	Leptolyngbyaceae	Pseudanabaenales		Cyanobacteria	Bacteria
1890448	2.0	2.0	4.188790204786391	12.566370614359172	Spirulinaceae	Spirulinales		Cyanobacteria	Bacteria
1890449	3.24037034920393	3.24037034920393	17.814866446946194	32.98672286269284	Microcystaceae	Chroococcales		Cyanobacteria	Bacteria
1890450	4.764539844887167	4.764539844887167	56.631949488157524	71.31679196545622	Aphanothecaceae	Chroococcales		Cyanobacteria	Bacteria
1890464	6.572595735891494	6.572595735891494	148.66522225923984	135.71370724727075	Chroococcaceae	Chroococcales		Cyanobacteria	Bacteria
1890498	22.3048464894917	22.3048464894917	5810.270319074417	1562.9617505267563	Dermocarpellaceae	Pleurocapsales		Cyanobacteria	Bacteria
1890499	16.622345273697963	16.622345273697963	2404.780931553495	868.0294718791517	Xenococcaceae	Pleurocapsales		Cyanobacteria	Bacteria
1890500	6.079629891596002	6.079629891596002	117.66032595188442	116.11923230510646	Hyellaceae	Pleurocapsales		Cyanobacteria	Bacteria
1890528	5.146551493923856	5.146551493923856	71.37524134131945	83.21134036131201	Chroococcidiopsidaceae	Chroococcidiopsidales		Cyanobacteria	Bacteria
1892249	3.350368958834508	3.350368958834508	19.691397137447154	35.264290075617	Cyanothecaceae	Oscillatoriales		Cyanobacteria	Bacteria
1892251	2.9839496081972334	2.9839496081972334	13.911471690229343	27.972600446092706	Coleofasciculaceae	Oscillatoriales		Cyanobacteria	Bacteria
1892252	6.616638985608321	6.616638985608321	151.67393032435862	137.5386482359945	Microcoleaceae	Oscillatoriales		Cyanobacteria	Bacteria
1892254	7.488210771136016	7.488210771136016	219.85320563337314	176.1594690797037	Oscillatoriaceae	Oscillatoriales		Cyanobacteria	Bacteria
1892259	6.653712290320144	6.653712290320144	154.2377481012616	139.08423572114538	Aphanizomenonaceae	Nostocales		Cyanobacteria	Bacteria
1892263	6.324555320336758	6.324555320336758	132.4611768772814	125.66370614359175	Hapalosiphonaceae	Nostocales		Cyanobacteria	Bacteria
2815910	1.933907960581372	1.933907960581372	3.7870934826479825	11.749556524425827	Geminocystaceae	Chroococcales		Cyanobacteria	Bacteria
2881384	1.296148139681572	1.296148139681572	1.1401514526045566	5.277875658030852	Thermostichaceae	Thermostichales		Cyanobacteria	Bacteria
2881426	0.9888299771583009	0.9888299771583009	0.5062482023520575	3.071801304852711	Prochlorococcaceae	Synechococcales		Cyanobacteria	Bacteria
