taxid	length	width	volume	surface	order	class	phylum	superkingdom
135613	2.3731612170925835	0.6738774694938396	0.7405092553997291	5.024097412896212	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
135614	1.799072502660503	0.4763211955741192	0.28948545250199115	2.692144990108735	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135618	1.948529139608345	1.187817110914375	1.6966151242955876	7.271204425632192	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria
135619	1.8454311830732488	0.6111688574242958	0.47388304035342577	3.543308318620104	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
135622	1.9171958126357023	0.6334442738148934	0.5312692884853533	3.815265444174004	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135623	1.928349830645899	0.7627899613292178	0.7569011534186033	4.621049978630835	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
135624	2.00921733328244	0.7353514386346955	0.7448635921970888	4.641643004785337	Aeromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
171549	2.1587565091040033	0.6873190868546959	0.7007035048653754	4.661352402112579	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
186802	3.4299513621737048	0.6328706887950505	0.9928498871158918	6.819504436814861	Eubacteriales	Clostridia	Firmicutes	Bacteria
186826	2.074493235284789	0.7537928311267947	0.7742089752230454	4.912628218137747	Lactobacillales	Bacilli	Firmicutes	Bacteria
188710	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteriales	Thermodesulfobacteria	Thermodesulfobacteria	Bacteria
189769	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenales	Chrysiogenetes	Chrysiogenetes	Bacteria
189772	1.2	0.7	0.3720169300625912	2.638937829015426	Herpetosiphonales	Chloroflexia	Chloroflexi	Bacteria
191393	2.308667154536208	0.40453913208906467	0.2781350157885499	2.9340785426920473	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
200644	2.188004898198584	0.4679294223746627	0.3433743307672529	3.216462675544548	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
200666	1.7014141897006823	0.5355846751762564	0.3376231227825088	2.862780597411169	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
203487	10.000000000000002	0.4898979485566356	1.8541743962299917	15.39059796194237	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
