taxid	length	width	volume	surface	phylum	superkingdom
976	2.2242815600417702	0.5141389768912455	0.4175176727350478	3.5926934576503715	Bacteroidetes	Bacteria
1117	3.4278273002005224	1.161895003862225	3.223834918186189	12.512257982166126	Cyanobacteria	Bacteria
1224	1.8037230939721942	0.6277904864719605	0.484394163383206	3.557414481219392	Proteobacteria	Bacteria
1239	2.7645956060069827	0.6736223478796781	0.8817374548943191	5.850567211038446	Firmicutes	Bacteria
1297	2.10389132646105	1.00177025842021	1.30919236133426	6.621270181284903	Deinococcus-Thermus	Bacteria
28889	1.1164350423896134	1.1164350423896134	0.728616498468221	3.915766546929732	Crenarchaeota	Archaea
28890	2.278357236836425	0.7471322546845274	0.8381382163734901	5.347726392486426	Euryarchaeota	Archaea
32066	2.0088452889693715	0.4592449636317307	0.28845499252695184	2.8982828423426197	Fusobacteria	Bacteria
40117	3.350368958834508	0.34641016151377546	0.3043242053006995	3.6461382524904526	Nitrospirae	Bacteria
57723	1.8553533972252076	0.6635665509018382	0.5560633638284532	3.8677732233232582	Acidobacteria	Bacteria
67814	4.95	0.3	0.3428262983229862	4.665265090580842	Caldiserica	Bacteria
67819	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Armatimonadetes	Bacteria
68297	10.000000000000002	0.4898979485566356	1.8541743962299917	15.39059796194237	Dictyoglomi	Bacteria
74201	1.23299395439394	0.7360132950462046	0.40689908500081956	2.850995154519163	Verrucomicrobia	Bacteria
142182	4.415880433163924	0.5656854249492381	1.06244105089634	7.84769593338055	Gemmatimonadetes	Bacteria
200783	1.8307935074996564	0.4755787773842296	0.29376447134145345	2.735342431170804	Aquificae	Bacteria
200795	7.994853271248861	0.46702819882076335	1.2114944881724703	11.730147523447478	Chloroflexi	Bacteria
200918	2.6291670967500314	0.6693060539599819	0.8220897903145069	5.528315428164653	Thermotogae	Bacteria
200930	2.308667154536208	0.40453913208906467	0.2781350157885499	2.9340785426920473	Deferribacteres	Bacteria
200938	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Bacteria
200940	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Bacteria
201174	1.3072623398038767	0.580630104340597	0.2863501790582858	2.384581509110258	Actinobacteria	Bacteria
203682	1.8109003580369532	1.5648777970772536	2.446307980641971	8.902763897741558	Planctomycetes	Bacteria
203691	12.000008461448497	0.2436633969592678	0.5453631712532994	9.185900131195469	Spirochaetes	Bacteria
256845	0.8944271909999159	0.8944271909999159	0.3746567856555054	2.5132741228718345	Lentisphaerae	Bacteria
508458	2.9705101942901346	0.7142571613250063	1.0701338315016036	6.665542828398362	Synergistetes	Bacteria
544448	1.0	0.3499999999999999	0.08498662626429886	1.0995574287564276	Tenericutes	Bacteria
651137	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Thaumarchaeota	Archaea
1134404	4.723156822715971	0.2719393264843193	0.26768467331013107	4.03509957120083	Ignavibacteriae	Bacteria
1853220	8.563390382741252	0.5544265176609817	1.9932551819121036	14.915561581186438	Rhodothermaeota	Bacteria
1930617	6.619501839293746	0.2449489742783178	0.30808497821317854	5.0939045758454045	Calditrichaeota	Bacteria
1936987	2.75039525083473	0.3647520251607473	0.26762481997403953	3.1516841960579867	Balneolaeota	Bacteria
