taxid	length	width	volume	surface	order	class	phylum	superkingdom
2037	1.9684696914562185	0.6441897610049596	0.5614821403721817	3.9837531761502105	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
84993	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
84996	2.0	0.8944271909999159	1.0693086686081643	5.619851784832581	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
84999	0.864175660815655	0.4931693703640425	0.13111507260356897	1.3388995599159925	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
85004	2.2145523726199894	0.7920956547102256	0.9082592067607561	5.510784891134937	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
85006	1.2953701593842002	0.5923432672564528	0.28721779608728865	2.4105559576403204	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
85007	1.6574980226337135	0.5727052396596055	0.369377993955895	2.982181338030028	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
85009	1.284914042391528	0.6518270387227358	0.33253665470251786	2.6312148997525537	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
414714	0.9797958971132712	0.6324555320336759	0.2415813708002067	1.9467737644673335	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
588673	1.4	0.7	0.4489859500755412	3.078760800517997	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
622452	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria
1643682	1.6894908204711565	1.4380363967907612	1.9431846430102864	7.632654206908921	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria
1643683	10.000000000000002	0.4	1.2398819006167718	12.566370614359172	Acidothermales	Actinomycetia	Actinobacteria	Bacteria
1643684	1.1465313506452401	1.1465313506452401	0.7891443035767604	4.129730790872744	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria
1643822	0.7205896267537512	0.43737068749201624	0.08433686892840103	0.9901193589410817	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria
2495578	15.811388300841893	0.7745966692414834	7.3292678390678665	38.476494904855926	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria
