taxid	length	width	volume	surface	class	phylum	superkingdom
31969	0.7839220803108085	0.1972578311557905	0.020814180312058443	0.48579945540227476	Mollicutes	Tenericutes	Bacteria
134549	2.5922962793631443	0.8366600265340756	1.2718633578358476	6.81370817563567	Spartobacteria	Verrucomicrobia	Bacteria
203486	17.32050807568877	0.34641016151377546	1.6215366316253903	18.849555921538762	Dictyoglomia	Dictyoglomi	Bacteria
203490	3.1411645246617432	0.6651665793200763	0.9812979981076458	6.5640363452124015	Fusobacteriia	Fusobacteria	Bacteria
203494	2.9418844388682923	0.652898900937385	0.8691635980703787	6.034223881167392	Verrucomicrobiae	Verrucomicrobia	Bacteria
203683	1.7271460720196175	1.5585959546385686	2.27959912928292	8.456925146727505	Planctomycetia	Planctomycetes	Bacteria
203692	9.990262457071067	0.25295773549754375	0.49690142805067644	7.939163305495574	Spirochaetia	Spirochaetes	Bacteria
204429	0.6689093073995175	0.5900553340859004	0.1257692156572144	1.239966215258851	Chlamydiia	Chlamydiae	Bacteria
204430	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteria	Fibrobacteres	Bacteria
204432	1.3362039971366577	0.5383563270955295	0.2615934497582088	2.2599168526405893	Acidobacteriia	Acidobacteria	Bacteria
219685	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadetes	Gemmatimonadetes	Bacteria
414999	0.7135242690016328	0.7135242690016328	0.19020628804255652	1.5994378577370123	Opitutae	Verrucomicrobia	Bacteria
533205	1.5650845800732873	0.24322992790977876	0.06764483107828849	1.1959270701511662	Holophagae	Acidobacteria	Bacteria
1313211	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Lentisphaeria	Lentisphaerae	Bacteria
