taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
455252	1.1	0.6	0.2544690049407733	2.073451151369264	Methylonatrum			Gammaproteobacteria	Proteobacteria	Bacteria
455358	2.5236230564876885	0.37416573867739417	0.26111532569153967	2.9664591835165672	Balneola	Balneolaceae	Balneolales	Balneolia	Balneolaeota	Bacteria
455433	0.8387862445066171	0.8387862445066171	0.30899576098033316	2.2103063540014607	Pelagicoccus	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
456492	1.6336815491213954	0.579030182263979	0.3765720620179278	2.971792477104759	Saccharibacillus	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
457476	1.1832159566199232	0.4898979485566356	0.19224975749175746	1.821040109049228	Daeguia	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
457933	1.25	0.75	0.4417864669110647	2.9452431127404313	Elioraea	Elioraeaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
458839	1.083584663821582	0.4619670965224729	0.15442250665252286	1.5726198987514426	Actinotalea	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
459520	1.7435595774162693	0.4415880433163923	0.24336335501960113	2.418822335138687	Neptuniibacter	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
459532	2.637355419899447	0.6222964531028842	0.7377625571308691	5.156035029422436	Terribacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
459786	3.68177154529256	0.5	0.6901452841105485	5.783313219443521	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
460073	2.7973815333168797	1.069689465533158	2.1434952239005356	9.400680554226646	Segetibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
466152	3.464101615137755	3.464101615137755	21.765592370810605	37.69911184307751	Singulisphaera	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
467975	1.45	0.4	0.16545721308906242	1.8221237390820801	Iamia	Iamiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
468938	0.9	0.9	0.3817035074111599	2.5446900494077327	Cerasicoccus	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria
469322	0.61	0.3872983346207417	0.05665476191596547	0.742207497703171	Steroidobacter	Steroidobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
472054	8.750000000000002	0.55	2.0352938905975377	15.118914645400881	Leptobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
472568	1.4142135623730951	1.0	0.8489213467404422	4.442882938158366	Devriesea	Dermabacteraceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
475230	10.302038307605576	0.6299703934786846	3.072324022972426	20.388870745055915	Pullulanibacillus	Sporolactobacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
475794	1.6	0.5	0.2814343418840856	2.5132741228718345	Haliea	Halieaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
475965	100.00000000000004	0.4472135954999579	15.684547218845493	140.4962946208145	Levilinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
475966	100.00000000000004	0.2	3.1394982584874005	62.83185307179587	Leptolinea	Anaerolineaceae	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria
476278	3.363585661014859	0.4472135954999579	0.5045658185699581	4.725713220122906	Thiohalospira	Ectothiorhodospiraceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
477695	0.6708203932499369	0.6708203932499369	0.15805833144841633	1.413716694115407	Thermogladius	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea
481178	3.3751701212626886	0.9157103753711766	2.0183074711503926	9.709652237752028	Seohaeicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
482136	1.1	0.525	0.2002397161274401	1.8142697574481057	Fangia	Fastidiosibacteraceae	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
482460	3.117869632876235	0.6708203932499369	1.0201223154279069	6.570736957948057	Sediminibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
484508	4.315338559949186	0.5415173023163785	0.9413834070541715	7.341369517553261	Ornithinibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
485576	4.4721359549995805	0.5	0.8453769179051971	7.0248147310407285	Aquisalibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
488548	1.5	0.45	0.21470822291877742	2.1205750411731104	Lutaonella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
488937	2.1213203435596424	0.7483314773547882	0.8232942923335594	4.9871237292396495	Desulfonatronospira	Desulfohalobiaceae	Desulfovibrionales	Deltaproteobacteria	Proteobacteria	Bacteria
490567	1.5696647368781274	0.4200879100952666	0.1973208919947231	2.0715573329212784	Arenimonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
490828	2.420911461044447	0.6271405283795279	0.6653410651875518	4.769728364524745	Lutimaribacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
492233	6.0	0.34641016151377546	0.5546038814607573	6.529677711243183	Thiohalorhabdus			Gammaproteobacteria	Proteobacteria	Bacteria
496496	4.529868801645403	0.9283177667225557	2.8533905416911325	13.210892504487287	Viridibacillus	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria
497721	2.738612787525831	0.9219544457292888	1.6230928645573202	7.9321326298130375	Desulfoluna	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
497742	3.0500000000000003	1.15	2.7698375229149996	11.019136232466197	Desulfatirhabdium	Desulfobacteraceae	Desulfobacterales	Deltaproteobacteria	Proteobacteria	Bacteria
499228	3.872983346207418	0.6928203230275509	1.3730179538672578	8.429777677248872	Tepidanaerobacter	Tepidanaerobacteraceae	Thermosediminibacterales	Clostridia	Firmicutes	Bacteria
499551	2.9154759474226504	0.5049752469181039	0.5345607865546003	4.6251883787972545	Methanolinea	Methanoregulaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea
501022	1.4071247279470291	0.3872983346207417	0.15056380651520854	1.712095939812819	Glaciibacter	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
501783	1.4142135623730951	0.2449489742783178	0.06279559458188991	1.0882796185405306	Cloacibacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
504090	1.1402043300573217	0.47388274119101464	0.171408362878204	1.697475249428627	Kushneria	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
504481	1.4944191969668907	0.41964009955023057	0.18702991922963197	1.970149994722019	Sediminibacterium	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidetes	Bacteria
508459	3.2265045183338117	0.9457416090031758	2.0391465942828164	9.58638015051518	Cloacibacillus	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria
510690	0.85	0.25	0.037633661996127735	0.667588438887831	Sneathiella	Sneathiellaceae	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria
510701	5.5	0.8	2.6305602486058537	13.823007675795088	Desulfurispora	Peptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
512381	2.411330818644201	1.0019940278469182	1.637548392783643	7.590524782034704	Acidisoma	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
515417	1.355961839521886	0.6463304070095651	0.3730186207054227	2.7532898149496696	Amphritea	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria
516086	5.5	0.5	1.0471975511965976	8.639379797371925	Clostridiisalibacter	Thermohalobacteraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
518733	0.9	0.45	0.11928234606598745	1.2723450247038663	Microterricola	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
518746	27.500000000000004	0.4	3.4389967581296275	34.55751918948772	Limibacter	Flammeovirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
518753	1.318630508976517	0.5435035650898448	0.2626527053207887	2.251517825152202	Luteolibacter	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
518754	1.25	0.65	0.342891748169936	2.552544031041707	Persicirhabdus	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
518755	1.2824819600075228	0.75	0.4560473850700144	3.0217769279408047	Roseibacillus	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
519427	4.4721359549995805	0.8366600265340756	2.3053591979444046	11.754763358538996	Sharpea	Coprobacillaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria
526215	2.3664319132398464	0.6619501839293745	0.7384396549141484	4.921179354514271	Thalassobaculum	Thalassobaculaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
527198	3.77762959804593	0.3720978562322641	0.3959599703172809	4.415973037861681	Mariniflexile	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
543732	2.2282279955157196	0.99498743710662	1.4501772234992625	6.965095835155076	Paramoritella	Moritellaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria
545865	1.6733200530681511	0.4472135954999579	0.23942845018770026	2.3509526717077995	Calditerrivibrio	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
551208	3.4910600109422356	0.3741657386773941	0.37014804354507214	4.103658429908455	Chitinilyticum	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
551771	4.4721359549995805	0.2449489742783178	0.20689679244073625	3.4414423257272846	Vulcanibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria
552511	0.6708203932499369	0.4	0.06754261595334313	0.8429777677248872	Thiofaba	Halothiobacillaceae	Chromatiales	Gammaproteobacteria	Proteobacteria	Bacteria
555078	6.599999999999999	0.95	4.453763910162605	19.697785938008003	Fervidicola	Thermosediminibacteraceae	Thermosediminibacterales	Clostridia	Firmicutes	Bacteria
556178	1.5	0.75	0.5522330836388308	3.5342917352885173	Humibacillus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
559173	3.1038563810200444	0.8378527024431979	1.5526055214354613	8.169945608700473	Fructobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
559293	2.5	0.3499999999999999	0.22930353878857995	2.7488935718910685	Lishizhenia	Crocinitomicaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
561367	2.1106874490115546	0.6069900957005783	0.548238316442873	4.024902876971259	Salinimicrobium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
561554	3.142627488715281	0.3707792751067341	0.32597835886522025	3.660650180131554	Zeaxanthinibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
561555	2.8774989139876315	0.2449489742783178	0.13175129224295662	2.2143214460554708	Zhouia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
565005	3.0000000000000004	0.25	0.14317154020265985	2.3561944901923453	Nubsella	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidetes	Bacteria
568214	1.019803902718557	0.7745966692414834	0.35889790705321445	2.481659353392355	Marihabitans	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
568387	0.9	0.6	0.1979203371761569	1.6964600329384882	Alkanibacter	Sinobacteraceae	Nevskiales	Gammaproteobacteria	Proteobacteria	Bacteria
568394	0.9409770161099293	0.3556558820077846	0.08052846507632112	1.0513779971646775	Pseudogulbenkiania	Chromobacteriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
568400	20.124611797498112	0.25377155080899044	1.0136170964880158	16.044283155978416	Exilispira		Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
570266	1.9078784028338915	0.5291502622129179	0.38077563408368215	3.1716085517589128	Methanocella	Methanocellaceae	Methanocellales	Methanomicrobia	Euryarchaeota	Archaea
572511	1.4472390675841653	0.7278829772358952	0.48394733662815226	3.3094186734653386	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
