taxid	length	width	volume	surface	genus	family	order	class	phylum	superkingdom
154116	1.4142135623730951	0.7071067811865476	0.4628003060581633	3.141592653589794	Georgenia	Bogoriellaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
162491	1.1	0.4	0.12147491593880534	1.3823007675795091	Oerskovia	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
169133	1.0	1.0	0.5235987755982988	3.1415926535897927	Citricoccus	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
186188	1.1	0.8	0.4188790204786391	2.7646015351590183	Xylanimonas	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
193383	1.095445115010332	0.17320508075688773	0.02445046791977898	0.596075295947766	Rhodoglobus	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
196081	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Scardovia	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
207599	1.4	0.7	0.4489859500755412	3.078760800517997	Solirubrobacter	Solirubrobacteraceae	Solirubrobacterales	Thermoleophilia	Actinobacteria	Bacteria
211469	2.449489742783178	2.449489742783178	7.6952989809711845	18.849555921538755	Kineosphaera	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
228972	1.1	0.8	0.4188790204786391	2.7646015351590183	Xylanibacterium	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
235888	1.794435844492636	0.6324555320336759	0.4975080582009856	3.5653962568840925	Salinibacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
236052	1.0	1.0	0.5235987755982988	3.1415926535897927	Propionicimonas	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
254250	0.7514130803550182	0.594167344720834	0.1497343410516959	1.4026115245608703	Isoptericola	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
265976	0.6708203932499369	0.6708203932499369	0.15805833144841633	1.413716694115407	Serinicoccus	Ornithinimicrobiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
286801	1.2111151885762146	0.4	0.13543806234413655	1.521932231632821	Segniliparus	Segniliparaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
289244	1.3416407864998738	0.4898979485566356	0.2221121343935814	2.064865395436372	Xylanimicrobium	Promicromonosporaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
331525	1.224744871391589	0.4898979485566356	0.2000777735052508	1.8849555921538756	Kribbia	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
337004	1.9796928015359063	0.34641016151377546	0.1726947414845667	2.1544593268829306	Microcella	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
355929	0.916515138991168	0.28284271247461906	0.05166250063362515	0.8143938947175409	Yonghaparkia	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
370735	1.7320508075688772	0.7745966692414834	0.6945363536261896	4.214888838624436	Zhihengliuella	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
414878	0.9797958971132712	0.6324555320336759	0.2415813708002067	1.9467737644673335	Catenulispora	Catenulisporaceae	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria
458839	1.0099504938362078	0.316227766016838	0.07104250274330026	1.0033442325100168	Actinotalea	Cellulomonadaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
577469	0.848528137423857	0.2958039891549808	0.05153672452726303	0.7885334978735079	Demequina	Demequinaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
613121	0.86	0.86	0.3330381428119515	2.323521926595011	Smaragdicoccus	Nocardiaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
626119	0.640217174588736	0.46806946386414316	0.08154213659061484	0.9414288486576894	Ruania	Ruaniaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
643949	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Ferrithrix	Acidimicrobiaceae	Acidimicrobiales	Acidimicrobiia	Actinobacteria	Bacteria
670516	1.9786024464679264	0.3941593907262555	0.22420201604042522	2.4500801534608154	Mycobacteroides	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
881616	1.7320508075688772	0.6928203230275509	0.5659054016410758	3.7699111843077513	Herbiconiux	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1069494	0.8660254037844386	0.42426406871192857	0.10243848386409705	1.1542948471456778	Trueperella	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
1073531	1.3416407864998738	0.9	0.6626632361158683	3.793399954761991	Mycolicibacter	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1742989	1.9859072976714605	0.7884191876069001	0.8368362423560778	4.918877754832607	Glutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1742990	1.5865501049788386	0.34641016151377546	0.1372491536414094	1.7266101430418093	Paeniglutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1742992	2.0	0.7745966692414834	0.8208044357977297	4.8669344111683355	Paenarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1742993	1.2556858813497302	0.5970050551512643	0.2841281684883163	2.3550975052500087	Pseudarthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
1866885	1.821476517902089	0.6271042211613658	0.4866419893439278	3.588501842707998	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
2529408	2.024889649057761	0.7151838782369992	0.7070716909548554	4.549555307807561	Schaalia	Actinomycetaceae	Actinomycetales	Actinomycetia	Actinobacteria	Bacteria
2680005	1.0816653826391969	0.6	0.24928501401213612	2.0388912118450158	Pseudolysinimonas	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2767353	0.4242640687119285	0.4242640687119285	0.039985946443425305	0.5654866776461628	Lancefieldella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
2801844	3.872983346207418	0.2449489742783178	0.17866239092832692	2.98037647973883	Arachnia	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2805645	1.0064775270735422	0.626520516202487	0.23893230000473542	1.9810217878191345	Pedococcus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
