taxid	length	width	volume	surface	order	class	phylum	superkingdom
136	22.163662680108562	0.42526933083171686	3.122019756081138	29.611163227608355	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
356	1.43	0.84	0.6373034857072254	3.7736810954920585	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria
1150	62.71363488110063	62.71363488110063	129147.06532496898	12355.883906568648	Oscillatoriales		Cyanobacteria	Bacteria
1385	2.272599018432248	0.8846142040667466	1.1587024389967067	6.315774215986909	Bacillales	Bacilli	Firmicutes	Bacteria
2085	0.2449489742783178	0.2449489742783178	0.0076952989809711825	0.18849555921538763	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
54526	0.5738466694161429	0.15491933384829668	0.009843368003314685	0.2792874102115765	Pelagibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
72273	1297.5181636327682	72.08434242404262	4321316.367328074	293835.4970059436	Thiotrichales	Gammaproteobacteria	Proteobacteria	Bacteria
72274	1.7976796252524603	0.6119179841783745	0.46169974934172314	3.455853997094729	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
80840	1.559769469578553	0.48365423502439153	0.2540244500094841	2.369983284741069	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria
85007	2.8284271247461903	0.316227766016838	0.21386532335308825	2.8099258924162913	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
91347	2.7045934426882186	0.5746239856544997	0.6377268611838706	4.882425369330767	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
135614	1.4315691227432643	0.5692425097622216	0.3156562598120044	2.5601152703688013	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria
135623	2.5664664965748822	0.5517848352762241	0.5655531489792847	4.448926516334614	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria
135625	0.9306048591020996	0.3256777812163153	0.06835791104850766	0.952145499893453	Pasteurellales	Gammaproteobacteria	Proteobacteria	Bacteria
171549	2.8284271247461903	1.6124515496597098	4.678186865358453	14.327866957180287	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
186802	34.64101615137755	7.544600578097611	1436.1782382127349	821.0635039172734	Eubacteriales	Clostridia	Firmicutes	Bacteria
186826	0.9791483623609768	0.7180749113262791	0.28251081103133746	2.208859680442542	Lactobacillales	Bacilli	Firmicutes	Bacteria
206351	0.8572321289096398	0.8572321289096398	0.3298328764027055	2.308589694291355	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria
213849	1.122462048309373	0.6299605249474366	0.26163873393309206	2.221441469079183	Campylobacterales	Epsilonproteobacteria	Proteobacteria	Bacteria
1643688	12.649110640673515	0.10000000000000002	0.09908408327016188	3.9738353063184406	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
1890424	0.5916079783099616	0.5916079783099616	0.1084178245770483	1.0995574287564276	Synechococcales		Cyanobacteria	Bacteria
1890940	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeales	Nanoarchaeia	Nanoarchaeota	Archaea
