taxid	length	width	volume	surface	phylum	superkingdom
32066	3.1411645246617432	0.6651665793200763	0.9812979981076458	6.5640363452124015	Fusobacteria	Bacteria
57723	1.4461231869211122	0.3618623642066399	0.13302422606458114	1.6439877555394702	Acidobacteria	Bacteria
65842	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteres	Bacteria
68297	17.32050807568877	0.34641016151377546	1.6215366316253903	18.849555921538762	Dictyoglomi	Bacteria
74201	2.196767509155139	0.7099551694579364	0.7315034676975033	4.899648163366865	Verrucomicrobia	Bacteria
142182	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadetes	Bacteria
203682	1.7271460720196175	1.5585959546385686	2.27959912928292	8.456925146727505	Planctomycetes	Bacteria
203691	9.990262457071067	0.25295773549754375	0.49690142805067644	7.939163305495574	Spirochaetes	Bacteria
204428	0.6689093073995175	0.5900553340859004	0.1257692156572144	1.239966215258851	Chlamydiae	Bacteria
256845	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Lentisphaerae	Bacteria
544448	0.7839220803108085	0.1972578311557905	0.020814180312058443	0.48579945540227476	Tenericutes	Bacteria
