taxid	length	width	volume	surface	class	phylum	superkingdom
1562566	2.4459875888944125	0.6915457968880453	0.8153671381430486	5.314043043462315	Blastocatellia	Acidobacteria	Bacteria
1737404	3.797162516886913	0.7615701165500474	1.5690689211425688	9.084874916122843	Tissierellia	Firmicutes	Bacteria
1804991	4.415880433163924	0.5656854249492381	1.06244105089634	7.84769593338055	Longimicrobia	Gemmatimonadetes	Bacteria
1807140	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923944	Acidithiobacillia	Proteobacteria	Bacteria
1813735	1.3453521380961204	0.6593491505914626	0.3825456394021453	2.786771093210415	Vicinamibacteria	Acidobacteria	Bacteria
1853221	2.75039525083473	0.36475202516074723	0.2676248199740394	3.1516841960579867	Balneolia	Balneolaeota	Bacteria
1853222	8.563390382741252	0.5544265176609817	1.9932551819121036	14.915561581186438	Rhodothermia	Rhodothermaeota	Bacteria
1853228	2.2987659968352987	0.5218141023037285	0.44022513910494326	3.76842997063668	Chitinophagia	Bacteroidetes	Bacteria
1937959	2.483267027147818	0.6121682952562003	0.6606385247120355	4.775777971901473	Saprospiria	Bacteroidetes	Bacteria
1962850	6.92820323027551	0.2449489742783178	0.3226362360716736	5.33145952579004	Calditrichia	Calditrichaeota	Bacteria
2008785	2.280350850198276	0.3741657386773941	0.23699366986663353	2.680498461852394	Hydrogenophilalia	Proteobacteria	Bacteria
2811502	3.350368958834508	0.34641016151377546	0.30432420530069954	3.6461382524904526	Thermodesulfovibrionia	Nitrospirae	Bacteria
2885752	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeia	Nanoarchaeota	Archaea
