	name	ori	ogt	d	sptid	name_alt	taxID_rank
90	Lactobacillus acidophilus NCFM	1993119	45	1.8	1579	Lactobacillus acidophilus	species
91	Lactobacillus johnsonii NCC533	1992003	30	0.9	33959	Lactobacillus johnsonii	species
92	Lactococcus lactis IL1403	1726	40	0.7	1358	Lactococcus lactis	species
93	Lactobacillus plantarum WCFS1	1369	30	1.6	1590	Lactiplantibacillus plantarum	species
94	Leptospira interrogans serovar lai 56601 chr1	1566	29	9.0	173	Leptospira interrogans	species
95	Legionella pneumophila pneumophila Philadelphia 1	3397647	37	3.3	446	Legionella pneumophila	species
96	Leifsonia xyli xyli CTCB07	1647	23	5.0	1575	Leifsonia xyli	species
97	Listeria innocua Clip11262	1675	22	0.6	1642	Listeria innocua	species
98	Listeria monocytogenes strain EGD	1674	23	1.0	1639	Listeria monocytogenes	species
99	Mannheimia succiniciproducens MBEL55E	2281135	37	0.6	157673	[Mannheimia] succiniciproducens	species
100	Methanosarcina barkeri	-1	37	12.0	2208		species
101	Methanococcoides burtonii	-1	32	20.0	29291		species
102	Methylococcus capsulatus	3302726	37	1.87	414		species
103	Methylobacterium extorquens	5470388	28	4.2	408	Methylorubrum extorquens	species
104	Methylobacillus flagellatus	1459	36	2.0	405		species
105	Methanococcus jannaschii	-1	83	0.5	2190	Methanocaldococcus jannaschii	species
106	Methanopyrus kandleri	-1	98	0.83	2320		species
107	Mesorhizobium loti	4478943	26	2.4	381		species
108	Methanobacterium thermoautotrophicum	-1	65	1.0	145262	"Methanothermobacter thermautotrophicus str. Delta H
Methanothermobacter thermautotrophicus str. Winter
Methanothermobacter marburgensis str. Marburg"	species
109	Moorella thermoacetica	228	58	5.0	1525		species
110	Mycobacterium avium paratuberculosis k10	1531	37	10.0	1764	Mycobacterium avium	species
111	Mycobacterium bovis bovis AF2122/97	1525	37	23.0	1765	Mycobacterium tuberculosis variant bovis	biotype
112	Mycoplasma capricolum	1009729	37	2.5	2095		species
113	Mycoplasma gallisepticum R	2682	37	1.0	2096	Mycoplasma gallisepticum	species
114	Mycoplasma genitalium	578582	37	12.0	2097		species
115	Mycoplasma hyopneumoniae 232	513000	37	2.0	2099	"Mycoplasma hyopneumoniae 168-L
Mycoplasma hyopneumoniae 168
Mycoplasma hyopneumoniae 7422
Mycoplasma hyopneumoniae 232
Mycoplasma hyopneumoniae 7448
Mycoplasma hyopneumoniae J"	species
116	Mycobacterium leprae	1567	37	240.0	1769		species
117	Mycoplasma mobile 163K	1	20	10.0	2118	Mesomycoplasma mobile	species
118	Mycoplasma mycoides mycoides SC	1211535	45	2.2	2102	Mycoplasma mycoides	species
119	Mycoplasma pneumoniae	816339	37	6.0	2104		species
120	Mycoplasma pulmonis UAB CTIP	1	37	1.5	2107	Mycoplasmopsis pulmonis UAB CTIP	species
121	Mycobacterium tuberculosis	1525	37	19.0	1773		species
122	Myxococcus xanthus	9139603	30	5.0	34		species
123	Nanoarchaeum equitans	-1	90	0.75	160232		species
124	Neisseria gonorrhoeae FA1090	1917745	36	0.58	485	Neisseria gonorrhoeae	species
125	Neisseria meningitidis A	219873	37	0.72	487	Neisseria meningitidis	species
126	Nitrosomonas europaea ATCC19718	1591	27	18.5	915	Nitrosomonas europaea	species
127	Nitrobacter winogradskyi	114297	28	8.0	913		species
128	Nocardia farcinica	1990	37	3.0	37329		species
129	Nostoc sp. PCC 7120	2404398	-1	12.0	1180	Nostoc sp.	species
130	Oenococcus oeni	1780070	24	10.5	1247		species
131	Paracoccus denitrificans	2851745	30	2.1	266		species
132	Pasteurella multocida PM70	1677118	37	1.0	747	Pasteurella multocida	species
133	Parachlamydia sp UWE25	1	-1	48.0	2052048	Parachlamydia sp.	species
134	Petrotoga mobilis	1423266	55	12.0	69499		species
135	Photorhabdus luminescens laumondii TTO1	44490	28	0.5	29488	Photorhabdus luminescens	species
136	Photobacterium profundum SS9	4085022	10	2.5	74109	Photobacterium profundum	species
137	Pirellula sp	5455000	28	10.0	117	Pirellula sp.	species
138	Picrophilus torridus DSM 9790	-1	60	6.0	82076	Picrophilus torridus	species
139	Porphyromonas gingivalis W83	2342805	37	2.7	837	Porphyromonas gingivalis	species
140	Propionibacterium acnes KPA171202	1748	31	5.1	1747	Cutibacterium acnes	species
141	Prochlorococcus marinus marinus CCMP1375	1750905	-1	17.0	1219	Prochlorococcus marinus	species
142	Pseudomonas aeruginosa PA01	6264361	37	0.5	287	Pseudomonas aeruginosa	species
143	Pseudoalteromonas haloplanktis	3208603	26	0.5	228		species
144	Psychromonas ingrahamii	4558259	12	12.0	357794		species
145	Pseudomonas putida KT2440	8947	27	1.1	303	Pseudomonas putida	species
146	Pseudomonas syringae tomato DC3000	6396882	27	1.47	317	Pseudomonas syringae	species
147	Pyrococcus abyssi	-1	96	0.62	29292		species
148	Pyrobaculum aerophilum	-1	100	3.0	13773		species
149	Pyrobaculum arsenaticum	-1	95	1.3	121277		species
150	Pyrococcus furiosus	-1	100	0.62	2261		species
151	Pyrococcus horikoshii	-1	98	0.62	53953		species
152	Ralstonia solanacearum GMI1000	3716277	30	4.0	305	Ralstonia solanacearum	species
153	Rhodoferax ferrireducens	40520	25	8.0	192843		species
154	Rhodopseudomonas palustris	322962	33	9.0	1076		species
155	Rhodococcus sp. Strain RHA1	3871702	30	5.3	1831	Rhodococcus sp.	species
156	Rhodospirillum rubrum	4154190	28	3.8	1085		species
157	Rhodobacter sphaeroides	3004887	32	3.0	1063	Cereibacter sphaeroides	species
158	Rickettsia conorii Malish 7	1268361	35	4.1	781	Rickettsia conorii	species
159	Rickettsia prowazekii	1111140	35	10.0	782		species
160	Rickettsia typhi wilmington	1111114	35	10.0	785	Rickettsia typhi	species
161	Rubrobacter xylanophilus	1355	60	3.85	49319		species
162	Salinibacter ruber	12594	42	14.0	146919		species
163	Salmonella typhimurium LT2	4083788	37	0.4	90371	Salmonella enterica subsp. enterica serovar Typhimurium	no rank
164	Shewanella oneidensis MR-1	6419	30	0.66	70863	Shewanella oneidensis	species
165	Sinorhizobium meliloti 1021	1	28	1.5	382	Sinorhizobium meliloti	species
166	Silicibacter pomeroyi	4105854	-1	1.65	89184	Ruegeria pomeroyi	species
167	Sorangium cellulosum	11354923	30	16.0	56		species
168	Sodalis glossinidius	4127547	25	26.0	63612		species
169	Sphingopyxis alaskensis	1535	-1	2.39	117207		species
170	Streptococcus agalactiae 2603VR	1464	37	1.8	1311	Streptococcus agalactiae	species
171	Staphylococcus aureus strain N315	1879	34	0.4	1280	Staphylococcus aureus	species
172	Streptomyces coelicolor A3(2)	4269844	30	2.2	1902	Streptomyces coelicolor	species
173	Staphylococcus epidermidis ATCC 12228	1718	34	0.8	1282	Staphylococcus epidermidis	species
174	Staphylothermus marinus	-1	87	6.3	2280		species
